scope,variant,n,tau_10,tau_25,tau_50,tau_75,tau_90,mean
pooled,empirical,673,2.2397348274402966,3.950759713752646,5.045306979004438,4.04297387289812,2.2781851161782787,3.5113921018547556
pooled,gaussian,673,2.2476789664032273,3.9538021027900654,5.042995949518792,4.0420635708504475,2.2658235658020303,3.5104728310729123
2024,empirical,229,1.923955663737957,3.4783172728686145,4.468476839096194,3.442600814483728,1.9318367301686068,3.0490374640710205
2024,gaussian,229,1.9396531725921595,3.481544559998097,4.468068218015994,3.443909702328355,1.9681082332327517,3.0602567772334717
2025,empirical,276,2.512451875691938,4.28949188240271,5.478435494294562,4.389256993244027,2.481613043474893,3.830249857821626
2025,gaussian,276,2.518198031199104,4.292386050064303,5.47194695106646,4.386609746677275,2.4373755185108283,3.821303259503594
2026,empirical,168,2.222136751073533,4.03825519241352,5.120013120783651,4.292445832192289,2.416087928454166,3.6177877649834316
2026,gaussian,168,2.2231232812786557,4.04128905428812,5.121971985750825,4.291364114679921,2.3898025670564174,3.6135102006107878
