binning,bin_low,bin_high,n,mean_predicted,observed_rate,gap
uniform,0.0,0.1,0,,,
uniform,0.1,0.2,0,,,
uniform,0.2,0.30000000000000004,0,,,
uniform,0.30000000000000004,0.4,0,,,
uniform,0.4,0.5,341,0.4976820596960945,0.4633431085043988,-0.03433895119169572
uniform,0.5,0.6000000000000001,330,0.5022602587170122,0.5333333333333333,0.03107307461632114
uniform,0.6000000000000001,0.7000000000000001,0,,,
uniform,0.7000000000000001,0.8,0,,,
uniform,0.8,0.9,0,,,
uniform,0.9,1.0,0,,,
quantile,0.47058598427374004,0.4963494288029284,66,0.49481695332985876,0.5303030303030303,0.03548607697317152
quantile,0.4963494288029284,0.4974700626816927,68,0.4968919789382634,0.35294117647058826,-0.14395080246767517
quantile,0.4974700626816927,0.49848360097436817,66,0.49802755590544046,0.48484848484848486,-0.013179071056955594
quantile,0.49848360097436817,0.49922393829993844,68,0.4988438041946594,0.5,0.0011561958053405985
quantile,0.49922393829993844,0.4998763102108693,67,0.4995875017050697,0.44776119402985076,-0.05182630767521895
quantile,0.4998763102108693,0.5006501245173868,67,0.5002797342042845,0.5223880597014925,0.02210832549720798
quantile,0.5006501245173868,0.501318484011425,67,0.5009684715095977,0.417910447761194,-0.08305802374840365
quantile,0.501318484011425,0.5023075667688505,67,0.5018257220575357,0.5970149253731343,0.09518920331559855
quantile,0.5023075667688505,0.5037092821038813,67,0.5028920540394176,0.4925373134328358,-0.010354740606581814
quantile,0.5037092821038813,0.5091960213701916,68,0.5050825511007071,0.6323529411764706,0.12727039007576346
