scope,n,cover_rate,brier_gauss,logloss_gauss,brier_emp,logloss_emp,brier_market,logloss_market
pooled,671,0.4977645305514158,0.26017485542810787,0.715895976279364,0.2603468864791356,0.7164272812813957,0.24983972587380765,0.6928267331283706
2024,228,0.45614035087719296,0.257858564903793,0.7097958610016906,0.2571391867214912,0.7083133611747434,0.25006140780678615,0.6932700022263165
2025,276,0.5108695652173914,0.26499183753226185,0.7275409276314805,0.2655521581612319,0.7291030868004125,0.2497708591231468,0.6926888920338528
2026,167,0.5329341317365269,0.25537621578018743,0.7049787290346058,0.25612353654191616,0.7065557331440786,0.2496508860083185,0.6924493605999591
