binning,bin_low,bin_high,n,mean_predicted,observed_rate,gap
uniform,0.0,0.1,0,,,
uniform,0.1,0.2,1,0.18503106464234992,1.0,0.8149689353576501
uniform,0.2,0.30000000000000004,38,0.26115294427722824,0.5263157894736842,0.26516284519645594
uniform,0.30000000000000004,0.4,137,0.3587659956685601,0.4744525547445255,0.11568655907596542
uniform,0.4,0.5,192,0.4501322492748128,0.46875,0.018617750725187177
uniform,0.5,0.6000000000000001,167,0.54661221144626,0.49700598802395207,-0.04960622342230797
uniform,0.6000000000000001,0.7000000000000001,98,0.6408619689607588,0.5,-0.14086196896075875
uniform,0.7000000000000001,0.8,32,0.7462274603169291,0.71875,-0.027477460316929103
uniform,0.8,0.9,6,0.8191565920721756,0.5,-0.3191565920721756
uniform,0.9,1.0,0,,,
quantile,0.18503106464234992,0.33706722314907556,67,0.2844717002446312,0.4626865671641791,0.1782148669195479
quantile,0.33706722314907556,0.37786270782783776,67,0.3558446591066958,0.5074626865671642,0.15161802746046837
quantile,0.37786270782783776,0.411865608319954,67,0.39553664099067504,0.47761194029850745,0.08207529930783242
quantile,0.411865608319954,0.4498849881794647,67,0.4307719932898049,0.44776119402985076,0.01698920074004584
quantile,0.4498849881794647,0.4816996591961151,67,0.46724261368246023,0.5223880597014925,0.05514544601903226
quantile,0.4816996591961151,0.5173227560200623,67,0.4983998441135621,0.5373134328358209,0.03891358872225881
quantile,0.5173227560200623,0.5532192370025537,67,0.5358782185331029,0.44776119402985076,-0.08811702450325215
quantile,0.5532192370025537,0.6014389605053341,67,0.5776803687422902,0.4626865671641791,-0.11499380157811112
quantile,0.6014389605053341,0.6526882564711265,67,0.6281868718276697,0.5223880597014925,-0.10579881212617726
quantile,0.6526882564711265,0.8390894118249038,68,0.7192535553120386,0.5882352941176471,-0.13101826119439153
