scope,n,crps_emp,crps_gauss,delta,center_mae
pooled,673,7.137468969041412,7.137391810023846,-7.715901756544241e-05,10.085991899037579
2024,229,6.202733883008612,6.214563330379064,0.01182944737045144,8.936136436031989
2025,276,7.776492151878887,7.768934280218424,-0.007557871660463178,10.943893902132928
2026,168,7.361778113317409,7.357760858029508,-0.0040172552879012,10.243943971501645
