bookmaker_key,2022,2023,2024,2025
barstool,128,247,0,0
betmgm,171,250,248,76
betonlineag,0,128,262,114
betrivers,128,258,262,114
betus,181,260,261,114
bovada,177,257,262,114
circasports,57,111,0,0
draftkings,110,211,260,114
fanatics,0,0,0,109
fanduel,180,260,258,114
foxbet,179,148,0,0
gtbets,108,0,0,0
lowvig,0,208,211,114
mybookieag,30,256,234,34
pointsbetus,170,256,0,0
sugarhouse,128,0,0,0
superbook,0,99,146,0
twinspires,128,259,0,0
unibet,180,0,0,0
unibet_us,0,259,44,0
williamhill_us,179,257,259,107
wynnbet,0,102,110,0
