bookmaker_key,n_pairs,n_games,mae_close_eq_open,mean_n_snapshots,median_close_hrs_to_tip
betus,406,406,0.659,2.3,2.07
mybookieag,403,403,0.916,2.7,2.07
betmgm,382,382,0.979,2.8,2.07
lowvig,406,406,0.991,3.0,2.07
betonlineag,406,406,0.994,3.0,2.07
betrivers,406,406,1.033,3.1,2.07
bovada,406,406,1.044,2.8,2.07
williamhill_us,406,406,1.092,3.2,2.07
fanatics,406,406,1.117,3.3,2.07
fanduel,406,406,1.145,3.5,2.07
draftkings,406,406,1.155,3.4,2.07
