hrs_to_tip_bucket,n_steps,mean_abs_move_per_step,share_steps_nonzero,mean_step_hours,abs_move_per_elapsed_hour
"[72,inf)",29,0.362,0.483,13.2,0.0274
"[48,72)",83,0.247,0.265,7.1,0.0347
"[24,48)",1908,0.54,0.482,8.0,0.0676
"[12,24)",380,0.547,0.542,7.0,0.0782
"[6,12)",2446,0.965,0.751,18.3,0.0529
"[3,6)",1659,0.52,0.553,9.6,0.0541
"[1,3)",2298,0.628,0.599,8.0,0.079
"[0,1)",209,0.763,0.727,8.3,0.0917
