season,n_rows_home_side,n_events,n_games_with_game_id,n_game_book_pairs,n_books,snapshots_per_pair_max,min_before_tip_p10,min_before_tip_p50,min_before_tip_p90
2022,2235,181,180,2234,16,2,65.0,65.0,65.0
2023,3826,260,259,3826,18,1,64.3,64.3,64.4
2024,2817,262,261,2817,13,1,64.4,64.4,64.4
2025,1124,114,113,1124,11,1,64.4,64.4,64.4
