season,baseline,mae,n_pairs,degenerate_share,mae_nondegenerate,n_nondegenerate,mae_open_same_sample
ALL,close=open,1.012,4439,0.056,1.071,4192,1.012
ALL,close=line@T-24h,1.133,2863,0.002,1.135,2857,1.308
ALL,close=line@T-12h,1.109,3066,0.003,1.112,3057,1.291
ALL,close=line@T-6h,0.584,4223,0.013,0.592,4166,1.063
ALL,close=line@T-3h,0.366,4374,0.427,0.639,2507,1.027
ALL,close=line@T-1h,0.036,4432,0.953,0.763,209,1.013
2025,close=open,0.957,2151,0.074,1.034,1992,0.957
2025,close=line@T-24h,1.272,1239,0.003,1.276,1235,1.361
2025,close=line@T-12h,1.213,1358,0.005,1.219,1351,1.324
2025,close=line@T-6h,0.556,2020,0.022,0.568,1976,1.019
2025,close=line@T-3h,0.356,2117,0.419,0.613,1230,0.973
2025,close=line@T-1h,0.038,2147,0.952,0.784,104,0.959
2026,close=open,1.063,2288,0.038,1.105,2200,1.063
2026,close=line@T-24h,1.026,1624,0.001,1.027,1622,1.267
2026,close=line@T-12h,1.027,1708,0.001,1.028,1706,1.265
2026,close=line@T-6h,0.609,2203,0.006,0.613,2190,1.104
2026,close=line@T-3h,0.376,2257,0.434,0.664,1277,1.078
2026,close=line@T-1h,0.034,2285,0.954,0.743,105,1.064
