dR2_M,dR2_OxM,unit
4.537093603618203e-05,7.839971891188124e-05,per100poss
0.0001244514725493584,6.681184328594103e-05,per100poss
5.826068351011404e-05,6.06267591685139e-09,per100poss
0.0001557273857041297,2.2227524754114825e-07,per100poss
2.0176601402965844e-06,2.6072228946905085e-05,per100poss
1.4088580782889437e-05,0.00011255227169171267,per100poss
4.603638574796065e-07,0.00015417081150104206,per100poss
4.010490233485875e-05,6.7412039411740565e-06,per100poss
1.6880147965081527e-05,0.0001606727798976193,per100poss
1.243746418910785e-05,8.647459132649082e-06,per100poss
3.181723090228683e-05,1.1393825372851829e-05,per100poss
7.60907227822516e-05,1.0023173580675504e-05,per100poss
2.1699090001936483e-05,1.9324627065442357e-05,per100poss
9.926748355204573e-06,7.386701341882684e-05,per100poss
5.617846063010745e-06,0.0001199028344945896,per100poss
1.3075842058563047e-05,0.00015587469166722379,per100poss
6.771610303168973e-05,3.880238921616375e-06,per100poss
1.8855148079532924e-06,3.3394204990155885e-07,per100poss
4.683678199324248e-05,0.0002581758898344555,per100poss
2.53637993770095e-05,3.944486260198943e-05,per100poss
0.00012078443308571885,2.3060688479570324e-05,per100poss
3.8381403247522705e-05,6.0353099520349396e-05,per100poss
2.245000053391344e-05,0.00021607698255277086,per100poss
9.868299896964583e-05,0.00012142405696558001,per100poss
6.547930706735094e-05,8.158621371334718e-05,per100poss
0.0001147626848907457,3.496138963798856e-05,per100poss
4.248169284015724e-06,1.446454463593927e-05,per100poss
4.604378997741243e-06,3.3228397872120397e-05,per100poss
0.00032732491884823744,0.00029569024069486805,per100poss
3.495502218897606e-06,1.499749877142964e-05,per100poss
0.00013580453890515987,2.60397253634137e-05,per100poss
4.0169292616187846e-05,8.459180922604226e-05,per100poss
6.6861226323267076e-06,1.648201218673595e-05,per100poss
0.000312081097750605,7.565435795919839e-05,per100poss
5.898662932590781e-05,3.9887754460621316e-05,per100poss
2.1331676643976394e-06,2.605308416958607e-05,per100poss
3.745769561191992e-08,6.091675936681362e-06,per100poss
4.821395303333809e-06,7.32678658366126e-06,per100poss
0.00010773143902242932,6.863767829856648e-05,per100poss
2.610279103976154e-09,5.0962583270086625e-05,per100poss
1.9171648424687326e-05,2.6111267022010942e-05,per100poss
2.2049447783833998e-05,0.00010833846653546253,per100poss
1.8843671787616145e-05,4.8392936581986845e-05,per100poss
0.00011141311832718603,0.00023433261112670856,per100poss
3.9569211900625234e-05,6.939601387023764e-05,per100poss
1.2609176678779477e-05,3.418005435906757e-05,per100poss
1.1821440127235405e-05,3.9498961612371986e-05,per100poss
4.894742746675007e-07,8.942433421865736e-06,per100poss
1.6828506090860174e-06,8.131633747721079e-05,per100poss
3.710588913907742e-08,4.0416007027976875e-05,per100poss
1.7492306399025104e-05,7.437395017995119e-05,per100poss
7.4527670794855e-05,1.4144278413286138e-05,per100poss
9.22177737616714e-07,6.912653927049206e-08,per100poss
1.8585428207429366e-05,5.261004038115136e-05,per100poss
2.3475571110154192e-05,3.440543056143497e-05,per100poss
0.00019690621200763037,3.4599123255207864e-05,per100poss
0.00012572998185311768,3.4975759357402936e-05,per100poss
4.4768083225177335e-05,0.00010664314378994177,per100poss
5.896726608223268e-06,1.1364484089226856e-05,per100poss
5.530921197705041e-07,1.849068147674604e-05,per100poss
3.453089119009878e-05,0.000126325703586061,per100poss
9.074399586861404e-06,1.084517342597735e-08,per100poss
0.0004874646403779659,0.0004256987488046038,per100poss
3.0100761037155088e-05,7.402150439816957e-06,per100poss
4.284686971667284e-05,2.6926853514686044e-06,per100poss
2.0327035012979167e-06,1.4279412728912533e-05,per100poss
1.899987079989618e-05,6.992310033726579e-05,per100poss
5.1339549799189754e-06,1.7408100274507454e-05,per100poss
