dR2_M,dR2_OxM,target,dim
6.936355028996921e-05,9.236578820681629e-07,pts,d3par
8.269130612359454e-06,9.067375099247599e-05,pts,d3par
2.147925616735602e-05,3.029422507416779e-05,pts,d3par
3.6466068175755595e-05,1.7803256776582899e-06,pts,d3par
4.9158831235684985e-06,4.238760485053561e-06,pts,d3par
1.0958259524906921e-05,5.5344194449524764e-08,pts,d3par
2.7816373648903436e-09,0.00012833771037734643,pts,d3par
3.1031106612067205e-05,7.14348128919573e-05,pts,d3par
5.264593923803851e-06,1.0384901754090237e-06,pts,d3par
0.00012148973551229236,1.1851592114475729e-05,pts,d3par
1.3439621322164363e-05,2.620488041527036e-05,pts,d3par
6.703141568620286e-05,6.124217136083132e-06,pts,d3par
2.1040224422730347e-06,5.354529888323967e-05,pts,d3par
0.0001563589216796446,5.936529478955954e-05,pts,d3par
0.000123407726205782,3.3109308866130505e-05,pts,d3par
3.4777896062987423e-07,4.45262861082929e-05,pts,d3par
0.00015875263258346983,9.761468701008358e-05,pts,d3par
1.0499130665753142e-05,6.62903562482775e-05,pts,d3par
1.0355577811593797e-05,5.708083070876668e-06,pts,d3par
3.0239497680328853e-06,5.1723548257553986e-05,pts,d3par
3.965292590280001e-06,7.479769914553458e-09,pts,d3par
2.1077872234043227e-05,3.596090877444613e-05,pts,d3par
2.073609620012462e-06,1.4414768599313454e-05,pts,d3par
4.0432239877818965e-05,2.5950656272533124e-05,pts,d3par
5.902678156921581e-06,3.589648789326105e-08,pts,d3par
0.00031438388171434184,1.7679565669892483e-05,pts,d3par
6.02185680464995e-06,3.351853827826545e-08,pts,d3par
1.4446362983644434e-07,3.091806859645274e-06,pts,d3par
3.2132920079530614e-05,3.180409183156652e-05,pts,d3par
7.437414168953715e-05,5.663744403761051e-05,pts,d3par
1.653685449021225e-06,1.4590342387599264e-06,pts,d3par
1.1662227943354253e-06,2.1586424983843777e-05,pts,d3par
1.0238666501294347e-06,0.00011735961444159226,pts,d3par
0.0008891041813161582,3.1306352118232184e-05,pts,d3par
2.563662476495754e-05,1.721781252406185e-05,pts,d3par
8.77951014083278e-05,1.2601177881155223e-06,pts,d3par
7.035566336421883e-05,0.00020739289450866227,pts,d3par
1.6987493551834376e-05,0.0003472294053168401,pts,d3par
7.2001945483402e-05,0.0003272560856961704,pts,d3par
2.70424705922645e-05,2.460381994140448e-06,pts,d3par
1.8799325359641905e-05,5.9805115084521354e-05,pts,d3par
4.038190927602159e-05,0.0001279033661222284,pts,d3par
2.9053944271995036e-05,1.0399446402464818e-05,pts,d3par
