dR2_M,dR2_OxM,target
1.4521994817884298e-05,1.3553852281633638e-06,ast
0.00031436108483262615,0.00037429437883507166,ast
0.00027607322269640466,7.248894913658432e-06,ast
1.3880551605893743e-05,0.00013104771823679862,ast
0.00010458829626902588,2.928478358121822e-05,ast
1.2901975314116854e-05,0.00019636548386181563,ast
5.717569413477008e-05,1.788855956486035e-05,ast
7.16381791822096e-05,0.00020425148684666272,ast
3.698354345749166e-05,4.321977264964971e-08,ast
6.985133865811122e-05,3.406503003910988e-05,ast
3.946393207554522e-06,2.1133762363456654e-05,ast
1.807875790504898e-05,2.479249208120482e-05,ast
2.1457314591133425e-05,1.1548714621723022e-05,ast
8.906331782521093e-06,0.00014405577397513802,ast
1.2144176111839045e-05,6.899045677077886e-06,ast
5.29071537248571e-05,9.500255954475456e-05,ast
5.082492213548395e-05,0.0001691480344806484,ast
9.789073130928028e-05,7.529114305349083e-07,ast
0.0002319112247383126,2.329401378087237e-05,ast
8.461526073144654e-05,4.383935562379815e-05,ast
0.0001179861761283485,0.00015919514088624798,ast
0.00039038513940536923,0.00013827317449133236,ast
3.5673810007463835e-05,5.77108208386079e-05,ast
0.0003383119109207078,9.714597113108514e-05,ast
8.73548883399966e-05,1.1320324804553472e-05,ast
1.3173326185222933e-05,3.904397103970947e-05,ast
0.0005118344436222388,6.263585057730836e-05,ast
3.6231178208723236e-06,2.8316333930078486e-05,ast
8.303638985118766e-05,9.707563237015826e-05,ast
6.32683062806727e-06,1.7924609375663536e-06,ast
2.121756496331617e-05,7.10550734291937e-05,ast
2.734507623114446e-06,5.378619812868024e-07,ast
4.540682771947413e-05,7.438169769002911e-08,ast
3.799596778608638e-05,0.00010519189953361874,ast
5.3593088386927334e-05,2.817618302874969e-05,ast
0.00019526939672254162,4.607452026239578e-06,ast
2.012588430910789e-06,2.2090455287226973e-06,ast
0.00011604896326500302,6.073101543968562e-05,ast
4.213005827757854e-06,2.3379492183783768e-05,ast
0.0001765347836664155,4.976564102276981e-05,ast
5.8795383016008174e-05,8.93447945082837e-06,ast
1.4351552712899007e-06,0.00012079813892129643,ast
0.00012396157759952953,0.00010468274262898092,ast
5.087178963225636e-05,2.3275384521292963e-05,ast
6.401053102012e-06,8.87326593823623e-05,ast
3.790362752553733e-07,3.667306230470402e-06,ast
8.475395331886126e-06,0.000202658563648761,ast
5.541713036683049e-06,1.5296599205183448e-05,ast
1.3105594754314609e-05,3.519147574349013e-06,ast
2.7312509315313704e-06,0.00029791904732268115,ast
1.7010326179511814e-05,8.862356078342959e-05,ast
8.316706401401142e-05,1.5738356968220124e-05,ast
1.6696209388378236e-06,1.2383073790034338e-05,ast
1.5069337554463047e-06,0.00010365515410815096,ast
3.1439990811343854e-05,9.4829704065158e-05,ast
0.0006066137678387706,2.860061187881513e-09,ast
0.00010013322207047537,4.143743033924174e-05,ast
2.2343072804131836e-06,4.923070343609837e-07,ast
6.748119996902169e-06,2.3256537265758936e-05,ast
3.191161179127988e-05,7.127191812617006e-05,ast
7.770503380299942e-06,1.257357958295291e-05,ast
0.00034191948564121777,1.237780025142854e-06,ast
3.255135101742912e-05,6.046643395096751e-06,ast
0.00013747809910524822,0.00019441157932498232,ast
3.2564505159538015e-05,9.943992940397717e-05,ast
5.275561321493871e-05,1.6529349323723963e-05,ast
9.32875953236767e-05,0.00020520961576886432,ast
3.20985228741133e-06,3.60728497370566e-05,ast
1.0345356821206408e-06,0.0006915492713003291,ast
9.378264831383376e-10,0.0002641640337274209,ast
9.761067909874743e-05,3.386122891690935e-05,ast
1.2115324644623726e-06,5.1009793806677806e-06,ast
8.32182971081119e-05,0.00011465068312077609,ast
0.00012828763179484337,6.364167182137948e-08,ast
1.7034636609958298e-05,1.1120369152961551e-05,ast
9.24852418983102e-05,6.605308820906153e-06,ast
1.0503739746869911e-05,0.00037269653377092204,ast
2.8201864943677712e-05,3.778461543069156e-05,ast
3.270743247663077e-05,1.2225093099504925e-05,ast
1.0495212245609231e-05,0.00015014308225580475,ast
3.985723845045808e-05,0.00014342258187827195,ast
1.1281537213636561e-05,0.00014173552564322733,ast
7.0703988717113475e-06,7.120137736871257e-05,ast
7.178516750472319e-06,1.6982711423918495e-05,ast
1.9416424394957943e-06,0.00011683056777533896,ast
9.760789400370395e-05,1.4650041205488407e-05,ast
4.9304665683536086e-08,1.711010366312049e-05,ast
4.8343617539137185e-06,4.345245641412809e-06,ast
0.00013269744926625027,0.0001690174945008227,ast
0.0001850886986537459,4.6988505463696484e-05,ast
5.365201123819219e-06,1.2691968888089988e-05,ast
2.842525285384756e-05,6.784989167407662e-05,ast
6.186106626471233e-05,6.149763579788026e-05,ast
6.752818416999595e-06,1.7959276341628083e-06,ast
8.363730211891074e-05,8.435914667148658e-06,ast
0.00011479951696269364,6.506917738713369e-05,ast
2.2417300682420205e-08,0.00019036392260529666,ast
5.193206835452102e-06,0.0004612725308408283,ast
3.5086126337624535e-08,1.2619036848793286e-05,ast
8.576142475269499e-05,7.635390414373333e-06,ast
0.0001152268656124944,1.4077790440825133e-05,ast
5.0784251988234e-05,0.000155268170242584,ast
2.2167073105650026e-05,8.215770813269074e-05,ast
0.00013866404247209196,2.0798244235953334e-05,ast
1.9155810343396418e-05,9.407556114804372e-05,ast
0.00021110773060184496,9.122942701056402e-06,ast
6.099649050084199e-05,7.766291954824922e-05,ast
0.00023044435779928651,0.00024455293713920856,ast
2.762815566270671e-05,1.2257918525770961e-06,ast
2.017648139118755e-06,3.15355747848578e-06,ast
5.798107585386347e-05,9.970005801274162e-06,ast
0.0001245823595480422,0.00019691257470710877,ast
1.0975184346895261e-05,0.00021935506591486131,ast
0.00017136068256429215,0.00030106473012114776,ast
1.4632971361505653e-05,1.885414179003675e-06,ast
5.74724866040377e-05,7.421156633657944e-07,ast
0.00033644379361463805,0.0002626832362031539,ast
0.0001080605523137157,0.0001976683184256034,ast
4.829032389519483e-07,6.66655379746306e-05,ast
1.6757608783612987e-05,1.4113025651463218e-06,ast
6.742169519724506e-05,0.00013882084496552594,ast
4.2731042714461154e-05,9.426265919443289e-05,ast
9.032640191364294e-10,3.2009812367395085e-06,ast
0.00020964999972228338,3.639862655846482e-05,ast
4.1690022305806984e-05,0.0003843370693968895,ast
2.893433290518388e-06,3.653470335984732e-05,ast
2.297584177579637e-06,5.205206720093614e-07,ast
8.930907161919244e-05,0.00031006043120263005,ast
4.226294378928408e-05,7.137005046953249e-07,ast
3.610644871976376e-08,0.00036704998506964515,ast
2.727898899546055e-06,6.932498014045052e-05,ast
8.501388575521407e-05,2.0207842946651233e-05,ast
1.3411169462296257e-05,9.163759676633632e-07,ast
1.743259447906098e-08,0.0002105840473114462,ast
9.833071665799054e-07,6.232537503425561e-05,ast
0.0001648078284617327,2.446147091095252e-05,ast
0.00021456890979232313,7.093181939055171e-05,ast
0.0001400793017334312,7.182549678741434e-05,ast
5.799614757995286e-06,3.992545719588847e-07,ast
5.077513662388178e-05,1.677501880537058e-05,ast
0.00034839962293964355,6.366740799157444e-05,ast
0.00011871569214605415,4.0146085011905086e-08,ast
8.619328901915413e-05,5.860785058076079e-05,ast
3.41645740130625e-05,0.00012390975974452267,ast
5.355454965660922e-05,0.00026348128306408203,ast
1.1951417752120719e-05,4.87049139217266e-05,ast
3.2598791313120934e-05,9.627406493128987e-07,ast
8.986783094100392e-05,3.450360208356873e-05,ast
7.00525686186948e-05,0.00031726808102516824,ast
4.980745253502228e-05,0.00015955087027708093,ast
1.4637591000399297e-06,2.0875346670168327e-05,ast
0.00027715765380342816,0.0005746821650162159,ast
1.1934463119867011e-05,6.595814089060958e-05,ast
8.176746268073742e-06,4.558872536253311e-06,ast
0.0001306990242097017,1.7424623715234233e-05,ast
2.0958014449456996e-06,1.6912023956816569e-06,ast
7.048885792881876e-05,0.00027978830794284093,ast
2.6567670066701687e-05,1.2561594697757528e-07,ast
1.471664821595109e-05,4.100562775555261e-06,ast
9.324172837166245e-07,6.195374674389242e-07,ast
1.9275918918038037e-05,4.248491305114399e-05,ast
8.681252074094203e-06,0.0001285225139979751,ast
1.358638903048437e-06,3.236158498765018e-05,ast
1.99576989731165e-05,0.0008557312421169083,ast
0.0001261082803767355,9.461634044805045e-05,ast
0.00025184979317405265,3.873717104352359e-05,ast
1.9231469344793695e-06,5.558232905589211e-05,ast
0.00035471903200690047,2.8889314542812627e-05,ast
1.1875770055902457e-05,4.095022893846334e-05,ast
5.811357330232081e-05,4.701277203866816e-06,ast
0.00012623795714106212,4.808480917883884e-07,ast
6.426689528771234e-05,3.0836710629422726e-07,ast
1.3372782303511244e-05,6.726778069010564e-07,ast
2.0782613256997706e-06,2.604482611667791e-05,ast
9.97544992059618e-05,0.000328511999514558,ast
1.526980307364756e-05,0.00013177609487335928,ast
8.346468036934951e-06,2.168287860460083e-05,ast
1.3596325265208264e-05,0.00046883491696181334,ast
5.071446540494406e-07,1.1394774022122078e-06,ast
0.00022886325130355711,7.927095750659419e-05,ast
3.924068285754423e-06,0.00010856015651061757,ast
1.0094506108782042e-06,6.888525180381855e-06,ast
0.00016713652784383637,7.653989874667477e-05,ast
0.00018952361474378066,0.00010796733659157454,ast
0.0001498888751746419,0.0001352329687526188,ast
4.407414376561558e-05,0.00013836358701324603,ast
2.5936777920287923e-05,0.00023892204452125032,ast
6.395856613705675e-05,0.00010124922510934553,ast
1.0975898931953054e-05,1.0609309586073756e-05,ast
1.6149571415713382e-06,3.7425582234962285e-05,ast
2.296883392927107e-06,6.977857856516057e-05,ast
0.00022964297399996614,0.00015855433354028392,ast
4.878427402688068e-05,8.686446617001131e-05,ast
2.902374384239348e-05,4.0947229878463e-05,ast
1.8910964183493917e-07,8.449452018577386e-05,ast
4.743532146744833e-06,5.689452785007099e-06,ast
3.8479881985908904e-05,1.2449582274087767e-05,ast
5.515678405010327e-05,7.344783496543439e-05,ast
0.0002556440457155418,5.679961939009104e-05,ast
1.7108055860859395e-08,4.959739284582376e-05,ast
