unit,feature,ridge_coef_standardised,logistic_coef_standardised,fit_mean_2024,fit_sd_2024,corr_with_target_2024,abs_ridge_coef
game,absence_proxy_away,-0.20891226134608198,-0.21301348687456287,1.6556603773584906,1.2011456943252488,-0.1460113191018314,0.20891226134608198
game,gp_min,-0.15426310112656857,-0.11993248144466664,24.16509433962264,11.706960858321423,-0.11240567515805545,0.15426310112656857
game,disagreement_abs,-0.12692318238189307,-0.10550100932279102,3.3363084046718154,2.0976662593348467,-0.09689735504792685,0.12692318238189307
game,line_mag,-0.09300993452306798,0.07306591414772738,6.886568057204849,3.9700384322792943,-0.06380042453806369,0.09300993452306798
game,line_disp,-0.05530934574140693,-0.02915714407553813,0.2463848119247505,0.14630491698237935,-0.02634879587816022,0.05530934574140693
game,rest_diff,0.04286758626390287,0.02512360303265062,0.3160377358490566,3.094292883908406,0.030199794605804544,0.04286758626390287
game,absence_proxy_home,-0.03131014337781751,-0.07329689749488946,1.7075471698113207,1.2206322297186156,-0.03293120009913362,0.03131014337781751
props_regular,disagreement_abs,-0.4960496381864747,-0.1206437720114039,1.6729540447529698,1.3795494156138568,-0.26600108090838476,0.4960496381864747
props_regular,line_vs_trend,0.1047258062169546,0.09144635725239937,-0.04072365723657237,1.5817542097178858,0.06099601854622405,0.1047258062169546
props_regular,book_disp,-0.08088755907799156,-0.08855595995391277,0.23546643403473175,0.2575881776425664,-0.06834282446535674,0.08088755907799156
props_regular,n_prior,0.07424723101614299,-0.012818104819684298,19.052275522755227,10.233093836134923,0.02391769558381569,0.07424723101614299
props_regular,team_absence_proxy,-0.0680566341998413,-0.06502817790153437,1.6113161131611315,1.1759039817796402,-0.035271490828794515,0.0680566341998413
props_regular,p_plays,0.054450319827223925,0.03671104927540198,0.9551623909096234,0.13588217282362916,0.03725916509754489,0.054450319827223925
props_regular,exp_min_cond,0.04168049324513912,0.05451253585458013,30.755817865792768,4.0612391400819785,-0.014296542623614773,0.04168049324513912
props_regular,min_std,0.005884688973680747,0.0005946261749846106,4.418635560761382,1.7082345117014877,0.011321045248069728,0.005884688973680747
props_playoff,disagreement_abs,-0.4960496381864747,-0.1206437720114039,1.6729540447529698,1.3795494156138568,-0.26600108090838476,0.4960496381864747
props_playoff,line_vs_trend,0.1047258062169546,0.09144635725239937,-0.04072365723657237,1.5817542097178858,0.06099601854622405,0.1047258062169546
props_playoff,book_disp,-0.08088755907799156,-0.08855595995391277,0.23546643403473175,0.2575881776425664,-0.06834282446535674,0.08088755907799156
props_playoff,n_prior,0.07424723101614299,-0.012818104819684298,19.052275522755227,10.233093836134923,0.02391769558381569,0.07424723101614299
props_playoff,team_absence_proxy,-0.0680566341998413,-0.06502817790153437,1.6113161131611315,1.1759039817796402,-0.035271490828794515,0.0680566341998413
props_playoff,p_plays,0.054450319827223925,0.03671104927540198,0.9551623909096234,0.13588217282362916,0.03725916509754489,0.054450319827223925
props_playoff,exp_min_cond,0.04168049324513912,0.05451253585458013,30.755817865792768,4.0612391400819785,-0.014296542623614773,0.04168049324513912
props_playoff,min_std,0.005884688973680747,0.0005946261749846106,4.418635560761382,1.7082345117014877,0.011321045248069728,0.005884688973680747
