unit,n_fit_2024,n_dev_2025,n_desc_2026,n_features,lambda,lambda_escalated_for_df_cap,trace_H,df_cap,logit_lambda,r2_in_sample_2024,r2_dev_2025,spearman_dev_2025,spearman_desc_2026,auc_sign_dev_2025,pred_edge_var_share_from_disagreement,corr_pred_edge_with_disagreement_dev,selector_direction_vs_disagreement,mean_edge_2024,mean_edge_dev_2025,mean_edge_desc_2026
game,212,211,128,7,300.0,False,3.8586240485482337,10.0,30.0,0.030459650586535436,0.0009752040962676123,0.04916646440387834,0.03796809192455594,0.5182586796186365,0.2636541124124663,-0.5134726014233537,bet-when-we-AGREE,-0.6113222494691333,-0.4431963718801658,-0.15212145598257254
props_regular,1626,1975,1776,8,100.0,False,8.505408423697421,10.0,100.0,0.0796722128400642,0.04635583167375679,0.15874541592332567,0.18578071020841316,0.5279656190131,0.8842260787737302,-0.9403329616543973,bet-when-we-AGREE,-0.31777434581051517,-0.3070556580917548,-0.3115517416777547
props_playoff,1626,256,0,8,100.0,False,8.505408423697421,10.0,100.0,0.0796722128400642,-0.014250251826930072,0.092646343556878,,0.5372549019607843,0.8973528983722683,-0.9472871256236244,bet-when-we-AGREE,-0.31777434581051517,-0.17239343262462653,
