unit,slice,slice_status,arm,bucket,n_available,n_bets,coverage_share,n_dates,n_players,starrable,realised_edge_mean,realised_edge_ci90_low,realised_edge_ci90_high,roi_captured_mean,roi_captured_ci90_low,roi_captured_ci90_high,roi_m110_mean,roi_m110_ci90_low,roi_m110_ci90_high,roi_captured_boot_ci90_low,roi_captured_boot_ci90_high,wins,losses,pushes,hit_rate,share_we_beat_market,mean_model_abs_err,mean_market_abs_err,mean_abs_disagreement
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,selector_ridge,top_decile,211,21,0.0995260663507109,17,,False,-0.4494711352714714,-1.3658698023526759,0.4669275318097331,-0.001703949072370079,-0.28872142897303854,0.28531353082829836,4.229421046191072e-17,-0.28750653763477524,0.28750653763477535,-0.29685519159203366,0.29375386796439423,11,10,0,0.5238095238095238,0.5238095238095238,10.253703939504273,9.804232804232804,2.6279554517535515
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,selector_ridge,top_quartile,211,52,0.24644549763033174,40,,True,0.14979240459040313,-0.4326027655049257,0.7321875746857319,0.14004103034467413,-0.04966862740287148,0.32975068809221975,0.13811188811188815,-0.05110897055158986,0.32733274677536617,-0.06099271802085556,0.34090855866720554,31,21,0,0.5961538461538461,0.5769230769230769,12.046121750698754,12.195914155289158,2.6007323796394277
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,selector_ridge,top_half,211,105,0.4976303317535545,69,,True,-0.43991753453810883,-1.0353463267531664,0.1555112576769488,-0.0012232045108071753,-0.1355342516048669,0.13308784258325254,4.229421046191072e-17,-0.13425704140954417,0.13425704140954428,-0.13439612429392783,0.12986841977872082,55,50,0,0.5238095238095238,0.4666666666666667,11.353913102462249,10.913995567924141,3.4249813502943245
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,selector_logistic_sign,top_decile,211,21,0.0995260663507109,19,,False,0.33971245784305415,-0.6961433644979145,1.3755682801840228,0.2724623416570677,-0.019681193452821544,0.5646058767669568,0.27272727272727276,-0.017936844455167245,0.5633913899097127,-0.04169433260342348,0.5491454332034044,14,7,0,0.6666666666666666,0.6190476190476191,11.48810311282966,11.827815570672712,3.095604022690399
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,selector_logistic_sign,top_quartile,211,52,0.24644549763033174,40,,True,-0.082825185311578,-0.838529243835936,0.67287887321278,0.17416257432319748,-0.036511286014234506,0.38483643466062945,0.17482517482517487,-0.035617829935256584,0.38526817958560633,-0.017096782739300653,0.3845613749922875,32,20,0,0.6153846153846154,0.5576923076923077,11.347054705791098,11.26422952047952,3.0299973570819003
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,selector_logistic_sign,top_half,211,105,0.4976303317535545,65,,True,-0.6354357084532221,-1.2249836560671559,-0.04588776083928825,0.038430111025440694,-0.09417264230160949,0.17103286435249088,0.03636363636363641,-0.09566847593366024,0.16839574866093304,-0.09790111392886826,0.1752951418639329,57,48,0,0.5428571428571428,0.4857142857142857,11.47552022710917,10.840084518655948,3.5691902203992507
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,comparator_disagreement_only,top_decile,211,21,0.0995260663507109,21,,False,-2.083299801053886,-5.206056926028163,1.0394573239203901,0.002128301852350557,-0.3410214632582456,0.3452780669629468,4.229421046191072e-17,-0.34226296818957697,0.3422629681895771,-0.3583087920422661,0.3592674221706967,11,10,0,0.5238095238095238,0.3333333333333333,12.796256751510835,10.71295695045695,9.595214898970971
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,comparator_disagreement_only,top_quartile,211,52,0.24644549763033174,45,,True,-0.8573475146586738,-2.61492790509549,0.9002328757781421,0.063534060006701,-0.14586632343786612,0.27293444345126816,0.06468531468531473,-0.14476183152791489,0.2741324608985444,-0.1403386485083228,0.2694620929106297,29,23,0,0.5576923076923077,0.4423076923076923,13.011452784388947,12.15410526973027,8.165491016725783
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,comparator_disagreement_only,top_half,211,105,0.4976303317535545,73,,True,-0.981660159143744,-1.9957167861846012,0.03239646789711326,0.010315433316673159,-0.1280725289926909,0.14870339562603718,4.229421046191072e-17,-0.13982260176119254,0.13982260176119266,-0.14167067596864832,0.14408045725523705,55,49,1,0.5238095238095238,0.4095238095238095,11.044492736619178,10.062832577475435,6.545777267633221
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,comparator_absence_proxy_only,top_decile,211,21,0.0995260663507109,18,,False,-0.06961326279855957,-1.8980836982229556,1.7588571726258366,0.08648634048320716,-0.24010731989032721,0.41308000085674157,0.09090909090909095,-0.23728531831802235,0.41910350013620423,-0.20260210803689063,0.4282910367125211,12,9,0,0.5714285714285714,0.47619047619047616,10.777157239985394,10.707543977186834,4.608104184843709
