unit,null,test,observed,B_final,draws_used,exceedances,p_perm,halted_early,halt_iteration,p_is_lower_bound,null_mean,null_sd,mde_at_q,mde_at_q_over_m,q_bh,starred_bh,n_bets,meets_c6_bet_floor,starred_final,battery_m
game,game_date_blocked,top_decile|mean_realised_edge,-0.4494711352714712,2000,383,200,0.5234375,True,383.0,True,-0.4352530941770532,1.0197829667027307,0.7624823669503603,2.5731069788879664,0.9078590785907859,False,21.0,False,False,30
game,game_date_blocked,top_decile|roi_captured,-0.001703949072370079,2000,318,200,0.6300940438871473,True,318.0,True,0.0585699902991884,0.20723567242751145,0.28605512345739315,0.5528611875513368,0.9078590785907859,False,21.0,False,False,30
game,game_date_blocked,top_decile|roi_m110,4.229421046191072e-17,2000,302,200,0.6633663366336634,True,302.0,True,0.05448524984948831,0.20915240487380857,0.27272727272727276,0.5454545454545457,0.9078590785907859,False,21.0,False,False,30
game,game_date_blocked,top_quartile|mean_realised_edge,0.14979240459040316,2000,1370,200,0.14660831509846828,True,1370.0,True,-0.45011780952155944,0.5579568306597253,0.2782004040123255,1.1293378476173173,0.41909924937447873,False,52.0,True,False,30
game,game_date_blocked,top_quartile|roi_captured,0.14004103034467413,2000,998,200,0.2012012012012012,True,998.0,True,0.05428812176330967,0.11212795508613546,0.19721398511781132,0.34597843035540254,0.5552486187845304,False,52.0,True,False,30
game,game_date_blocked,top_quartile|roi_m110,0.13811188811188815,2000,779,200,0.25769230769230766,True,779.0,True,0.051017980735567466,0.11266406435712117,0.21153846153846162,0.32167832167832205,0.5946745562130178,False,52.0,True,False,30
game,game_date_blocked,top_half|mean_realised_edge,-0.43991753453810895,2000,394,200,0.5088607594936709,True,394.0,True,-0.43746755659990016,0.33760380534646683,-0.00044286835329112575,0.3640974992375916,0.9078590785907859,False,105.0,True,False,30
game,game_date_blocked,top_half|roi_captured,-0.0012232045108071733,2000,256,200,0.7821011673151751,True,256.0,True,0.05434734893997709,0.06749606251128401,0.1410961683557428,0.24447182892914662,0.9078590785907859,False,105.0,True,False,30
game,game_date_blocked,top_half|roi_m110,4.229421046191072e-17,2000,254,200,0.788235294117647,True,254.0,True,0.049248389405869855,0.06766990787019105,0.12727272727272768,0.24206060606060653,0.9078590785907859,False,105.0,True,False,30
game,game_date_blocked,spearman,0.04916646440387834,2000,871,200,0.2305045871559633,True,871.0,True,-0.00026248280888519794,0.06831240426652782,0.08964244197187059,0.17332213436210583,0.5575073964497042,False,,True,False,30
game,team_pair_blocked,top_decile|mean_realised_edge,-0.4494711352714712,2000,411,200,0.4878640776699029,True,411.0,True,-0.496960769845082,1.0152039753865247,0.8325854016800234,2.0579845875644787,0.9078590785907859,False,21.0,False,False,30
game,team_pair_blocked,top_decile|roi_captured,-0.001703949072370079,2000,317,200,0.6320754716981132,True,317.0,True,0.04945047871958379,0.192226240180315,0.2781177067981035,0.46237050114414485,0.9078590785907859,False,21.0,False,False,30
game,team_pair_blocked,top_decile|roi_m110,4.229421046191072e-17,2000,292,200,0.6860068259385665,True,292.0,True,0.04763387297633877,0.1937866651474016,0.27272727272727276,0.46000000000000557,0.9078590785907859,False,21.0,False,False,30
game,team_pair_blocked,top_quartile|mean_realised_edge,0.14979240459040316,2000,1307,200,0.1536697247706422,True,1307.0,True,-0.4450737710322538,0.5689548237357902,0.28897055360447454,1.1083130686002527,0.41909924937447873,False,52.0,True,False,30
game,team_pair_blocked,top_quartile|roi_captured,0.14004103034467413,2000,904,200,0.22209944751381216,True,904.0,True,0.05519302427532113,0.11203383857325386,0.19863238908755565,0.35798683270066783,0.5552486187845304,False,52.0,True,False,30
game,team_pair_blocked,top_quartile|roi_m110,0.13811188811188815,2000,675,200,0.2973372781065089,True,675.0,True,0.05598290598290606,0.1145398242874922,0.21153846153846168,0.3583916083916087,0.5946745562130178,False,52.0,True,False,30
game,team_pair_blocked,top_half|mean_realised_edge,-0.43991753453810895,2000,408,200,0.49144254278728605,True,408.0,True,-0.459993411721053,0.3272293582804437,-0.05203014692869214,0.29988929492837346,0.9078590785907859,False,105.0,True,False,30
game,team_pair_blocked,top_half|roi_captured,-0.0012232045108071733,2000,255,200,0.78515625,True,255.0,True,0.05243357606398821,0.0620416030861989,0.13188978379673094,0.19076153377251417,0.9078590785907859,False,105.0,True,False,30
game,team_pair_blocked,top_half|roi_m110,4.229421046191072e-17,2000,255,200,0.78515625,True,255.0,True,0.04713012477718373,0.06175297298617035,0.1272727272727275,0.18181818181818218,0.9078590785907859,False,105.0,True,False,30
game,team_pair_blocked,spearman,0.04916646440387834,2000,831,200,0.24158653846153846,True,831.0,True,-5.6123215954199684e-05,0.06733598049292906,0.08361032689924758,0.16812044642591015,0.5575073964497042,False,,True,False,30
props_regular,game_date_blocked,top_decile|mean_realised_edge,-0.047280315369325844,2000,2000,65,0.03298350824587706,False,,False,-0.3006629652824317,0.14172279745183763,-0.1130337416536504,0.058724076852320076,0.12931034482758622,False,197.0,True,False,30
props_regular,game_date_blocked,top_decile|roi_captured,-0.06963830898016833,2000,336,200,0.5964391691394659,True,336.0,True,-0.05848390991006301,0.05941151038349,0.01868348266616948,0.08729890013666884,0.9078590785907859,False,197.0,True,False,30
props_regular,game_date_blocked,top_decile|roi_m110,-0.05999077065066929,2000,285,200,0.7027972027972028,True,285.0,True,-0.03506666990503489,0.06031945495953635,0.04660821412090422,0.11444393170281501,0.9078590785907859,False,197.0,True,False,30
props_regular,game_date_blocked,top_quartile|mean_realised_edge,-0.05011088813525151,2000,2000,2,0.0014992503748125937,False,,False,-0.3043263912359977,0.08129729088843642,-0.1996851725729433,-0.09984406021542531,0.014992503748125935,True,493.0,True,True,30
props_regular,game_date_blocked,top_quartile|roi_captured,-0.084314124442529,2000,254,200,0.788235294117647,True,254.0,True,-0.05543621097436596,0.038079881418616644,-0.004619106359059685,0.0515070325657946,0.9078590785907859,False,493.0,True,False,30
props_regular,game_date_blocked,top_quartile|roi_m110,-0.07062511524986169,2000,235,200,0.8516949152542372,True,235.0,True,-0.03223072728057412,0.03854085720340627,0.016891019730776162,0.07520929374884738,0.9159957466200821,False,493.0,True,False,30
props_regular,game_date_blocked,top_half|mean_realised_edge,-0.05790595411912571,2000,2000,0,0.0004997501249375312,False,,False,-0.30613079196959786,0.04711184519012338,-0.24535458134934454,-0.18159120097168785,0.0074962518740629685,True,987.0,True,True,30
props_regular,game_date_blocked,top_half|roi_captured,-0.06848428223873955,2000,270,200,0.7416974169741697,True,270.0,True,-0.055557020779701254,0.02133475680097943,-0.02707662114340485,0.0007085918363527083,0.9078590785907859,False,987.0,True,False,30
