unit,slice,arm,curve_type,x,x_label,n,coverage_share,realised_edge_mean,realised_edge_ci90_low,realised_edge_ci90_high,roi_captured,roi_captured_ci90_low,roi_captured_ci90_high,roi_m110,pred_score_mean,mean_abs_disagreement,hit_rate,starrable
game,2025_development,selector_ridge,decile,1.0,decile_1,21,0.0995260663507109,-0.4494711352714714,-1.3658698023526759,0.4669275318097331,-0.001703949072370079,-0.28872142897303854,0.28531353082829836,4.229421046191072e-17,-0.17064568960043566,2.6279554517535515,0.5238095238095238,False
game,2025_development,selector_ridge,decile,2.0,decile_2,21,0.0995260663507109,0.4273547826381799,-0.5374524001640439,1.3921619654404038,0.18402126046236328,-0.1154405643213735,0.48348308524610006,0.18181818181818188,-0.35725456074445106,2.799505460695067,0.6190476190476191,False
game,2025_development,selector_ridge,decile,3.0,decile_3,21,0.0995260663507109,-0.35802493949600117,-1.7657664650510894,1.0497165860590871,0.010082933930416746,-0.3496342293604753,0.3698000972213088,4.229421046191072e-17,-0.4695615756495566,3.2291614404504116,0.5238095238095238,False
game,2025_development,selector_ridge,decile,4.0,decile_4,21,0.0995260663507109,-1.4899285581408304,-3.0047232480969512,0.024866131815290737,-0.27520323017217424,-0.6348872148029598,0.08448075445861142,-0.2727272727272727,-0.5670839869571788,3.817898322796938,0.38095238095238093,False
game,2025_development,selector_ridge,decile,5.0,decile_5,21,0.0995260663507109,-0.32951782242042116,-1.938688632569667,1.2796529877288247,0.07668696229772842,-0.27492926261357564,0.4283031872090325,0.09090909090909095,-0.6366015088835157,4.650386075775655,0.5714285714285714,False
game,2025_development,selector_ridge,decile,6.0,decile_6,21,0.0995260663507109,-0.19021851381705174,-1.8869575104291583,1.5065204827950547,0.14905044100605824,-0.24722575737237107,0.5453266393844876,0.09090909090909095,-0.7074650367575456,4.037421780872727,0.5714285714285714,False
game,2025_development,selector_ridge,decile,7.0,decile_7,21,0.0995260663507109,-0.037831106671383244,-1.3520929831002528,1.2764307697574864,0.0031785585766570747,-0.30764118812558644,0.31399830527890055,4.229421046191072e-17,-0.8125659629112014,4.515669301271059,0.5238095238095238,False
game,2025_development,selector_ridge,decile,8.0,decile_8,21,0.0995260663507109,0.4987781183365251,-1.5205136522821423,2.5180698889551927,0.36376682392682713,0.05397945936843723,0.673554188485217,0.3636363636363637,-0.9458911696569698,5.65022281613545,0.7142857142857143,False
game,2025_development,selector_ridge,decile,9.0,decile_9,21,0.0995260663507109,-0.39493145995450535,-2.264159845186918,1.4742969252779072,0.0885964631892876,-0.21579658695068227,0.39298951332925747,0.09090909090909095,-1.0719814929137435,5.630983651020223,0.5714285714285714,False
game,2025_development,selector_ridge,decile,10.0,decile_10,22,0.10426540284360189,-2.032492324362673,-4.315227467527896,0.25024281880254984,-0.04516389690526462,-0.34713927397177924,0.25681148016125,-0.045454545454545414,-1.3102468289682436,7.1396038066033745,0.5,False
game,2025_development,selector_ridge,coverage,0.05,top_5pct,10,0.04739336492890995,0.7128504422326257,-0.28565060423401156,1.711351488699263,0.3311018416281574,-0.07381512200788776,0.7360188052642026,0.3363636363636364,-0.0804148214145541,2.0888667829917096,0.7,False
game,2025_development,selector_ridge,coverage,0.1,top_10pct,21,0.0995260663507109,-0.4494711352714714,-1.3658698023526759,0.4669275318097331,-0.001703949072370079,-0.28872142897303854,0.28531353082829836,4.229421046191072e-17,-0.17064568960043566,2.6279554517535515,0.5238095238095238,False
game,2025_development,selector_ridge,coverage,0.15,top_15pct,31,0.14691943127962084,0.12921285613633296,-0.6343973981719904,0.8928231104446562,0.17335578965460124,-0.07742537861117099,0.4241369579203735,0.17008797653958949,-0.220580016006549,2.5596859677597843,0.6129032258064516,False
game,2025_development,selector_ridge,coverage,0.2,top_20pct,42,0.1990521327014218,-0.011058176316645676,-0.684232516778781,0.6621161641454898,0.09115865569499661,-0.12162272031517689,0.3039400317051701,0.09090909090909095,-0.2639501251724433,2.713730456224309,0.5714285714285714,False
game,2025_development,selector_ridge,coverage,0.25,top_25pct,52,0.24644549763033174,0.14979240459040313,-0.4326027655049257,0.7321875746857319,0.14004103034467413,-0.04966862740287148,0.32975068809221975,0.13811188811188815,-0.29699679108142,2.6007323796394277,0.5961538461538461,True
game,2025_development,selector_ridge,coverage,0.3,top_30pct,63,0.2985781990521327,-0.1267137640430976,-0.787037628964008,0.5336101008778129,0.06413341510680332,-0.1279720485011736,0.25623887871478024,0.06060606060606065,-0.3324872753314811,2.885540784299677,0.5555555555555556,True
game,2025_development,selector_ridge,coverage,0.4,top_40pct,84,0.3981042654028436,-0.4675174625675308,-1.1080321078783042,0.17299718274324272,-0.020700746212941105,-0.1901765331368791,0.1487750407109969,-0.022727272727272686,-0.3911364532379055,3.1186301689239917,0.5119047619047619,True
game,2025_development,selector_ridge,coverage,0.5,top_50pct,105,0.4976303317535545,-0.43991753453810883,-1.0353463267531664,0.1555112576769488,-0.0012232045108071753,-0.1355342516048669,0.13308784258325254,4.229421046191072e-17,-0.44022946436702753,3.4249813502943245,0.5238095238095238,True
game,2025_development,selector_ridge,coverage,0.6,top_60pct,126,0.5971563981042654,-0.39830103108459936,-0.9555153703033092,0.15891330813411053,0.023822403075337062,-0.09232405496642941,0.13996886111710355,0.015151515151515195,-0.48476872643211394,3.527054755390725,0.5317460317460317,True
