catalog_number,channel,alpha,inner_mae
27,fg3,22.0,3.267443110358659
27,fg3,23.0,3.267756967845384
27,fg3,24.0,3.2681585200685928
27,fg3,25.0,3.268664429724975
27,fg3,26.0,3.269295258273155
27,fg3,27.0,3.2699887408275004
27,fg3,28.0,3.2704520820415053
27,fg3,29.0,3.2698422830735936
27,fg3,30.0,3.267554857854867
27,fg3,31.0,3.264865005591455
27,fg3,32.0,3.2633256089640437
27,fg3,33.0,3.2628138836416984
27,fg3,34.0,3.2627689007292955
27,paint,22.0,3.5858739052100503
27,paint,23.0,3.5857542877258264
27,paint,24.0,3.585599449778806
27,paint,25.0,3.5853681879384047
27,paint,26.0,3.5850235533586363
27,paint,27.0,3.584567095655274
27,paint,28.0,3.584041272926612
27,paint,29.0,3.583586114267026
27,paint,30.0,3.5834380542964994
27,paint,31.0,3.58390486114842
27,paint,32.0,3.584661119039533
27,paint,33.0,3.5852393681755035
27,paint,34.0,3.5856083363643148
27,ft,22.0,2.0807973337063514
27,ft,23.0,2.0808539049488473
27,ft,24.0,2.0809233957982705
27,ft,25.0,2.0810070028928185
27,ft,26.0,2.0811086777280052
27,ft,27.0,2.0812550335171784
27,ft,28.0,2.0813871917179245
27,ft,29.0,2.081377318534875
27,ft,30.0,2.081044160455367
27,ft,31.0,2.080593020686384
27,ft,32.0,2.0803120083054467
27,ft,33.0,2.080185870328115
27,ft,34.0,2.080138393732076
27,np2,22.0,1.7667384113247762
27,np2,23.0,1.7667536319085257
27,np2,24.0,1.7667682069592956
27,np2,25.0,1.7667782278564055
27,np2,26.0,1.7667683574833193
27,np2,27.0,1.7666987957058116
27,np2,28.0,1.7664964669709926
27,np2,29.0,1.7660904434355178
27,np2,30.0,1.7655662350043586
27,np2,31.0,1.7652510604475775
27,np2,32.0,1.765253934547861
27,np2,33.0,1.765409337138765
27,np2,34.0,1.7655817255011972
