channel,alpha,inner_mae
fg3,0.05,3.1730525400602647
fg3,0.1,3.18530643998848
fg3,0.15,3.2038358077520908
fg3,0.2,3.227476556579822
fg3,0.25,3.2540864114813
fg3,0.3,3.284291842048082
fg3,0.35,3.3166274757968073
fg3,0.4,3.350630023022186
fg3,0.45,3.386496749964836
fg3,0.5,3.424432802656859
paint,0.05,3.578290446883957
paint,0.1,3.5891119111822465
paint,0.15,3.6091071406311426
paint,0.2,3.6372167055412725
paint,0.25,3.671239806642831
paint,0.3,3.7103909928379863
paint,0.35,3.7536969062184258
paint,0.4,3.8001331674347156
paint,0.45,3.849300053700136
paint,0.5,3.9019925876588473
ft,0.05,2.0639150816512863
ft,0.1,2.0682063003504862
ft,0.15,2.0771403692309893
ft,0.2,2.0893212677886495
ft,0.25,2.1048532872509984
ft,0.3,2.1233707742189236
ft,0.35,2.1431719865098477
ft,0.4,2.164576543354442
ft,0.45,2.187940293198835
ft,0.5,2.2127672198910786
np2,0.05,1.7009230322377198
np2,0.1,1.702101725951241
np2,0.15,1.7074074492917475
np2,0.2,1.7151366885938872
np2,0.25,1.7245355382874734
np2,0.3,1.7353833898148254
np2,0.35,1.746886608286322
np2,0.4,1.7595685975310051
np2,0.45,1.7731176282728107
np2,0.5,1.7873559107973085
