catalog_number,name,channel,season,n_universe_rows,n_defined,defined_share
80,minutes_load_x_age_pooled,ft,2024,3261,3261,1.0
80,minutes_load_x_age_pooled,np2,2021,2517,2517,1.0
80,minutes_load_x_age_pooled,np2,2022,2915,2915,1.0
80,minutes_load_x_age_pooled,np2,2023,3255,3255,1.0
80,minutes_load_x_age_pooled,np2,2024,3261,3261,1.0
86,venue_elevation,fg3,2021,2517,2517,1.0
86,venue_elevation,fg3,2022,2915,2915,1.0
86,venue_elevation,fg3,2023,3255,3255,1.0
86,venue_elevation,fg3,2024,3261,3261,1.0
86,venue_elevation,paint,2021,2517,2517,1.0
86,venue_elevation,paint,2022,2915,2915,1.0
86,venue_elevation,paint,2023,3255,3255,1.0
86,venue_elevation,paint,2024,3261,3261,1.0
86,venue_elevation,ft,2021,2517,2517,1.0
86,venue_elevation,ft,2022,2915,2915,1.0
86,venue_elevation,ft,2023,3255,3255,1.0
86,venue_elevation,ft,2024,3261,3261,1.0
86,venue_elevation,np2,2021,2517,2517,1.0
86,venue_elevation,np2,2022,2915,2915,1.0
86,venue_elevation,np2,2023,3255,3255,1.0
86,venue_elevation,np2,2024,3261,3261,1.0
