catalog_number,name,channel,alpha_chosen,delta_mae_min15,p_value_min15,sign_min15,agrees_with_primary
7,b2b_x_age_pooled,fg3,,0.00042,0.63184,+,True
7,b2b_x_age_pooled,paint,,0.00423,0.94527,+,True
7,b2b_x_age_pooled,ft,,0.0005,0.72637,+,True
7,b2b_x_age_pooled,np2,,-0.0028,0.02488,-,True
9,travel_km_since_last,fg3,,0.00181,0.9403,+,True
9,travel_km_since_last,paint,,0.00102,0.8607,+,True
9,travel_km_since_last,ft,,-0.0017,0.00995,-,True
9,travel_km_since_last,np2,,-4e-05,0.38806,-,False
10,tip_split_local,fg3,,-0.00629,0.00498,-,True
10,tip_split_local,paint,,-0.0001,0.37313,-,True
10,tip_split_local,ft,,9e-05,0.65174,+,False
10,tip_split_local,np2,,0.00023,0.64179,+,True
27,age_curve_peak,fg3,34.0,-0.00186,0.06468,-,True
27,age_curve_peak,paint,30.0,0.0047,0.99005,+,True
27,age_curve_peak,ft,34.0,-0.00087,0.06965,-,True
27,age_curve_peak,np2,31.0,0.00194,0.96517,+,True
28,height_x_paint_vol,paint,,-0.00336,0.00498,-,True
29,experience_x_minutes_vol,fg3,,1e-05,0.41791,+,True
29,experience_x_minutes_vol,paint,,0.00021,0.55224,+,True
29,experience_x_minutes_vol,ft,,-0.00029,0.21393,-,True
29,experience_x_minutes_vol,np2,,0.00053,0.73632,+,True
30,draft_pedigree_lowexp,fg3,,-0.00289,0.01493,-,True
30,draft_pedigree_lowexp,paint,,0.00173,0.8806,+,True
30,draft_pedigree_lowexp,ft,,0.00031,0.71642,+,False
30,draft_pedigree_lowexp,np2,,-0.00214,0.01493,-,True
31,weight_x_b2b_pooled,fg3,,0.00267,0.89552,+,True
31,weight_x_b2b_pooled,paint,,-0.00435,0.00995,-,True
31,weight_x_b2b_pooled,ft,,-0.00058,0.15423,-,True
31,weight_x_b2b_pooled,np2,,0.00097,0.86567,+,True
33,age_x_travel_pooled,fg3,,0.0,0.41791,+,False
33,age_x_travel_pooled,paint,,-0.0007,0.11443,-,True
33,age_x_travel_pooled,ft,,-0.00051,0.1592,-,True
33,age_x_travel_pooled,np2,,0.00062,0.801,+,True
80,minutes_load_x_age_pooled,fg3,,0.00031,0.56716,+,True
80,minutes_load_x_age_pooled,paint,,-0.00022,0.29353,-,False
80,minutes_load_x_age_pooled,ft,,-0.0007,0.14925,-,True
80,minutes_load_x_age_pooled,np2,,0.0002,0.56219,+,True
86,venue_elevation,fg3,,-0.00308,0.00995,-,True
86,venue_elevation,paint,,-0.00141,0.05473,-,True
86,venue_elevation,ft,,0.00043,0.78607,+,True
86,venue_elevation,np2,,0.00078,0.9204,+,True
