candidate,kit_recommended_level,n_distinct,var_share_between_player_season,scheme_used
pl_games_prior,row,52,0.173205999407167,WITHIN-block
pl_minutes_prior,row,12954,0.40149312276223725,WITHIN-block
pl_career_games_prior,row,183,0.9297751484504233,BETWEEN-block
pl_prior_season_games,row,113,1.0000000000000002,BETWEEN-block
pl_is_rookie_window,row,2,1.0,BETWEEN-block
pl_min_sd5,row,12867,0.2526055198157186,WITHIN-block
pl_min_mean5,row,8983,0.8381768438727035,BETWEEN-block
pl_fga_sd5,row,1926,0.3802166985071511,WITHIN-block
pl_fga_mean5,row,215,0.8772416268886151,BETWEEN-block
pl_pts_sd5,row,3299,0.460263339642068,WITHIN-block
pl_pts_mean5,row,272,0.8484512155752225,BETWEEN-block
pl_usg_sd5,row,12495,0.4575958716260615,WITHIN-block
pl_usg_mean5,row,2862,0.7515377479152693,BETWEEN-block
pl_min_cv5,row,12870,0.6261357742279496,BETWEEN-block
pl_min_rng5,row,3410,0.24351974699536982,WITHIN-block
pl_min_trend5,row,10422,0.0217090045812032,WITHIN-block
pl_abs_min_trend5,row,9279,0.11896609806554549,WITHIN-block
pl_start_frac5,row,12,0.8041656226622564,BETWEEN-block
pl_start_switch5,row,7,0.30954947072863015,WITHIN-block
pl_rest_days,row,61,0.07544587329999722,WITHIN-block
pl_teamgames_since_appear,row,23,0.1293720917680294,WITHIN-block
pl_dnp_frac5,row,12,0.44087679366611354,WITHIN-block
tm_game_idx,team_game,51,0.10376994981353625,WITHIN-block
tm_rest_days,team_game,13,0.010666280967320765,WITHIN-block
tm_b2b,team_game,2,0.02724516571510084,WITHIN-block
tm_3in4,team_game,2,0.038977179138072665,WITHIN-block
tm_games_prior7d,team_game,5,0.03886635245295142,WITHIN-block
tm_poss_mean_prior,team_game,1211,0.5148890329686022,BETWEEN-block
tm_roster_churn_prior,team_game,25,0.07221739007040824,WITHIN-block
tm_newfaces_prior,team_game,9,0.029719278226610815,WITHIN-block
tm_five_tenure_prior,team_game,32,0.3435590514007195,WITHIN-block
tm_five_changed_prior,team_game,3,0.09729453987851648,WITHIN-block
tm_season_progress,team_game,51,0.10376994981353627,WITHIN-block
tm_prior_meetings,game,9,0.08782806093043749,WITHIN-block
tm_first_meeting,game,2,0.045652658097228994,WITHIN-block
tm_is_home,team_game,2,0.01148922359400167,WITHIN-block
tm_rest_diff,team_game,17,0.021357547517006737,WITHIN-block
opp_poss_mean_prior,team_game,1211,0.03806388356282375,WITHIN-block
opp_rest_days,team_game,13,0.018371298907154426,WITHIN-block
opp_game_idx,team_game,51,0.1054902164835245,WITHIN-block
pts__pred_sd,season,3,1.0,BETWEEN-block
pts__pred_width,row,6392,0.717815696963973,BETWEEN-block
pts__pred_iqr,row,2393,0.6417817668300679,BETWEEN-block
pts__is_fallback,row,2,0.08128925584750753,WITHIN-block
pts__fallback_level,row,3,0.09759121228086792,WITHIN-block
pts__is_cold_start,row,2,0.13275926595214574,WITHIN-block
pts__n_prior_games,row,52,0.17565795742686252,WITHIN-block
minutes__pred_sd,season,3,0.9999999999999999,BETWEEN-block
minutes__pred_width,row,1829,0.7274916818824678,BETWEEN-block
minutes__is_fallback,row,2,0.08128925584750753,WITHIN-block
fga__pred_sd,season,3,0.9999999999999994,BETWEEN-block
fga__pred_width,row,4441,0.6970739652800257,BETWEEN-block
fga__is_fallback,row,2,0.08128925584750753,WITHIN-block
rate_pred_width,row,12453,0.6438692654421349,BETWEEN-block
rate_pred_cv,row,12392,0.4791308332211436,WITHIN-block
