stratum,n,H1_model_min_x_model_rate,H2_model_min_x_naive_rate,H3_naive_min_x_model_rate,H4_naive_min_x_naive_rate,H3_minus_H1,champion_points_mae,reference_points_mae,minutes_skill,rate_ppm_skill
THIN   < 8 prior same-season appearances,3213,-0.05588529083287086,-0.03961370571107192,0.023443639038911335,0.00681902330981321,0.0793289298717822,4.516671603660197,4.2776158005738445,-0.1287075674085547,0.025834799656461405
ADEQUATE >= 8 prior appearances,10666,0.014429829827406149,0.014702439932411493,0.003291024642478768,0.0012105343003477875,-0.01113880518492738,4.092790943529082,4.15271389840497,0.08887961824311053,-0.001680838397175588
fallback rows only,1061,-0.18626417611743906,-0.10775939736546647,0.021666553858542437,0.019604713030281995,0.2079307299759815,6.0639561358648475,5.111809205696288,-0.34077561780952115,0.020803520048815805
non-fallback rows only,12818,0.016750167142897787,0.013137578645928238,0.006661187812892155,0.0007794589274360275,-0.010088979330005632,4.035880527858388,4.104633830581013,0.07994682515976226,0.003986329545644152
POOLED,13879,-0.0022218316796525084,0.0018395725558025822,0.008063462067893656,0.0025387075250357105,0.010285293747546165,4.190919667572693,4.181628792249526,0.035549460412317546,0.005590773577162533
