component,kind,reference,reference_kind,n,model_mae,ref_mae,skill,r2_forecast_as_is,paired_mean_abs_err_diff_model_minus_ref,p_two_sided_block_signflip,null_sd,n_player_season_blocks
minutes,LEVEL,ref_minutes,D076 prior mean,13879,5.079670829517938,5.266906514137652,0.035549460412317546,0.6193570946106857,-0.187235684619714,0.0004997501249375312,0.04248276739537423,475
fga,LEVEL,ref_fga,D076 prior mean,13879,2.6375697656574264,2.640610728352467,0.0011516133985177701,0.5893473253051167,-0.0030409626950401903,0.8015992003998001,0.01194171837416713,475
pts,LEVEL,ref_pts,D076 prior mean,13879,4.190919667572693,4.181628792249526,-0.0022218316796525084,0.4694094384707139,0.009290875323166853,0.552223888055972,0.015441008702697009,475
fga_per_min,RATE,refA_fpm,A mean-of-prior-ratios,13879,0.11033798411000435,0.1118426915806147,0.013453784501652244,0.21136526058216953,-0.0015047074706103425,0.0004997501249375312,0.00035312327015004296,475
fga_per_min,RATE,refB_fpm,B ratio-of-prior-sums,13879,0.11033798411000435,0.11111056544847446,0.006953266193469032,0.21136526058216953,-0.0007725813384700824,0.0074962518740629685,0.00029608494670873377,475
pts_per_fga,RATE,refA_ppf,A mean-of-prior-ratios,12976,0.5065778966660669,0.5175857623294488,0.02126771341978151,-0.052149132509627494,-0.011007865663381874,0.0004997501249375312,0.0017863378688100996,472
pts_per_fga,RATE,refB_ppf,B ratio-of-prior-sums,12976,0.5065778966660669,0.5118171255878924,0.010236525235077898,-0.052149132509627494,-0.00523922892182544,0.0004997501249375312,0.0015492332522243418,472
pts_per_min,RATE,refA_ppm,A mean-of-prior-ratios,13879,0.18174283099586136,0.18276462664132767,0.005590773577162533,0.1435623302077924,-0.0010217956454662937,0.05897051474262868,0.0005347657515324306,475
pts_per_min,RATE,refB_ppm,B ratio-of-prior-sums,13879,0.18174283099586136,0.18350234471241633,0.009588508088615777,0.1435623302077924,-0.0017595137165549726,0.004997501249375313,0.0006268694956173291,475
