naive_rate_variant,naive_rate_kind,cell,minutes_factor,rate_factor,n,points_mae,ref_pts_mae,skill_vs_ref_pts,rmse,r2_forecast_as_is
A,mean-of-prior-ratios,H1_model_min_x_model_rate,model,model,13879,4.190919667572693,4.181628792249526,-0.0022218316796525084,5.52122155908056,0.4694094384707139
A,mean-of-prior-ratios,H2_model_min_x_naive_rate,model,naive,13879,4.17393638268475,4.181628792249526,0.0018395725558025822,5.540370509357651,0.465722619785933
A,mean-of-prior-ratios,H3_naive_min_x_model_rate,naive,model,13879,4.14791038710121,4.181628792249526,0.008063462067893656,5.475125867162971,0.47823206633204973
A,mean-of-prior-ratios,H4_naive_min_x_naive_rate,naive,naive,13879,4.171012859767736,4.181628792249526,0.0025387075250357105,5.514609804260606,0.4706794596572268
B,ratio-of-prior-sums,H1_model_min_x_model_rate,model,model,13879,4.190919667572693,4.181628792249526,-0.0022218316796525084,5.52122155908056,0.4694094384707139
B,ratio-of-prior-sums,H2_model_min_x_naive_rate,model,naive,13879,4.183184051278687,4.181628792249526,-0.00037192661195639687,5.522281220206699,0.4692057516088425
B,ratio-of-prior-sums,H3_naive_min_x_model_rate,naive,model,13879,4.14791038710121,4.181628792249526,0.008063462067893656,5.475125867162971,0.47823206633204973
B,ratio-of-prior-sums,H4_naive_min_x_naive_rate,naive,naive,13879,4.173633209702064,4.181628792249526,0.0019120737264582965,5.490556471905178,0.47528691389881994
-,D076 prior mean of POINTS,REF_pts,-,-,13879,4.181628792249526,4.181628792249526,0.0,5.497249079776072,0.47400695650040026
