subset,n,forecast,kind,mae,rmse,r2_forecast_as_is,mae_minus_oracle_O2
ALL,13879,REF   prior-mean of points (D076 reference),honest,4.181628792249526,5.497249079776072,0.47400695650040026,1.0135324649510071
ALL,13879,MODEL champion pts__pred_point,honest,4.190919667572693,5.52122155908056,0.4694094384707139,1.022823340274174
ALL,13879,H2    model minutes x naive prior rate,honest,4.17393638268475,5.540370509357651,0.465722619785933,1.0058400553862308
ALL,13879,O4    ACTUAL minutes x model rate,ORACLE,3.418040958195445,4.658353253544865,0.6222938920580067,0.24994463089692598
ALL,13879,O5    model minutes x SEASON-MEAN rate,ORACLE,3.960302338456097,5.183745144943411,0.5322902179493139,0.7922060111575777
ALL,13879,O1    SEASON-MEAN points (knows the season),ORACLE,3.84775284499814,5.050001065123032,0.5561133237557063,0.679656517699621
ALL,13879,O2    ACTUAL minutes x SEASON-MEAN rate,ORACLE,3.168096327298519,4.307668271106506,0.6770214557848513,0.0
ALL,13879,O3    within-player-season OLS on ACTUAL min,ORACLE,3.096039473254113,4.222361241991439,0.6896870194212861,-0.0720568540444062
STABLE (pre-game rule),3903,REF   prior-mean of points (D076 reference),honest,4.973961231179441,6.340583349061472,0.302119934172982,0.6770014825656849
STABLE (pre-game rule),3903,MODEL champion pts__pred_point,honest,4.988542371783641,6.311691441790585,0.3084654537686323,0.691582623169885
STABLE (pre-game rule),3903,H2    model minutes x naive prior rate,honest,4.979276264048491,6.304338095894828,0.31007584001988775,0.682316515434735
STABLE (pre-game rule),3903,O4    ACTUAL minutes x model rate,ORACLE,4.4631339529247445,5.73293307289729,0.42947312727099096,0.1661742043109884
STABLE (pre-game rule),3903,O5    model minutes x SEASON-MEAN rate,ORACLE,4.837591067315551,6.114380760777289,0.3510259644063607,0.540631318701795
STABLE (pre-game rule),3903,O1    SEASON-MEAN points (knows the season),ORACLE,4.768450181680068,6.081470094395567,0.3579933707942812,0.4714904330663119
STABLE (pre-game rule),3903,O2    ACTUAL minutes x SEASON-MEAN rate,ORACLE,4.296959748613756,5.514693928752013,0.4720835572959705,0.0
STABLE (pre-game rule),3903,O3    within-player-season OLS on ACTUAL min,ORACLE,4.224049490388356,5.418255354287887,0.49038605989439243,-0.07291025822540043
