blend,best_lambda,points_mae,skill_vs_ref
champion + reference,0.55,4.133578938011217,0.01149070293550869
champion + H3(naive_min x model_rate),0.7000000000000001,4.138183235610989,0.010389625382114631
reference + H3(naive_min x model_rate),0.7000000000000001,4.139563154330012,0.010059629873766296
