coverage,n_kept,model_mae,ref_mae,skill,dependent,candidate,direction
1.0,13879,0.1817428309958614,0.18276462664132767,0.005590773577162422,rate_ppm_refA,pl_is_rookie_window,abstain on HIGH
0.9,12491,0.18069192739698556,0.18209095418527385,0.007683120748902317,rate_ppm_refA,pl_is_rookie_window,abstain on HIGH
0.8,11103,0.1781596506390513,0.180028314881757,0.010379835216105082,rate_ppm_refA,pl_is_rookie_window,abstain on HIGH
0.75,10409,0.1754248228176184,0.1773178923378684,0.010676133667565146,rate_ppm_refA,pl_is_rookie_window,abstain on HIGH
0.6,8327,0.175849706939738,0.17807011815935447,0.012469308396984569,rate_ppm_refA,pl_is_rookie_window,abstain on HIGH
0.5,6940,0.1764537442989573,0.17848711755753993,0.011392269013068224,rate_ppm_refA,pl_is_rookie_window,abstain on HIGH
0.4,5552,0.17323454898345303,0.17561209584722903,0.013538628146914866,rate_ppm_refA,pl_is_rookie_window,abstain on HIGH
0.25,3470,0.17472074604360222,0.1777268119814563,0.016913969841352516,rate_ppm_refA,pl_is_rookie_window,abstain on HIGH
0.1,1388,0.1662620758906161,0.1698329724780001,0.021025932333879283,rate_ppm_refA,pl_is_rookie_window,abstain on HIGH
1.0,13879,0.1817428309958614,0.18350234471241633,0.009588508088615666,rate_ppm_refB,pts__pred_width,abstain on HIGH
0.9,12491,0.1837334133176616,0.18606122958986585,0.012511022728031174,rate_ppm_refB,pts__pred_width,abstain on HIGH
0.8,11103,0.1859883742808105,0.1884203132973503,0.012906989559569926,rate_ppm_refB,pts__pred_width,abstain on HIGH
0.75,10409,0.18630201613344918,0.18908763096682926,0.014731872302470972,rate_ppm_refB,pts__pred_width,abstain on HIGH
0.6,8327,0.19069910265493362,0.1933218242130585,0.013566608782019318,rate_ppm_refB,pts__pred_width,abstain on HIGH
0.5,6940,0.1955694119378405,0.1983779900061495,0.014157710077725594,rate_ppm_refB,pts__pred_width,abstain on HIGH
0.4,5552,0.20411149673662313,0.20699465674757916,0.013928668769802699,rate_ppm_refB,pts__pred_width,abstain on HIGH
0.25,3470,0.21743675112052102,0.2218067019269809,0.019701617527762894,rate_ppm_refB,pts__pred_width,abstain on HIGH
0.1,1388,0.2333443641524583,0.24185899280221268,0.035204928917890066,rate_ppm_refB,pts__pred_width,abstain on HIGH
1.0,12976,0.5065778966660669,0.5175857623294488,0.02126771341978151,rate_ppf_refA,pl_games_prior,abstain on HIGH
0.9,11678,0.5124573738337357,0.5249750407265195,0.023844308627435695,rate_ppf_refA,pl_games_prior,abstain on HIGH
0.8,10381,0.5154947535445263,0.5302250018083566,0.02778112728293103,rate_ppf_refA,pl_games_prior,abstain on HIGH
0.75,9732,0.5173876073020066,0.5330365014153444,0.029358015955354144,rate_ppf_refA,pl_games_prior,abstain on HIGH
0.6,7786,0.527603691889109,0.546519914678524,0.03461213815152908,rate_ppf_refA,pl_games_prior,abstain on HIGH
0.5,6488,0.5353326622549804,0.5572710110781256,0.0393674682282541,rate_ppf_refA,pl_games_prior,abstain on HIGH
0.4,5190,0.5422254985080198,0.5703265411142585,0.049271847933531454,rate_ppf_refA,pl_games_prior,abstain on HIGH
0.25,3244,0.5563999016318204,0.5995174232547593,0.0719203812107001,rate_ppf_refA,pl_games_prior,abstain on HIGH
0.1,1298,0.5526669634262493,0.6189771688042043,0.10712867730817754,rate_ppf_refA,pl_games_prior,abstain on HIGH
1.0,13879,4.190919667572693,4.181628792249526,-0.0022218316796525084,level_points,fga__is_fallback,abstain on HIGH
0.9,12491,4.045093909039541,4.111171547743942,0.016072702862682142,level_points,fga__is_fallback,abstain on HIGH
0.8,11103,4.108587909241432,4.171001560348039,0.014963708405181797,level_points,fga__is_fallback,abstain on HIGH
0.75,10409,4.0893604965107935,4.157291140825869,0.016340121972208244,level_points,fga__is_fallback,abstain on HIGH
0.6,8327,4.04813981893863,4.1117408746362045,0.015468157560683315,level_points,fga__is_fallback,abstain on HIGH
0.5,6940,4.173710840232787,4.229107312503194,0.013098857081878523,level_points,fga__is_fallback,abstain on HIGH
0.4,5552,4.094670206690156,4.152810155703149,0.014000146125906388,level_points,fga__is_fallback,abstain on HIGH
0.25,3470,4.112017007412838,4.181870646225167,0.016703921455672677,level_points,fga__is_fallback,abstain on HIGH
0.1,1388,4.183815951755301,4.266117099885838,0.019291816470002443,level_points,fga__is_fallback,abstain on HIGH
1.0,13879,5.079670829517937,5.266906514137651,0.035549460412317546,level_minutes,pl_minutes_prior,abstain on LOW
0.9,12491,4.795557859331216,5.146019044622001,0.06810335955850089,level_minutes,pl_minutes_prior,abstain on LOW
0.8,11103,4.7013384147803725,5.1491084403001945,0.08696069051785538,level_minutes,pl_minutes_prior,abstain on LOW
0.75,10409,4.678578966150994,5.145755534638841,0.09078872195599486,level_minutes,pl_minutes_prior,abstain on LOW
0.6,8327,4.646708701016016,5.143941712180232,0.09666381133107094,level_minutes,pl_minutes_prior,abstain on LOW
0.5,6940,4.600423740894084,5.095586236627256,0.09717478475271923,level_minutes,pl_minutes_prior,abstain on LOW
0.4,5552,4.505521768678705,5.009637566831734,0.1006291955112133,level_minutes,pl_minutes_prior,abstain on LOW
0.25,3470,4.277623288165108,4.638608744456465,0.0778219238091088,level_minutes,pl_minutes_prior,abstain on LOW
0.1,1388,4.27367351389579,4.526741571084407,0.055905125842647174,level_minutes,pl_minutes_prior,abstain on LOW
