stratum,n,A,B,mae_A,mae_B,mean_paired_abs_err_diff,p_two_sided_block_signflip,n_blocks
THIN   < 8 prior same-season appearances,3213,H3_naive_min_x_model_rate,H1_model_min_x_model_rate,4.177332919798047,4.516671603660197,-0.33933868386214944,0.0004997501249375312,475
THIN   < 8 prior same-season appearances,3213,H1_model_min_x_model_rate,REF_pts,4.516671603660197,4.2776158005738445,0.23905580308635282,0.0004997501249375312,475
THIN   < 8 prior same-season appearances,3213,H2_model_min_x_naive_rate,H4_naive_min_x_naive_rate,4.4470680140428085,4.248446638719306,0.1986213753235028,0.0004997501249375312,475
ADEQUATE >= 8 prior appearances,10666,H3_naive_min_x_model_rate,H1_model_min_x_model_rate,4.139047214632155,4.092790943529082,0.04625627110307316,0.0004997501249375312,431
ADEQUATE >= 8 prior appearances,10666,H1_model_min_x_model_rate,REF_pts,4.092790943529082,4.15271389840497,-0.05992295487588775,0.0004997501249375312,431
ADEQUATE >= 8 prior appearances,10666,H2_model_min_x_naive_rate,H4_naive_min_x_naive_rate,4.091658871757181,4.14768689579142,-0.056028024034238476,0.0004997501249375312,431
fallback rows only,1061,H3_naive_min_x_model_rate,H1_model_min_x_model_rate,5.001053916226476,6.0639561358648475,-1.0629022196383715,0.0004997501249375312,475
fallback rows only,1061,H1_model_min_x_model_rate,REF_pts,6.0639561358648475,5.111809205696288,0.9521469301685596,0.0004997501249375312,475
fallback rows only,1061,H2_model_min_x_naive_rate,H4_naive_min_x_naive_rate,5.662654685149364,5.011593653153058,0.6510610319963062,0.0004997501249375312,475
non-fallback rows only,12818,H3_naive_min_x_model_rate,H1_model_min_x_model_rate,4.077292093732361,4.035880527858388,0.04141156587397447,0.0004997501249375312,451
non-fallback rows only,12818,H1_model_min_x_model_rate,REF_pts,4.035880527858388,4.104633830581013,-0.06875330272262513,0.0004997501249375312,451
non-fallback rows only,12818,H2_model_min_x_naive_rate,H4_naive_min_x_naive_rate,4.050708880819017,4.10143443709791,-0.050725556278893275,0.0004997501249375312,451
POOLED,13879,H3_naive_min_x_model_rate,H1_model_min_x_model_rate,4.14791038710121,4.190919667572693,-0.04300928047148265,0.0004997501249375312,475
POOLED,13879,H1_model_min_x_model_rate,REF_pts,4.190919667572693,4.181628792249526,0.009290875323166853,0.552223888055972,475
POOLED,13879,H2_model_min_x_naive_rate,H4_naive_min_x_naive_rate,4.17393638268475,4.171012859767736,0.0029235229170132522,0.7916041979010495,475
