depth,volume,n,points_skill,minutes_skill,rate_skill,p_blockflip
D1 <3,V1 <14 min,0,,,,
D1 <3,V2 14-24 min,0,,,,
D1 <3,V3 >=24 min,0,,,,
D1 <3,V? no trailing-5,999,-0.17912931366801388,-0.32853713091953507,0.019937266041804125,0.000999000999000999
D2 3-7,V1 <14 min,742,-0.020166759544929747,-0.02359986171014916,0.023016308948180964,0.3916083916083916
D2 3-7,V2 14-24 min,590,0.04577750669897318,0.04738768786863923,0.03706665886061944,0.002997002997002997
D2 3-7,V3 >=24 min,882,0.019082534629574432,0.00642700981161759,0.030595304332718287,0.08491508491508491
D2 3-7,V? no trailing-5,0,,,,
D3 8-19,V1 <14 min,1347,0.028022087185463618,0.06544722329735841,-0.0020631724283455277,0.002997002997002997
D3 8-19,V2 14-24 min,1342,0.02201737948179061,0.09789309459517681,0.0022384692334748157,0.002997002997002997
D3 8-19,V3 >=24 min,2020,-0.001073943425456525,0.038004459085789866,0.0027807720343683284,0.7892107892107892
D3 8-19,V? no trailing-5,0,,,,
D4 >=20,V1 <14 min,1225,0.07642498022228728,0.13870732580344913,-0.00011072470094131148,0.000999000999000999
D4 >=20,V2 14-24 min,1645,0.03690170775408641,0.12741772402833818,-0.005076444972892613,0.000999000999000999
D4 >=20,V3 >=24 min,3087,-0.005266761678226928,0.07692854749841782,-0.005131096494199738,0.2957042957042957
D4 >=20,V? no trailing-5,0,,,,
