subset,target,stage,denominator,exposure,n,rung,kind,mae,rmse,r2,sd_y,coverage
ALL (2022-2024),y_any_fta,A,FULL_STRATUM,minutes,13848,REF  expanding prior mean (MATCHED),honest,0.36268653527673594,0.45381933829094884,0.1708455161874629,0.49840335000680125,0.9665666224610875
ALL (2022-2024),y_any_fta,A,FULL_STRATUM,minutes,13848,H1   EWMA prior (hl=5),honest,0.36017572254024116,0.45609063945544354,0.16252514678821162,0.49840335000680125,0.9665666224610875
ALL (2022-2024),y_any_fta,A,FULL_STRATUM,minutes,13848,H2   trailing-5 prior mean,honest,0.3576485172347391,0.472211439767703,0.10227676609988456,0.49840335000680125,0.9665666224610875
ALL (2022-2024),y_any_fta,A,FULL_STRATUM,minutes,13402,H3   prior rate(floored) x prior exposure,honest,0.3660611821271094,0.45478709735175066,0.16419404388950842,0.4974753970295204,0.9354365882599288
ALL (2022-2024),y_any_fta,A,FULL_STRATUM,minutes,9130,H4   walk-forward OLS on B_COMPLETE,honest,0.3821828552977722,0.442395644302912,0.20921923578920232,0.4975154584056505,0.6372583234452432
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7282,REF  expanding prior mean (MATCHED),honest,1.654751540532786,2.2462070210690968,0.10252901971285144,2.371206598795575,0.9418003103983446
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7282,H1   EWMA prior (hl=5),honest,1.6670405813507563,2.2632321726067026,0.08887267800545318,2.371206598795575,0.9418003103983446
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7282,H2   trailing-5 prior mean,honest,1.7134647074979403,2.3365729903282495,0.028865108340111467,2.371206598795575,0.9418003103983446
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7193,H3   prior rate(floored) x prior exposure,honest,1.6714775115496687,2.2623274384910537,0.09599138829668885,2.3795748480864236,0.9302897051215727
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,4900,H4   walk-forward OLS on B_COMPLETE,honest,1.646261067830793,2.207457299991674,0.18021049097463604,2.4382905399252817,0.6337299534402483
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7282,REF  expanding prior mean (MATCHED),honest,1.5042679640717602,2.0147967521311743,0.10092805466905341,2.125024007204831,0.9418003103983446
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7282,H1   EWMA prior (hl=5),honest,1.5181147537458666,2.031921050297801,0.08558020053498061,2.125024007204831,0.9418003103983446
