subset,target,stage,denominator,exposure,n,rung,kind,mae,rmse,r2,sd_y,coverage
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7282,H2   trailing-5 prior mean,honest,1.7134647074979403,2.3365729903282495,0.028865108340111467,2.371206598795575,0.9418003103983446
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7193,H3   prior rate(floored) x prior exposure,honest,1.6714775115496687,2.2623274384910537,0.09599138829668885,2.3795748480864236,0.9302897051215727
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,4900,H4   walk-forward OLS on B_COMPLETE,honest,1.646261067830793,2.207457299991674,0.18021049097463604,2.4382905399252817,0.6337299534402483
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7732,O1   SEASON-MEAN target,ORACLE,1.5054806805942746,2.0357110043150097,0.24705543171638145,2.3461874533807747,1.0
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7732,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,1.5139212928606434,2.024842092127282,0.2550740959733806,2.3461874533807747,1.0
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7193,O4   ACTUAL exposure x prior rate(floored),ORACLE,1.6936627266467672,2.2613752272594443,0.0967522206876873,2.3795748480864236,0.9302897051215727
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7282,O5   prior exposure x SEASON-MEAN rate,ORACLE,1.5610341428521262,2.099113485820675,0.21622268165251235,2.371206598795575,0.9418003103983446
ALL (2022-2024),y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,7732,O3   within-player-season OLS on ACTUAL exposure,ORACLE,1.4177740835038914,1.9440245577328572,0.3133518572445053,2.3461874533807747,1.0
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7282,REF  expanding prior mean (MATCHED),honest,1.5042679640717602,2.0147967521311743,0.10092805466905341,2.125024007204831,0.9418003103983446
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7282,H1   EWMA prior (hl=5),honest,1.5181147537458666,2.031921050297801,0.08558020053498061,2.125024007204831,0.9418003103983446
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7282,H2   trailing-5 prior mean,honest,1.5600064084958345,2.092986005883594,0.029792536757263455,2.125024007204831,0.9418003103983446
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7282,H3   prior rate(floored) x prior exposure,honest,1.5042679640717602,2.0147967521311743,0.10092805466905341,2.125024007204831,0.9418003103983446
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,4963,H4   walk-forward OLS on B_COMPLETE,honest,1.491088327242278,2.0037442831271592,0.1642561034891532,2.192044907506269,0.6418779099844801
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7732,O1   SEASON-MEAN target,ORACLE,1.3528775047626622,1.8256981053348063,0.24679504994391177,2.103780707477271,1.0
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7732,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,0.5816966435186522,0.7345842436843089,0.8780621724314605,2.103780707477271,1.0
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7282,O4   ACTUAL exposure x prior rate(floored),ORACLE,0.6535552740361193,0.8547934886427477,0.8381717370396664,2.125024007204831,0.9418003103983446
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7282,O5   prior exposure x SEASON-MEAN rate,ORACLE,1.4761263774259357,1.982431911254287,0.1295806806722356,2.125024007204831,0.9418003103983446
ALL (2022-2024),y_ftm_given,C,CONDITIONAL_SUBSET(fta>0),fta,7732,O3   within-player-season OLS on ACTUAL exposure,ORACLE,0.5622833904642038,0.7128379643822261,0.8851748877921123,2.103780707477271,1.0
ALL (2022-2024),y_fta,AB,FULL_STRATUM,minutes,13848,REF  expanding prior mean (MATCHED),honest,1.5390796752882239,2.113856036751656,0.2731983413967134,2.4796085946949415,0.9665666224610875
ALL (2022-2024),y_fta,AB,FULL_STRATUM,minutes,13848,H1   EWMA prior (hl=5),honest,1.5361803022636016,2.1239564272849694,0.26623616541331885,2.4796085946949415,0.9665666224610875
ALL (2022-2024),y_fta,AB,FULL_STRATUM,minutes,13848,H2   trailing-5 prior mean,honest,1.5720212305025996,2.202597595585454,0.21089386796013154,2.4796085946949415,0.9665666224610875
ALL (2022-2024),y_fta,AB,FULL_STRATUM,minutes,13402,H3   prior rate(floored) x prior exposure,honest,1.5743525552772788,2.1422536337797933,0.26516139781668147,2.499143018334083,0.9354365882599288
ALL (2022-2024),y_fta,AB,FULL_STRATUM,minutes,9130,H4   walk-forward OLS on B_COMPLETE,honest,1.5592594763697676,2.1210598560136984,0.30467625086786665,2.543801259725131,0.6372583234452432
ALL (2022-2024),y_fta,AB,FULL_STRATUM,minutes,14327,O1   SEASON-MEAN target,ORACLE,1.4408173796902999,1.9658612490150245,0.3664883078539348,2.469964445011945,1.0
ALL (2022-2024),y_fta,AB,FULL_STRATUM,minutes,14327,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,1.3419106546849209,1.873672497292113,0.424511996526859,2.469964445011945,1.0
ALL (2022-2024),y_fta,AB,FULL_STRATUM,minutes,13402,O4   ACTUAL exposure x prior rate(floored),ORACLE,1.4865185751892553,2.0642049691724855,0.3177307084662695,2.499143018334083,0.9354365882599288
ALL (2022-2024),y_fta,AB,FULL_STRATUM,minutes,13848,O5   prior exposure x SEASON-MEAN rate,ORACLE,1.4520082564146273,1.9855741494032302,0.3587353252159956,2.4796085946949415,0.9665666224610875
ALL (2022-2024),y_fta,AB,FULL_STRATUM,minutes,14327,O3   within-player-season OLS on ACTUAL exposure,ORACLE,1.320943513584841,1.844497028682705,0.44229462430916267,2.469964445011945,1.0
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,minutes,13848,REF  expanding prior mean (MATCHED),honest,1.2855573062832137,1.80106277686219,0.2622984642005073,2.0970278012588213,0.9665666224610875
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,minutes,13848,H1   EWMA prior (hl=5),honest,1.284171571573073,1.8115732737744292,0.25366330305096096,2.0970278012588213,0.9665666224610875
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,minutes,13848,H2   trailing-5 prior mean,honest,1.313267860581552,1.8778046080542863,0.1980934011010984,2.0970278012588213,0.9665666224610875
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,minutes,13402,H3   prior rate(floored) x prior exposure,honest,1.319163896573918,1.8273819180912145,0.2535952460356302,2.1152335586986744,0.9354365882599288
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,minutes,9130,H4   walk-forward OLS on B_COMPLETE,honest,1.3119307456890774,1.8243106538677203,0.2895500353931898,2.1644912332317188,0.6372583234452432
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,minutes,14327,O1   SEASON-MEAN target,ORACLE,1.2028691753417367,1.6765340044753512,0.35516677483586634,2.087871760443123,1.0
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,minutes,14327,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,1.1305634083860259,1.6086418895264265,0.4063350336512277,2.087871760443123,1.0
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,minutes,13402,O4   ACTUAL exposure x prior rate(floored),ORACLE,1.2519329598742563,1.7707276381048187,0.29915935245747205,2.1152335586986744,0.9354365882599288
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,minutes,13848,O5   prior exposure x SEASON-MEAN rate,ORACLE,1.2109846852853083,1.6923975322996034,0.34862999893658186,2.0970278012588213,0.9665666224610875
ALL (2022-2024),y_ftm,ABC,FULL_STRATUM,minutes,14327,O3   within-player-season OLS on ACTUAL exposure,ORACLE,1.1119187823178496,1.583547867628545,0.42471233114940454,2.087871760443123,1.0
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,minutes,13848,REF  expanding prior mean (MATCHED),honest,4.087475201761088,5.393109380567779,0.4940999135617221,7.582676587361704,0.9665666224610875
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,minutes,13848,H1   EWMA prior (hl=5),honest,4.058307793626678,5.368657027351718,0.4986770147978966,7.582676587361704,0.9665666224610875
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,minutes,13848,H2   trailing-5 prior mean,honest,4.1885711534758325,5.559546928182672,0.46239277398555023,7.582676587361704,0.9665666224610875
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,minutes,13402,H3   prior rate(floored) x prior exposure,honest,4.175755947004099,5.455805335750778,0.48244361298268046,7.583963482796347,0.9354365882599288
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,minutes,9130,H4   walk-forward OLS on B_COMPLETE,honest,4.192501588996829,5.489952595412005,0.5016588778920654,7.777302956739726,0.6372583234452432
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,minutes,14327,O1   SEASON-MEAN target,ORACLE,3.831119221738063,5.034918654735647,0.5569014096857892,7.564102952348831,1.0
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,minutes,14327,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,3.153548827682681,4.289327970529532,0.6784163496619554,7.564102952348831,1.0
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,minutes,13402,O4   ACTUAL exposure x prior rate(floored),ORACLE,3.4862130566624296,4.701451361803247,0.6156703989336084,7.583963482796347,0.9354365882599288
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,minutes,13848,O5   prior exposure x SEASON-MEAN rate,ORACLE,3.918973500175123,5.147492717039788,0.5391307012047247,7.582676587361704,0.9665666224610875
ALL (2022-2024),y_pts,ANCHOR,FULL_STRATUM,minutes,14327,O3   within-player-season OLS on ACTUAL exposure,ORACLE,3.079377925617952,4.204264201440985,0.6910448412013923,7.564102952348831,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,minutes,5111,REF  expanding prior mean (MATCHED),honest,0.3185383142327694,0.41349895882420823,0.13173280027777512,0.44380297912610694,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,minutes,5111,H1   EWMA prior (hl=5),honest,0.3170186251454274,0.41572717133579995,0.1223499639247222,0.44380297912610694,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,minutes,5111,H2   trailing-5 prior mean,honest,0.3139503032674623,0.4357080654450592,0.03595844849821361,0.44380297912610694,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,minutes,5111,H3   prior rate(floored) x prior exposure,honest,0.3185806229887172,0.4134313903568463,0.1320165383108044,0.44380297912610694,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,minutes,3552,H4   walk-forward OLS on B_COMPLETE,honest,0.32806120980358505,0.4091271152070555,0.13870084749895906,0.440902332228667,0.6949716298180395
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,minutes,5111,O1   SEASON-MEAN target,ORACLE,0.31570132175304355,0.39725605191839636,0.19860690039889184,0.44380297912610694,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,minutes,5111,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,0.304921109542888,0.3901346730647087,0.22708158614421547,0.44380297912610694,1.0
