stratum,target,stage,candidate,family,level,n,denominator_SST,dR2_single,p_correct_single,p_fw_single,r2base_single,inflation_single,dR2_complete,p_correct_complete,p_fw_complete,r2base_complete,inflation_complete,dR2_plus_M02,p_correct_plus_M02,p_fw_plus_M02,r2base_plus_M02,inflation_plus_M02,shrink_single_to_complete_x,shrink_complete_to_plusM02_x,dR2_matchup,p_correct_matchup,p_fw_matchup,r2base_matchup,inflation_matchup,D085_interaction_dR2_over_own_main_effects,D085_shrink_x,dR2_matchup2,p_correct_matchup2,p_fw_matchup2,r2base_matchup2,inflation_matchup2
POOLED,y_any_fta,A,M01_opp_pf_pg,M,opp_team_season,12942,3190.280945757997,0.0003914407990708,0.0565723793677204,0.670549084858569,0.19731019049364,1.5708947752322957,0.0007252290367753,0.0083194675540765,0.1630615640599001,0.222262159281507,1.6458228136791186,4.375186343478372e-05,0.4359400998336106,1.0,0.2230189144125232,1.1330981216580531,0.5397478303010658,16.575957681352754,,,,,,,,,,,,
POOLED,y_any_fta,A,M02_opp_allowed_fta_pg,M,opp_team_season,12942,3190.280945757997,0.0007230275848625,0.0066555740432612,0.1963394342762063,0.19731019049364,1.5466651642924905,0.0007567551310159,0.0066555740432612,0.1763727121464226,0.222262159281507,1.6560974511879851,,,,,,0.955431361121896,,,,,,,,,,,,,
POOLED,y_any_fta,A,M03_opp_allowed_ftm_pg,M,opp_team_season,12942,3190.280945757997,0.000692356673199,0.0099833610648918,0.232945091514143,0.19731019049364,1.596801402550827,0.0007163941894012,0.0083194675540765,0.1930116472545757,0.222262159281507,1.6732878510318978,4.085057269017256e-07,0.9367720465890182,1.0,0.2230189144125232,1.2193150217050095,0.9664465226577399,1753.694360259344,,,,,,,,,,,,
POOLED,y_any_fta,A,M04_opp_allowed_ft_rate,M,opp_team_season,12942,3190.280945757997,0.0007876951143454,0.0066555740432612,0.151414309484193,0.19731019049364,1.5135081783990991,0.000769841365775,0.0066555740432612,0.1580698835274542,0.222262159281507,1.5932959663161237,2.3064322707511864e-05,0.6156405990016639,1.0,0.2230189144125232,1.142002991824648,1.0231914643251558,33.378017448752956,,,,,,,,,,,,
POOLED,y_any_fta,A,M05_opp_allowed_hurdle_rate,M,opp_team_season,12942,3190.280945757997,1.3910940391056969e-05,0.7221297836938436,1.0,0.19731019049364,1.3618748214771133,4.175471785845915e-05,0.5391014975041597,1.0,0.222262159281507,1.3091540520798086,0.00017320554543,0.1264559068219634,0.9217970049916804,0.2230189144125232,1.0066802795644785,0.33315852925201195,0.2410703292137611,,,,,,,,,,,,
POOLED,y_any_fta,A,M06_opp_pace,M,opp_team_season,12942,3190.280945757997,6.987627062349291e-05,0.302828618968386,1.0,0.19731019049364,1.0104988921589368,0.0001206550018943,0.1747088186356073,0.9866888519134775,0.222262159281507,1.021439652718532,1.878310422846205e-05,0.5440931780366056,1.0,0.2230189144125232,0.7223906497319555,0.579141100877924,6.423592204289182,,,,,,,,,,,,
POOLED,y_any_fta,A,X01_fd_x_oppfoul,X,opp_team_season,12942,3190.280945757997,,,,,,0.0002278603795927,0.059900166389351,0.6505823627287853,0.222262159281507,1.0652159935894567,,,,,,,,8.008195189704969e-05,0.2479201331114808,0.9983361064891848,0.2265144806351647,1.0249042453350932,8.008195189704969e-05,2.8453399822924976,,,,,
POOLED,y_any_fta,A,X02_ftr_x_oppftrate,X,opp_team_season,12942,3190.280945757997,,,,,,0.0001998639097734,0.0682196339434276,0.8053244592346089,0.222262159281507,1.1021123651961438,,,,,,,,,,,,,0.0003622510264511,0.5517276561820301,0.0003622510264511,0.021630615640599,0.3044925124792013,0.2232808622592224,1.1047280622687727
POOLED,y_fta_given,B,M01_opp_pf_pg,M,opp_team_season,7190,40660.77273991655,0.004398611132296,0.0016638935108153,0.0049916805324459,0.140464232262786,2.1640633394195805,0.003464449563521,0.0016638935108153,0.0083194675540765,0.1693918257817793,2.078158892843583,0.0001808534161708,0.259567387687188,0.9933444259567388,0.1730862068434195,0.9771064018760344,1.2696421326525504,19.156119009934184,,,,,,,,,,,,
POOLED,y_fta_given,B,M02_opp_allowed_fta_pg,M,opp_team_season,7190,40660.77273991655,0.0041534792851424,0.0033277870216306,0.0083194675540765,0.140464232262786,2.3883981303848048,0.0036943810616404,0.0033277870216306,0.0083194675540765,0.1693918257817793,2.4097737416753366,,,,,,1.124269320311573,,,,,,,,,,,,,
POOLED,y_fta_given,B,M03_opp_allowed_ftm_pg,M,opp_team_season,7190,40660.77273991655,0.0045220520523746,0.0033277870216306,0.0049916805324459,0.140464232262786,2.4793887471584823,0.0039988394951828,0.0033277870216306,0.0083194675540765,0.1693918257817793,2.461758909788464,0.0003052722101887,0.1397670549084858,0.9284525790349416,0.1730862068434195,1.0971345275069475,1.130841099729581,13.099258175878408,,,,,,,,,,,,
