stratum,rowset,n,denominator_SST,target,stage,base,candidate,family,level,r2_base,dR2,beta,sd_candidate,sd_candidate_resid,sd_y,p_N_ROW,nullmean_N_ROW,nullsd_N_ROW,z_N_ROW,p_N_CYCLIC,nullmean_N_CYCLIC,nullsd_N_CYCLIC,z_N_CYCLIC,p_correct_level,correct_null_used,sd_inflation_correct_over_row,p_N_ENTITY,nullmean_N_ENTITY,nullsd_N_ENTITY,z_N_ENTITY,t_stat,p_family_wise,z_normal_orientation_only,p_normal_ORIENTATION_ONLY
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_SINGLE,F01_prior_ftr,F,player_season,0.19748359082193978,0.002737896241973494,-0.13668521492023591,0.20204086728329063,0.19007824461085274,0.49652996150444634,0.0016638935108153079,6.26075298223146e-05,7.915254129861603e-05,33.799151211812784,0.0016638935108153079,6.209015170430043e-05,7.617693482329275e-05,35.126197929547146,0.0016638935108153079,N_CYCLIC,0.9624066842769164,,,,,35.126197929547146,0.0016638935108153079,35.126197929547146,1.3423071835464592e-270
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_COMPLETE,F01_prior_ftr,F,player_season,0.2221879216229955,0.00029934185510968256,0.05356081695107019,0.20204086728329063,0.1603917367501132,0.49652996150444634,0.019966722129783693,6.0854432766294165e-05,7.58178193092118e-05,3.1455326005981865,1.0,0.00296169397717387,0.0006392176446830492,-4.165016632768785,1.0,N_CYCLIC,8.430968478216107,,,,,-4.165016632768785,1.0,-4.165016632768785,0.9999844335055675
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_SINGLE,F02_prior_fd_pm,F,player_season,0.19748359082193978,0.002103619653704025,0.789544824839908,0.04036948092629835,0.028843786901194247,0.49652996150444634,0.0016638935108153079,7.108825436983851e-05,0.00010834211751837036,18.76030712607729,1.0,0.00815699769466826,0.0006737073501444801,-8.98517440794739,1.0,N_CYCLIC,6.218332866073502,,,,,-8.98517440794739,1.0,-8.98517440794739,1.0
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_COMPLETE,F02_prior_fd_pm,F,player_season,0.2221879216229955,0.0035591434078002036,1.1920356606748412,0.04036948092629835,0.02485014662166817,0.49652996150444634,0.0016638935108153079,6.961923410685849e-05,0.00010431766163402317,33.45094319632677,1.0,0.00942478738165116,0.0007762387968540584,-7.5564942098014765,1.0,N_CYCLIC,7.44110618178282,,,,,-7.5564942098014765,1.0,-7.5564942098014765,0.9999999999999793
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_SINGLE,F03_prior_ft_pct,F,player_season,0.19748359082193978,3.877293473625557e-05,0.021060659418575062,0.14955667447481805,0.14680398064036776,0.49652996150444634,0.4425956738768719,6.280036944867628e-05,8.551676545934635e-05,-0.2809675340660898,0.8985024958402662,0.0001790751260263875,0.00012087135299369772,-1.160756356367148,0.8985024958402662,N_CYCLIC,1.413422880816961,,,,,-1.160756356367148,1.0,-1.160756356367148,0.8771294934836507
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_COMPLETE,F03_prior_ft_pct,F,player_season,0.2221879216229955,2.204705183122269e-05,-0.01603429559347642,0.14955667447481805,0.1454021524740973,0.49652996150444634,0.5457570715474209,5.966700165269961e-05,8.079691476377619e-05,-0.46561121710482845,0.40931780366056575,3.119837166713433e-05,4.0129984787848295e-05,-0.22804194629754093,0.40931780366056575,N_CYCLIC,0.496677192503888,,,,,-0.22804194629754093,1.0,-0.22804194629754093,0.5901931671213689
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_SINGLE,F04_prior_paint_share,F,player_season,0.19748359082193978,0.0022889007074309046,0.11908021757109788,0.20087165041898516,0.19948916703509892,0.49652996150444634,0.0016638935108153079,6.443505212813845e-05,8.833145609708713e-05,25.183165245887093,0.0016638935108153079,0.0010049007735026387,0.00016885011693783014,7.604376930346036,0.0016638935108153079,N_CYCLIC,1.9115513815626803,,,,,7.604376930346036,0.004991680532445923,7.604376930346036,1.431398620550847e-14
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_COMPLETE,F04_prior_paint_share,F,player_season,0.2221879216229955,0.0051428865003257315,0.1821130439439993,0.20087165041898516,0.19552751293330525,0.49652996150444634,0.0016638935108153079,6.34215068288561e-05,8.858474104814817e-05,57.340179960971504,0.0016638935108153079,0.0036277195830788722,0.0003110831384874681,4.87061730383017,0.0016638935108153079,N_CYCLIC,3.511701166664653,,,,,4.87061730383017,0.048252911813643926,4.87061730383017,5.56250652377378e-07
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_SINGLE,F05_prior_fga_pm,F,player_season,0.19748359082193978,0.010650030710189806,0.6412005144644133,0.09768246511862799,0.07991476517404231,0.49652996150444634,0.0016638935108153079,5.999811652628834e-05,8.536502338778081e-05,124.05587409678351,0.13976705490848584,0.0100530694337567,0.0005309681013331409,1.1242883987461219,0.13976705490848584,N_CYCLIC,6.219972539820612,,,,,1.1242883987461219,0.9201331114808652,1.1242883987461219,0.13044535796033271
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_COMPLETE,F05_prior_fga_pm,F,player_season,0.2221879216229955,0.00020345981681095648,0.21036413211918129,0.09768246511862799,0.033667672298422234,0.49652996150444634,0.056572379367720464,5.9117699527650564e-05,8.530934977893141e-05,1.6919847315370542,0.9667221297836939,0.000492473386401908,0.00019216733586030656,-1.5039682383953432,0.9667221297836939,N_CYCLIC,2.2525940750724787,,,,,-1.5039682383953432,1.0,-1.5039682383953432,0.9337052268752244
POOLED,MAIN,12795,3154.2583821805397,y_any_fta,A,B_SINGLE,F06_prior_fg3a_share,F,player_season,0.19748359082193978,0.0021545860598600653,-0.11316787744283897,0.210683023805812,0.20365928378388676,0.49652996150444634,0.0016638935108153079,6.453636940151707e-05,8.816123075056487e-05,23.707129229762444,0.2928452579034942,0.0020610171169056567,0.00015977929008337922,0.585613710672895,0.2928452579034942,N_CYCLIC,1.8123532160689066,,,,,0.585613710672895,0.9883527454242929,0.585613710672895,0.2790675427367124
