stratum,response,signal,signal_column,n,is_oracle,r2_base,dR2_over_B_COMPLETE,beta,sd_signal,sd_signal_resid_of_base,sd_response,move_per_1sd_natural_units,move_per_1sd_as_frac_of_sd_y,move_per_1sd_resid_natural_units,CEILING_dR2_raw,CEILING_dR2_base_residualised,ratio_to_D089_alive,ratio_to_D079_dead,ratio_to_D084_dead,verdict_vs_benchmarks
POOLED,y_pts,F01_prior_ftr,F01_prior_ftr,13395,False,0.5015353896141413,8.911095762218976e-05,0.36054019570538326,0.20458905830511773,0.1985768716402401,7.584322632043295,0.07376257912050721,0.009725664729618024,0.07159494416373494,9.458855443293604e-05,8.911095762218975e-05,0.043320835013218165,0.07906917269049668,0.6907826172262772,BELOW BOTH DEAD BENCHMARKS
POOLED,y_pts,F02_prior_fd_pm,F02_prior_fd_pm,13402,False,0.501695431123433,0.0007922229822450405,6.8765364612513755,0.04161871259804353,0.03104203624271049,7.583963482796348,0.2861925946507883,0.037736547031113045,0.21346169405448534,0.0014240469818314068,0.0007922229822450406,0.3851351396427033,0.7029485201819349,6.141263428256129,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,F03_prior_ft_pct,F03_prior_ft_pct,12948,False,0.49860042097800616,1.977654277457552e-06,-0.07381235349971119,0.14978571789318143,0.14495284955546187,7.608177283778875,0.011056036358339523,0.0014531780669611507,0.010699310972178204,2.1117264942969467e-06,1.9776542774575526e-06,0.0009614264839365838,0.001754795277247163,0.01533065331362444,BELOW BOTH DEAD BENCHMARKS
POOLED,y_pts,F04_prior_paint_share,F04_prior_paint_share,13372,False,0.5021174650352915,2.4164562466980053e-05,0.1798301162231474,0.20781581295890106,0.207334791146858,7.584817586396102,0.03737154179740704,0.004927151031876561,0.03728503958904147,2.4276817290922255e-05,2.416456246698005e-05,0.011747478107428318,0.02144149287220945,0.18732218966651204,BELOW BOTH DEAD BENCHMARKS
POOLED,y_pts,F05_prior_fga_pm,F05_prior_fga_pm,13402,False,0.501695431123433,0.00019153410826426215,3.077377914688158,0.09933363421878959,0.034106602723745126,7.583963482796348,0.30568713213061494,0.04030704167076269,0.10495890596709623,0.0016246576082486,0.0001915341082642622,0.0931133243870988,0.1699504066231253,1.4847605291803272,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,F06_prior_fg3a_share,F06_prior_fg3a_share,13395,False,0.5015353896141413,7.321314302530746e-05,-0.3078759967572042,0.21414443904060776,0.21078295766109162,7.584322632043295,0.06592993261963946,0.008692922996325283,0.06489501318934014,7.556691022004094e-05,7.321314302530745e-05,0.035592193984106686,0.06496285982724707,0.5675437443822283,BELOW BOTH DEAD BENCHMARKS
POOLED,y_pts,F07_prior_hurdle_rate,F07_prior_hurdle_rate,13402,False,0.501695431123433,6.252285170256485e-05,0.3484415096867158,0.2916236894005974,0.17210192797985482,7.583963482796348,0.10161379859515406,0.013398508421837386,0.059967455605295046,0.00017952002793004737,6.252285170256482e-05,0.030395163686225,0.055477241972107204,0.4846732690121304,BELOW BOTH DEAD BENCHMARKS
POOLED,y_pts,F08_prior_fta_given,F08_prior_fta_given,12948,False,0.49860042097800616,0.0002762314519502206,0.15452486581678196,1.271366316240454,0.8183117964335936,7.608177283778875,0.19645770942103255,0.02582191530156547,0.12644952054019085,0.0006667713098412211,0.0002762314519502206,0.13428850362188655,0.2451033291483768,2.1413290848854314,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,F09_prior_starter_rate,F09_prior_starter_rate,13402,False,0.501695431123433,0.0006138536954971952,0.8793632377422874,0.43916974803762465,0.21367827292005354,7.583963482796348,0.3861897315528302,0.050921887009196795,0.18790081791015842,0.0025930385765774054,0.0006138536954971954,0.29842182571570025,0.5446794103790553,4.758555779048026,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,F10_prior_pf_pm,F10_prior_pf_pm,13402,False,0.501695431123433,0.00013384997414797595,2.561403923551853,0.03898810495868122,0.034255263184163894,7.583963482796348,0.09986428501301754,0.013167822503306113,0.08774156552221875,0.00017339154947857487,0.00013384997414797595,0.06507047843849098,0.11876661415082161,1.037596698821519,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,M01_opp_pf_pg,M01_opp_pf_pg,13402,False,0.501695431123433,0.0003091668855240464,0.08359378185304232,1.6875859498903722,1.5952132385581208,7.583963482796348,0.14107169175339498,0.01860131474438208,0.1333499074731127,0.0003460089102195662,0.00030916688552404633,0.15029989573361516,0.2743273163478672,2.3966425234422197,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,M02_opp_allowed_fta_pg,M02_opp_allowed_fta_pg,13402,False,0.501695431123433,0.0004080620036688672,0.05955455674151634,2.605644679383852,2.57243444076942,7.583963482796348,0.15517801390659577,0.020461334532873934,0.15320019286663328,0.0004186662108661794,0.00040806200366886713,0.19837725020363012,0.36207808666270375,3.163271346270288,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,M03_opp_allowed_ftm_pg,M03_opp_allowed_ftm_pg,13402,False,0.501695431123433,0.0005460662241924608,0.08060490930664674,2.2321109243053425,2.1986565655099053,7.583963482796348,0.17991909861600755,0.023723624068620653,0.17722251305938932,0.0005628103389492371,0.0005460662241924607,0.26546729421121085,0.48453081117343455,4.233071505367913,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,M04_opp_allowed_ft_rate,M04_opp_allowed_ft_rate,13402,False,0.501695431123433,0.0001397935184861454,2.2059077726898635,0.04109529838721986,0.04064923718651174,7.583963482796348,0.0906524381333775,0.011953174397399955,0.08966846826364008,0.00014287837817465778,0.00013979351848614538,0.06795990203507311,0.12404038907377585,1.0836706859391116,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,M05_opp_allowed_hurdle_rate,M05_opp_allowed_hurdle_rate,13402,False,0.501695431123433,6.621685890133194e-05,1.4762754629386012,0.04289952902302253,0.04180354570821153,7.583963482796348,0.06333152206831054,0.00835071558716934,0.061713548792864954,6.973445081779299e-05,6.621685890133197e-05,0.03219098633997665,0.05875497684235312,0.5133089837312556,BELOW BOTH DEAD BENCHMARKS
POOLED,y_pts,M06_opp_pace,M06_opp_pace,13402,False,0.501695431123433,0.000253454538814523,0.032207506699760725,3.7697174429001223,3.748773176972419,7.583963482796348,0.12141319979841056,0.016009201530812655,0.12073863721322248,0.00025629453365417425,0.000253454538814523,0.1232156241198459,0.22489311341128929,1.9647638667792484,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,X01_fd_x_oppfoul,X01_fd_x_oppfoul,13399,False,0.5016145917772685,3.557274897768837e-05,0.6176645602743537,0.07414182479539402,0.07322556681304387,7.583273362746055,0.045794777610185224,0.006038919529811335,0.04522883752641905,3.6468549087536754e-05,3.5572748977688366e-05,0.017293509468978303,0.03156410734488764,0.2757577440130881,BELOW BOTH DEAD BENCHMARKS
POOLED,y_pts,X02_ftr_x_oppftrate,X02_ftr_x_oppftrate,13392,False,0.5014543787676837,1.864355533209721e-05,2.33445793270981,0.014030661282733984,0.014026703949896725,7.583633128193063,0.03275398853264275,0.004319036532882356,0.03274475030560843,1.8654076572372447e-05,1.8643555332097206e-05,0.009063468805103165,0.016542640046226447,0.1445236847449396,BELOW BOTH DEAD BENCHMARKS
POOLED,y_pts,FT_HONEST_COMPOSED,FT_HONEST_COMPOSED,13402,False,0.501695431123433,0.0009306683132439278,0.3465777365737081,1.3689850710335423,0.6675641961624375,7.583963482796348,0.4744597473220021,0.06256092192404122,0.23136288812362446,0.003913868951985982,0.0009306683132439281,0.45243962724546827,0.8257926470664846,7.214483048402545,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,FT_HONEST_SIMPLE,FT_HONEST_SIMPLE,13402,False,0.501695431123433,0.0009306683132439282,0.34657773657370816,1.3689850710335423,0.6675641961624375,7.583963482796348,0.4744597473220022,0.06256092192404124,0.2313628881236245,0.003913868951985984,0.0009306683132439284,0.4524396272454684,0.8257926470664848,7.2144830484025455,below the dead shot-mix benchmark (0.001127)
POOLED,y_pts,FT_ORACLE_REALISED,FT_ORACLE_REALISED,13402,True,0.501695431123433,0.11887346206802789,1.453016737106842,2.1152335586986744,1.799567212681564,7.583963482796348,3.073469763679242,0.4052590404280265,2.614801279575021,0.16423488984864484,0.11887346206802789,57.78972390278459,105.47778355636902,921.4997059537046,ABOVE the largest measured (0.002057)
POOLED,y_pts,G01_noise,G01_noise,13402,False,0.501695431123433,1.2001148395881575e-06,0.008321932219403244,0.9985662719286745,0.9983514703859737,7.583963482796348,0.008310000831572618,0.0010957332337402773,0.008308213267693638,1.2006313195229253e-06,1.2001148395881575e-06,0.0005834296740827213,0.0010648756340622516,0.009303215810760912,BELOW BOTH DEAD BENCHMARKS
POOLED,y_pts,G02_placebo_noop,G02_placebo_noop__y_pts,13402,False,0.501695431123433,0.0,0.0,14.41793053977406,1.0067891537266668e-11,7.583963482796348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BELOW BOTH DEAD BENCHMARKS
POOLED,y_pts,G03_placebo_perturbed,G03_placebo_perturbed__y_pts,13402,False,0.501695431123433,1.83665807629705e-05,-0.00800685612670868,5.7901211358043945,4.059273978457051,7.583963482796348,0.04636066689060084,0.006112986566426188,0.03250202272439795,3.736860476130704e-05,1.8366580762970504e-05,0.008928819038877251,0.016296877340701423,0.14237659506178688,BELOW BOTH DEAD BENCHMARKS
