season,stratum,n,r2_ftm_composed_honest,r2_ftm_simple_prior_mean,corr_stageA_prior_with_ftm,dR2_points_M03,beta_points_M03,dR2_points_M02,beta_points_M02,n_points_cells
2021,POOLED,3885,0.18293266282625864,0.1897353528395994,0.41016203504192056,1.1915955424282112e-07,-0.0012116597060471044,0.00012077346359070902,0.031789153128293175,3639
2021,DECISION,1320,0.14370703223503856,0.14370703223503856,0.37605300767659167,5.087219412274364e-05,0.030989492314313083,0.00044294510688698357,0.07231213721387093,1320
2022,POOLED,4519,0.20058589250273884,0.20800549547344482,0.4218083763348731,0.00043909181797555146,0.06559657115390659,0.00018998655931639233,0.03652504757811555,4272
2022,DECISION,1559,0.18077493050872595,0.18077493050872584,0.39700664139446035,0.0020752345983930153,0.16154246899185834,0.0016194472646165138,0.12172876923692333,1559
2023,POOLED,4897,0.2825792390752683,0.28981782642148024,0.47187082647046025,2.4988525732638737e-05,0.018092138785011386,8.215932404776303e-06,0.008808472564928532,4581
2023,DECISION,1776,0.22851548582233583,0.22851548582233583,0.41726740471617574,0.0007779075603223645,0.11897328388872984,0.000477993223130658,0.07866034277979135,1776
2024,POOLED,4911,0.2704345879824046,0.27730739415960004,0.480231139535841,0.0015999975960442445,0.15076311867174338,0.001672821947331994,0.13206470683653274,4549
2024,DECISION,1776,0.19603475010604132,0.19603475010604132,0.3798427614447227,0.0084511642366484,0.4350806624230307,0.007689217265931738,0.3521117107486446,1776
