stratum,n,walkforward,addition,r2_points_base,r2_points_with,delta_r2,is_oracle
POOLED,9130,True,+ composed honest FT forecast,0.5016588778920659,0.5041621373310181,0.0025032594389522433,False
POOLED,9130,True,+ simple prior-mean FT forecast,0.5016588778920659,0.5041621373310181,0.0025032594389522433,False
POOLED,9130,True,+ both FT forecasts,0.5016588778920659,0.5041621373310181,0.0025032594389522433,False
POOLED,9130,True,+ OPPONENT prior FTM-allowed per game,0.5016588778920659,0.5021593304103055,0.0005004525182396025,False
POOLED,9130,True,+ OPPONENT prior FTA-allowed per game,0.5016588778920659,0.5020725245888211,0.00041364669675525434,False
POOLED,9130,True,+ BOTH opponent FT-allowance terms,0.5016588778920659,0.5010039163012521,-0.0006549615908137962,False
POOLED,9130,True,+ own FT forecast AND opponent FT-allowance,0.5016588778920659,0.5046198276951354,0.0029609498030694903,False
POOLED,9130,True,+ REALISED ftm [ORACLE UPPER BOUND],0.5016588778920659,0.6266441471608937,0.1249852692688278,True
DECISION,3552,True,+ composed honest FT forecast,0.3222429456071715,0.3212286167893199,-0.001014328817851573,False
DECISION,3552,True,+ simple prior-mean FT forecast,0.3222429456071715,0.3212286167893197,-0.001014328817851795,False
DECISION,3552,True,+ both FT forecasts,0.3222429456071715,0.3212286167893199,-0.001014328817851573,False
DECISION,3552,True,+ OPPONENT prior FTM-allowed per game,0.3222429456071715,0.3251080467560442,0.0028651011488727285,False
DECISION,3552,True,+ OPPONENT prior FTA-allowed per game,0.3222429456071715,0.3244825414122703,0.002239595805098804,False
DECISION,3552,True,+ BOTH opponent FT-allowance terms,0.3222429456071715,0.3255102756481295,0.0032673300409580275,False
DECISION,3552,True,+ own FT forecast AND opponent FT-allowance,0.3222429456071715,0.3238767867341702,0.001633841126998714,False
DECISION,3552,True,+ REALISED ftm [ORACLE UPPER BOUND],0.3222429456071715,0.4788534010439309,0.15661045543675944,True
