history_minutes_floor,target,n,r2_H3_rate_x_minutes
0.0,y_any_fta,13848,0.1708455161874629
0.0,ftm,13848,0.2622984642005073
5.0,y_any_fta,13690,0.16891317753151747
5.0,ftm,13690,0.25946581872180996
10.0,y_any_fta,13402,0.16419404388950842
10.0,ftm,13402,0.2535952460356302
15.0,y_any_fta,12794,0.15355784480645174
15.0,ftm,12794,0.24182210588314923
20.0,y_any_fta,11602,0.1364370461145643
20.0,ftm,11602,0.22406500789780115
