game_id,season,game_date,team_id,opp_team_id,player_id,player_name,pos_group,minutes,possessions,unit,s,y,allow_loo,allow_naive,allow_pre,def_pre,own_loo,own_pre,prior_units_pos,is_analysis,target
1022100007,2021,2021-05-16,1611661313,1611661325,204335,Betnijah Laney-Hamilton,F,32.916666666666664,72.0,0.72,20.0,27.77777777777778,22.859995008734714,23.03490857278556,,,23.66114897760467,,0.0,True,pts
1022100007,2021,2021-05-16,1611661313,1611661325,1628244,Sami Whitcomb,G,22.583333333333332,51.0,0.51,5.0,9.803921568627452,20.2079107505071,19.92744860943168,,,20.88452088452089,,0.0,True,pts
1022100007,2021,2021-05-16,1611661313,1611661325,1629477,Sabrina Ionescu,G,31.483333333333334,69.0,0.69,12.0,17.39130434782609,20.221606648199447,19.92744860943168,,,18.595041322314053,,0.0,True,pts
1022100007,2021,2021-05-16,1611661313,1611661325,1630131,Kylee Shook,C,28.116666666666667,63.0,0.63,6.0,9.523809523809524,25.145272054939245,24.651394422310755,,,14.877589453860642,,0.0,True,pts
1022100007,2021,2021-05-16,1611661313,1611661325,1630446,Michaela Onyenwere,F,25.05,56.0,0.56,11.0,19.642857142857142,23.19664031620553,23.03490857278556,,,17.89090909090909,,0.0,True,pts
1022100007,2021,2021-05-16,1611661325,1611661313,202650,Jantel Lavender,F,27.333333333333332,60.0,0.6,8.0,13.333333333333334,20.647482014388487,20.543806646525677,,,15.987780040733197,,0.0,True,pts
1022100007,2021,2021-05-16,1611661325,1611661313,202658,Danielle Robinson,G,29.716666666666665,64.0,0.64,13.0,20.3125,21.371971926647046,21.44093466032021,,,18.19699499165276,,0.0,True,pts
1022100007,2021,2021-05-16,1611661325,1611661313,1628909,Kelsey Mitchell,G,33.983333333333334,73.0,0.73,16.0,21.91780821917808,21.32186509732911,21.44093466032021,,,26.999490575649517,,0.0,True,pts
1022100007,2021,2021-05-16,1611661325,1611661313,1628927,Victoria Vivians,F,15.566666666666666,34.0,0.34,5.0,14.705882352941176,20.693751484913278,20.543806646525677,,,16.19887730553328,,0.0,True,pts
1022100007,2021,2021-05-16,1611661325,1611661313,1629479,Teaira McCowan,C,26.55,59.0,0.59,6.0,10.16949152542373,26.41638225255973,26.003824091778203,,,21.497740477727564,,0.0,True,pts
1022100008,2021,2021-05-16,1611661317,1611661323,100940,Diana Taurasi,G,28.966666666666665,55.0,0.55,19.0,34.54545454545454,18.46327047565438,18.947933440687066,,,25.925925925925927,,0.0,True,pts
1022100008,2021,2021-05-16,1611661317,1611661323,203398,Brittney Griner,C,35.86666666666667,68.0,0.68,16.0,23.52941176470588,20.84967320261438,21.217391304347824,,,32.807215332581734,,0.0,True,pts
