target,family,protocol,fold,n_test,global_alpha_eff,global_alpha_exp,mae_role,mae_global,gap_role_vs_global_pct,per_tier
pts,S1_starter,P1_LOSO,test2021,3433,0.03,0.25,4.169511166556405,4.178322646146018,0.21088557145630024,starter1:0.03/0.15 starter0:0.03/0.40
pts,S1_starter,P1_LOSO,test2022,4030,0.05,0.2,3.970474065773091,3.967926061637168,-0.06421501047001371,starter1:0.03/0.10 starter0:0.03/0.40
pts,S1_starter,P1_LOSO,test2023,4435,0.05,0.2,4.050918967374263,4.064248511026379,0.32797068427170795,starter1:0.05/0.15 starter0:0.02/0.40
pts,S1_starter,P1_LOSO,test2024,4447,0.05,0.2,4.023418461480459,4.031557957641535,0.20189455904134335,starter1:0.03/0.10 starter0:0.05/0.40
pts,S1_starter,P2_WALKFWD,test2022,4030,0.08,0.2,3.9719631176677477,3.970880851903951,-0.027255055091306248,starter1:0.08/0.15 starter0:0.08/0.40
pts,S1_starter,P2_WALKFWD,test2023,4435,0.05,0.2,4.0537009796303805,4.064248511026379,0.2595198440100928,starter1:0.05/0.15 starter0:0.05/0.30
pts,S1_starter,P2_WALKFWD,test2024,4447,0.05,0.2,4.023418461480459,4.031557957641535,0.20189455904134335,starter1:0.03/0.10 starter0:0.05/0.40
pts,S2_minutes,P1_LOSO,test2021,3433,0.03,0.25,4.181581129524247,4.178322646146018,-0.07798544186706848,min_lt15:0.01/0.30 min_15_25:0.03/0.40 min_ge25:0.03/0.15
pts,S2_minutes,P1_LOSO,test2022,4030,0.05,0.2,3.9683834653813426,3.967926061637168,-0.011527526901187825,min_lt15:0.00/0.30 min_15_25:0.05/0.30 min_ge25:0.03/0.10
pts,S2_minutes,P1_LOSO,test2023,4435,0.05,0.2,4.055955884592895,4.064248511026379,0.20403837046346146,min_lt15:0.00/0.30 min_15_25:0.03/0.30 min_ge25:0.05/0.15
pts,S2_minutes,P1_LOSO,test2024,4447,0.05,0.2,4.030052158591075,4.031557957641535,0.03735030145371459,min_lt15:0.05/0.30 min_15_25:0.05/0.30 min_ge25:0.03/0.10
pts,S2_minutes,P2_WALKFWD,test2022,4030,0.08,0.2,3.997856172962636,3.970880851903951,-0.6793283924837644,min_lt15:0.30/0.10 min_15_25:0.15/0.20 min_ge25:0.05/0.15
pts,S2_minutes,P2_WALKFWD,test2023,4435,0.05,0.2,4.060687665349053,4.064248511026379,0.08761387665309078,min_lt15:0.08/0.30 min_15_25:0.05/0.25 min_ge25:0.05/0.20
pts,S2_minutes,P2_WALKFWD,test2024,4447,0.05,0.2,4.030052158591075,4.031557957641535,0.03735030145371459,min_lt15:0.05/0.30 min_15_25:0.05/0.30 min_ge25:0.03/0.10
pts,S3_usage,P1_LOSO,test2021,3433,0.03,0.25,4.17306590950577,4.178322646146018,0.12580973480104962,usage_low:0.01/0.40 usage_mid:0.03/0.30 usage_high:0.03/0.10
pts,S3_usage,P1_LOSO,test2022,4030,0.05,0.2,3.976940320849722,3.967926061637168,-0.22717810444367084,usage_low:0.05/0.50 usage_mid:0.00/0.25 usage_high:0.05/0.10
pts,S3_usage,P1_LOSO,test2023,4435,0.05,0.2,4.057509747621226,4.064248511026379,0.16580588974494045,usage_low:0.05/0.30 usage_mid:0.01/0.30 usage_high:0.05/0.15
pts,S3_usage,P1_LOSO,test2024,4447,0.05,0.2,4.026886799115065,4.031557957641535,0.11586484866517699,usage_low:0.03/0.40 usage_mid:0.05/0.30 usage_high:0.03/0.15
pts,S3_usage,P2_WALKFWD,test2022,4030,0.08,0.2,3.97644839441072,3.970880851903951,-0.14020925619310448,usage_low:0.15/0.25 usage_mid:0.00/0.25 usage_high:0.05/0.15
pts,S3_usage,P2_WALKFWD,test2023,4435,0.05,0.2,4.058493063323218,4.064248511026379,0.14161160882622867,usage_low:0.08/0.25 usage_mid:0.05/0.30 usage_high:0.03/0.15
pts,S3_usage,P2_WALKFWD,test2024,4447,0.05,0.2,4.026886799115065,4.031557957641535,0.11586484866517699,usage_low:0.03/0.40 usage_mid:0.05/0.30 usage_high:0.03/0.15
reb,S1_starter,P1_LOSO,test2021,3433,0.05,0.3,1.859934183353647,1.8683848737549538,0.4522992302074911,starter1:0.05/0.15 starter0:0.03/0.40
reb,S1_starter,P1_LOSO,test2022,4030,0.05,0.3,1.7640766283968923,1.7647690412297956,0.03923532296446104,starter1:0.03/0.15 starter0:0.05/0.50
reb,S1_starter,P1_LOSO,test2023,4435,0.03,0.3,1.7656622329846825,1.7718856384431467,0.35123065075082227,starter1:0.02/0.15 starter0:0.05/0.40
reb,S1_starter,P1_LOSO,test2024,4447,0.05,0.3,1.7608530735958434,1.75816048974705,-0.1531477851137946,starter1:0.03/0.10 starter0:0.05/0.40
reb,S1_starter,P2_WALKFWD,test2022,4030,0.03,0.3,1.7682212498442695,1.7645219698144692,-0.20964771723354156,starter1:0.00/0.05 starter0:0.10/0.50
reb,S1_starter,P2_WALKFWD,test2023,4435,0.03,0.3,1.7653863662539029,1.7718856384431467,0.36679975548277355,starter1:0.02/0.10 starter0:0.05/0.40
reb,S1_starter,P2_WALKFWD,test2024,4447,0.05,0.3,1.7608530735958434,1.75816048974705,-0.1531477851137946,starter1:0.03/0.10 starter0:0.05/0.40
reb,S2_minutes,P1_LOSO,test2021,3433,0.05,0.3,1.864312653881278,1.8683848737549538,0.21795401637413783,min_lt15:0.05/0.30 min_15_25:0.03/0.40 min_ge25:0.05/0.20
reb,S2_minutes,P1_LOSO,test2022,4030,0.05,0.3,1.7673890466847446,1.7647690412297956,-0.1484616623330625,min_lt15:0.03/0.40 min_15_25:0.05/0.40 min_ge25:0.03/0.15
reb,S2_minutes,P1_LOSO,test2023,4435,0.03,0.3,1.7753637913429132,1.7718856384431467,-0.19629669230924784,min_lt15:0.03/0.30 min_15_25:0.03/0.50 min_ge25:0.03/0.20
reb,S2_minutes,P1_LOSO,test2024,4447,0.05,0.3,1.7568679620725771,1.75816048974705,0.07351590949804661,min_lt15:0.05/0.30 min_15_25:0.05/0.30 min_ge25:0.03/0.15
reb,S2_minutes,P2_WALKFWD,test2022,4030,0.03,0.3,1.772516155671172,1.7645219698144692,-0.4530510808852837,min_lt15:0.00/0.50 min_15_25:0.05/0.50 min_ge25:0.00/0.08
reb,S2_minutes,P2_WALKFWD,test2023,4435,0.03,0.3,1.773173470094598,1.7718856384431467,-0.07268142048844879,min_lt15:0.05/0.30 min_15_25:0.05/0.40 min_ge25:0.01/0.15
reb,S2_minutes,P2_WALKFWD,test2024,4447,0.05,0.3,1.7568679620725771,1.75816048974705,0.07351590949804661,min_lt15:0.05/0.30 min_15_25:0.05/0.30 min_ge25:0.03/0.15
