target,slice,fold,n_test,split_alpha_eff,split_alpha_exp,single_alpha,mae_split,mae_single,mae_incumbent,mae_naive,gap_vs_single_pct,gap_vs_incumbent_pct,gap_vs_naive_pct
pts,S1_starter1,test2021,1883,0.03,0.15,0.05,4.787341122043868,4.789360052282855,4.928771126603784,4.7802113394617685,0.04215448863621099,2.8694780286413786,-0.14915203692442378
pts,S1_starter1,test2022,2165,0.03,0.1,0.05,4.737597945146957,4.7512170398737394,4.886656864448646,4.755795829781789,0.2866443400182822,3.0503250675553053,0.3826464652009005
pts,S1_starter1,test2023,2409,0.05,0.15,0.08,4.9314044181890955,4.928725592873437,5.142268491497268,4.919559039108992,-0.05435127732678528,4.100604113862125,-0.24078131771437777
pts,S1_starter1,test2024,2421,0.03,0.1,0.05,4.850933399733532,4.863040642546994,5.013735903730956,4.87667458607586,0.2489644587284589,3.247129627954184,0.52784301859767
pts,S1_starter0,test2021,1550,0.03,0.4,0.15,3.418947420631958,3.4300883745894075,3.452574020681193,3.525400693290342,0.3248007847256483,0.9739573966498362,3.019607752985054
pts,S1_starter0,test2022,1865,0.03,0.4,0.15,3.0799522433364035,3.1116431817513246,3.1723585808114607,3.1997640225908026,1.0184631258743653,2.912859158923343,3.7443942243399952
pts,S1_starter0,test2023,2026,0.02,0.4,0.15,3.0039843913560333,3.0309044373270995,3.052814406282783,3.131335039803942,0.8881852439665313,1.5995081399726148,4.066976124531286
pts,S1_starter0,test2024,2026,0.05,0.4,0.15,3.0345667016035134,3.0740938447590107,3.111300196177075,3.1862127500652155,1.2858144595320902,2.466283859971011,4.759445158161465
pts,S2_min_lt15,test2021,775,0.01,0.3,0.15,2.788271418115552,2.7765467475158383,2.770922220161801,2.7736030194745482,-0.42227528170392253,-0.6261163820303098,-0.5288571773974545
pts,S2_min_lt15,test2022,969,0.0,0.3,0.15,2.6303674099097822,2.648900250699246,2.6977535855101458,2.7224667865392567,0.6996428342128624,2.4978625165137456,3.3829384837619725
pts,S2_min_lt15,test2023,1396,0.0,0.3,0.15,2.741947849730253,2.7526019619905506,2.781562073551734,2.8107121874879946,0.387056043969144,1.4241718420793092,2.446509395869452
pts,S2_min_lt15,test2024,1280,0.05,0.3,0.15,2.876179983327593,2.8972530597253594,2.945937151250414,2.9251439305926565,0.727346764792573,2.3679109343256814,1.6738987354766812
pts,S2_min_15_25,test2021,1222,0.03,0.4,0.15,3.9826417966603125,3.9530771083090905,4.0150670104913395,4.069858885785326,-0.747890505072088,0.8075883602017151,2.1430003244002878
pts,S2_min_15_25,test2022,1230,0.05,0.3,0.15,3.680756687530125,3.7230373439711313,3.7965192985027483,3.7918301700634505,1.1356495391987709,3.049177466799054,2.929284212416793
pts,S2_min_15_25,test2023,1214,0.03,0.3,0.15,3.815605489796028,3.839143958884682,3.8949426127252416,3.9140525957703196,0.6131176465571296,2.0369266204336323,2.515221846550493
pts,S2_min_15_25,test2024,1286,0.05,0.3,0.15,3.6532944311542956,3.6904663621737064,3.7703809251385594,3.8173429825925003,1.0072421036108905,3.1054287699050165,4.297453809790839
pts,S2_min_ge25,test2021,1436,0.03,0.15,0.05,5.102833839204934,5.111599427392644,5.277499412259722,5.113230590727087,0.1714842548251236,3.3096275226300653,0.20333038648809765
pts,S2_min_ge25,test2022,1831,0.03,0.1,0.05,4.86970432529884,4.8794996278143286,5.031250083684863,4.894503794797838,0.2007439955452207,3.210847318241581,0.5066799524265567
pts,S2_min_ge25,test2023,1825,0.05,0.15,0.08,5.220964430319823,5.216955435631545,5.458194957051603,5.216377233346818,-0.0768454846460249,4.346318308496752,-0.08793836733433057
pts,S2_min_ge25,test2024,1881,0.03,0.1,0.05,5.072830904907371,5.082151369700524,5.221817861275216,5.108138701621066,0.1833960485459192,2.853162640403953,0.6912066953563833
pts,S3_usage_low,test2021,1143,0.01,0.4,0.15,3.0820502536650487,3.0678055162481157,3.091412230581421,3.1790606811667828,-0.46432987167824497,0.3028381923238898,3.0515437492727937
pts,S3_usage_low,test2022,1240,0.05,0.5,0.15,3.014836689352289,3.02455823520609,3.0938763077946656,3.044525193824439,0.3214203562239801,2.5547116490483313,0.9751439906744934
pts,S3_usage_low,test2023,1561,0.05,0.3,0.15,3.0363633939676857,3.0551731475700588,3.088238724758558,3.0825724599939237,0.6156689881008355,1.6797707500714032,1.499042329935338
pts,S3_usage_low,test2024,1643,0.03,0.4,0.15,2.9678337994637527,3.006458178119384,3.0465888165760067,3.1026227139064346,1.284713651988727,2.585022851910977,4.344354015025326
pts,S3_usage_mid,test2021,1145,0.03,0.3,0.1,4.251932822870166,4.270465582076704,4.376481487352382,4.2776603717986506,0.4339751451064428,2.8458629344634425,0.601439728551122
pts,S3_usage_mid,test2022,1507,0.0,0.25,0.1,3.8274676576522673,3.8479543534576717,3.9104465132787705,3.926412944161127,0.532404855244595,2.1219790462478,2.519991858115661
pts,S3_usage_mid,test2023,1468,0.01,0.3,0.1,4.1298030723508505,4.142872651294221,4.2396745944470835,4.225150962289673,0.31547141424411046,2.5915083728392094,2.2566741588601613
pts,S3_usage_mid,test2024,1502,0.05,0.3,0.1,4.207166331179606,4.228414008692239,4.337963712804074,4.2883273418608345,0.5024975669117113,3.0151792473137022,1.8926029710691337
pts,S3_usage_high,test2021,1145,0.03,0.1,0.05,5.18330894777975,5.1913340648395225,5.316864874129024,5.182464229278124,0.15458679714191284,2.5119300473317434,-0.016299552958876924
pts,S3_usage_high,test2022,1283,0.05,0.1,0.05,5.082368073379247,5.099716901252007,5.274054051105379,5.122012725188074,0.34019197945087093,3.634509162566444,0.7740053361029239
pts,S3_usage_high,test2023,1406,0.05,0.15,0.08,5.115747910743622,5.117773906972738,5.354298598257048,5.107315286745801,0.0395874508320184,4.455311618053588,-0.1651087415673037
pts,S3_usage_high,test2024,1302,0.03,0.15,0.05,5.155338581961582,5.1551591852513825,5.3153470799702776,5.163609384100259,-0.00347994511425192,3.010311379508085,0.1601748219790808
reb,S1_starter1,test2021,1883,0.05,0.15,0.08,2.0686618512202513,2.071729430692597,2.146926185265575,2.0596402089391717,0.14806853766229008,3.645413362716168,-0.43802030286281135
reb,S1_starter1,test2022,2165,0.03,0.15,0.05,2.0268441067632144,2.0281439961964436,2.0796566662846394,2.0433717685530977,0.0640925612612825,2.539484539809932,0.8088426219956273
reb,S1_starter1,test2023,2409,0.02,0.15,0.08,2.081876295844393,2.082059038581239,2.153513964062317,2.089037454275934,0.00877701993363743,3.3265476525069357,0.3427970339585543
reb,S1_starter1,test2024,2421,0.03,0.1,0.05,2.0993705348894096,2.106460491774994,2.1569176672277446,2.12017618450121,0.33658152684411013,2.6680263791570438,0.981317013363927
reb,S1_starter0,test2021,1550,0.03,0.4,0.15,1.6063637326486042,1.6349815617575605,1.6342850817934143,1.6890510346181438,1.7503456784058706,1.708474822163218,4.895488666405706
reb,S1_starter0,test2022,1865,0.05,0.5,0.2,1.4590409229475156,1.481885704169129,1.4997829712939104,1.5148931821865745,1.541602105840004,2.716529599695699,3.6868777215329844
reb,S1_starter0,test2023,2026,0.05,0.4,0.2,1.3896702895350073,1.4180715361661969,1.4273833589037694,1.4487109264804732,2.0028077503038597,2.6421121651387205,4.075391154044817
reb,S1_starter0,test2024,2026,0.05,0.4,0.2,1.3563364034123664,1.3920844845412677,1.4043914360705643,1.4244897019237874,2.5679534199162704,3.4217691324474395,4.784400927530704
reb,S2_min_lt15,test2021,775,0.05,0.3,0.15,1.5128799592240707,1.528691624614512,1.5358706747412176,1.515754899418784,1.0343266840641203,1.4969174094700837,0.18967051967409992
