target,baseline,n,mae,r2,corrected_minus_this_r2,corrected_vs_this_mae_pct
pts,LOO_SEASON_TOTAL,16345,4.019004032153209,0.5128867683276412,-0.020097337506002177,-0.9428242847871884
pts,LOO_PER36_x_MIN,16345,4.007752503234392,0.5099691373084239,-0.017179706486784796,-1.226215313966444
pts,EXPANDING_TOTAL,16345,4.110514874322061,0.48732132972157816,0.005468101100060907,1.3044277368289265
pts,EXPANDING_BOTH,16345,4.108037129238762,0.4831394134026603,0.009650017418978751,1.2448999231249258
pts,CORRECTED,16345,4.0568961781749255,0.49278943082163906,0.0,0.0
pts,INCUMBENT,16345,4.169036539108517,0.46039980728887864,0.032389623532760425,2.6898387644635764
reb,LOO_SEASON_TOTAL,16345,1.7712297162971864,0.4935857138517462,-0.013734597329925435,-0.86391641060891
reb,LOO_PER36_x_MIN,16345,1.7711366541223692,0.49168292430709726,-0.011831807785276482,-0.8692161797712179
reb,EXPANDING_TOTAL,16345,1.8190302553662394,0.46450502162624774,0.015346094895573037,1.786589023712351
reb,EXPANDING_BOTH,16345,1.8214996762738809,0.4618260395649535,0.01802507695686728,1.9197376888670745
reb,CORRECTED,16345,1.7865316604858594,0.4798511165218208,0.0,0.0
reb,INCUMBENT,16345,1.836784604099526,0.44645227940624466,0.03339883711557612,2.735919252671586
ast,LOO_SEASON_TOTAL,16345,1.2005399768556997,0.49469894319260843,-0.019923786755217,-0.9747858119656526
ast,LOO_PER36_x_MIN,16345,1.1992888600650646,0.4930386679197927,-0.01826351148240124,-1.0801242789245424
ast,EXPANDING_TOTAL,16345,1.2306108868527568,0.4662883461218441,0.008486810315547322,1.4926096324946423
ast,EXPANDING_BOTH,16345,1.2315718933007098,0.4637291005238595,0.011046055913531916,1.5694758210047486
ast,CORRECTED,16345,1.2122426702170648,0.47477515643739143,0.0,0.0
ast,INCUMBENT,16345,1.2529748951316393,0.43641249796241943,0.038362658474972,3.250841263686702
