target,alpha_eff,alpha_exp,mae_pooled_2021_2024
pts,0.0,0.0,4.108037129238763
pts,0.0,0.01,4.103351790294719
pts,0.0,0.02,4.098810310694737
pts,0.0,0.03,4.094416863085697
pts,0.0,0.05,4.086494254501509
pts,0.0,0.08,4.076326747703202
pts,0.0,0.1,4.070857581030452
pts,0.0,0.15,4.061872168310398
pts,0.0,0.2,4.058129456144366
pts,0.0,0.25,4.057532171088246
pts,0.0,0.3,4.059100845298277
pts,0.0,0.4,4.06752462158676
pts,0.0,0.5,4.080275550503086
pts,0.0,0.7,4.117999925975929
pts,0.01,0.0,4.105189401122605
pts,0.01,0.01,4.100630522896349
pts,0.01,0.02,4.096181047292535
pts,0.01,0.03,4.091882272365909
pts,0.01,0.05,4.0842090148109165
pts,0.01,0.08,4.074273296007879
pts,0.01,0.1,4.068968613641965
pts,0.01,0.15,4.060175986866964
pts,0.01,0.2,4.056688097131071
pts,0.01,0.25,4.056365601678091
pts,0.01,0.3,4.05801873118878
pts,0.01,0.4,4.066400532821636
pts,0.01,0.5,4.079309769103816
pts,0.01,0.7,4.117523862774071
pts,0.02,0.0,4.102815664853721
pts,0.02,0.01,4.098350287965735
pts,0.02,0.02,4.094034208304234
pts,0.02,0.03,4.089878339654103
pts,0.02,0.05,4.082347686799347
pts,0.02,0.08,4.07260515036735
pts,0.02,0.1,4.067443730287965
pts,0.02,0.15,4.058975515569792
pts,0.02,0.2,4.055605031140041
pts,0.02,0.25,4.05548726097201
pts,0.02,0.3,4.057281457487638
pts,0.02,0.4,4.065704622697681
pts,0.02,0.5,4.078829922136699
pts,0.02,0.7,4.117427122631387
pts,0.03,0.0,4.100935603341149
pts,0.03,0.01,4.096538508234045
pts,0.03,0.02,4.092309625193008
pts,0.03,0.03,4.088288749753687
pts,0.03,0.05,4.0808339132419675
pts,0.03,0.08,4.071333154801908
pts,0.03,0.1,4.066310642434793
pts,0.03,0.15,4.058123704893644
pts,0.03,0.2,4.054864128491291
pts,0.03,0.25,4.054932252313769
pts,0.03,0.3,4.0568961781749255
pts,0.03,0.4,4.065465636108715
pts,0.03,0.5,4.078809709628345
pts,0.03,0.7,4.1177813668837535
pts,0.05,0.0,4.098509720087491
pts,0.05,0.01,4.09423732309376
pts,0.05,0.02,4.090162110470036
pts,0.05,0.03,4.08630090185893
pts,0.05,0.05,4.079002311390299
pts,0.05,0.08,4.070132908479065
pts,0.05,0.1,4.065370806483017
pts,0.05,0.15,4.057405480526465
pts,0.05,0.2,4.054352336853044
pts,0.05,0.25,4.054819549540265
pts,0.05,0.3,4.057300097194011
pts,0.05,0.4,4.066427136333322
pts,0.05,0.5,4.0799482291533185
pts,0.05,0.7,4.120045794707624
pts,0.08,0.0,4.098517195136023
pts,0.08,0.01,4.094277832562971
pts,0.08,0.02,4.090270595064067
pts,0.08,0.03,4.086535548579394
pts,0.08,0.05,4.079672845000017
pts,0.08,0.08,4.071265777894354
pts,0.08,0.1,4.066631407613405
pts,0.08,0.15,4.05928726325426
pts,0.08,0.2,4.056978782593565
pts,0.08,0.25,4.05792156331153
pts,0.08,0.3,4.060984893365364
pts,0.08,0.4,4.0709968413258935
pts,0.08,0.5,4.085394535756855
pts,0.08,0.7,4.126540986027016
pts,0.1,0.0,4.100770527946568
pts,0.1,0.01,4.096545035564601
pts,0.1,0.02,4.09258290394501
pts,0.1,0.03,4.088850733712443
pts,0.1,0.05,4.082062107086469
pts,0.1,0.08,4.073816508658442
pts,0.1,0.1,4.069339113198136
pts,0.1,0.15,4.062603614320109
pts,0.1,0.2,4.060597366592075
pts,0.1,0.25,4.061945691503792
pts,0.1,0.3,4.065487601630557
pts,0.1,0.4,4.076246317580415
pts,0.1,0.5,4.091267006639914
pts,0.1,0.7,4.133032029309643
pts,0.15,0.0,4.113283607842447
pts,0.15,0.01,4.108978996403934
pts,0.15,0.02,4.10498396518931
pts,0.15,0.03,4.101150625362315
pts,0.15,0.05,4.094365943130387
pts,0.15,0.08,4.086691456296514
pts,0.15,0.1,4.0829928611552875
pts,0.15,0.15,4.077552893833968
pts,0.15,0.2,4.076239422563076
pts,0.15,0.25,4.078386070079371
pts,0.15,0.3,4.082283174471152
pts,0.15,0.4,4.09480965891475
pts,0.15,0.5,4.1113521219879505
pts,0.15,0.7,4.154577422144786
pts,0.2,0.0,4.133907197785083
pts,0.2,0.01,4.12974409561724
pts,0.2,0.02,4.1258419463537015
pts,0.2,0.03,4.1221583426883095
pts,0.2,0.05,4.115752365322809
pts,0.2,0.08,4.108516854864247
pts,0.2,0.1,4.105080381949713
pts,0.2,0.15,4.100413435010337
pts,0.2,0.2,4.09964127752738
pts,0.2,0.25,4.101736736729281
pts,0.2,0.3,4.105849248135034
pts,0.2,0.4,4.119200991896082
pts,0.2,0.5,4.136313884818716
pts,0.2,0.7,4.181787756169655
pts,0.25,0.0,4.161006748459391
pts,0.25,0.01,4.156960466284892
pts,0.25,0.02,4.153204955868765
pts,0.25,0.03,4.149795859893952
pts,0.25,0.05,4.143710381136498
pts,0.25,0.08,4.136771474134002
pts,0.25,0.1,4.1336853025914015
pts,0.25,0.15,4.129296603915958
pts,0.25,0.2,4.128701867596973
pts,0.25,0.25,4.130924219662749
pts,0.25,0.3,4.135417153603364
pts,0.25,0.4,4.149159157675354
pts,0.25,0.5,4.166680653056385
