target,protocol,fold,arm,form,alpha_eff,alpha_exp,n_test,test_mae
pts,P1_LOSO,test2021,INCUMBENT,PER36,0.3,0.3,3433,4.262267918278699
pts,P1_LOSO,test2021,NAIVE,STD,,,3433,4.213664149958212
pts,P1_LOSO,test2021,FROZEN_SPLIT,PER36,0.03,0.3,3433,4.182768905082222
pts,P1_LOSO,test2021,TOT_tuned,TOT,0.1,0.1,3433,4.176831103322963
pts,P1_LOSO,test2021,SINGLE_tuned,PER36,0.1,0.1,3433,4.179082644996532
pts,P1_LOSO,test2021,SPLIT_tuned,PER36,0.03,0.25,3433,4.178322646146018
pts,P1_LOSO,test2021,SPLITFORM,PER100,0.03,0.25,3433,4.174349711174604
pts,P1_LOSO,test2022,INCUMBENT,PER36,0.3,0.3,4030,4.093315351053275
pts,P1_LOSO,test2022,NAIVE,STD,,,4030,4.035696742831123
pts,P1_LOSO,test2022,FROZEN_SPLIT,PER36,0.03,0.3,4030,3.9665157130401325
pts,P1_LOSO,test2022,TOT_tuned,TOT,0.1,0.1,4030,3.987637377527371
pts,P1_LOSO,test2022,SINGLE_tuned,PER36,0.1,0.1,4030,3.9923229442178645
pts,P1_LOSO,test2022,SPLIT_tuned,PER36,0.05,0.2,4030,3.967926061637168
pts,P1_LOSO,test2022,SPLITFORM,PER100,0.03,0.25,4030,3.9700673295519247
pts,P1_LOSO,test2023,INCUMBENT,PER36,0.3,0.3,4435,4.187762521566142
pts,P1_LOSO,test2023,NAIVE,STD,,,4435,4.102661221162649
pts,P1_LOSO,test2023,FROZEN_SPLIT,PER36,0.03,0.3,4435,4.065448581216348
pts,P1_LOSO,test2023,TOT_tuned,TOT,0.1,0.1,4435,4.085092276972347
pts,P1_LOSO,test2023,SINGLE_tuned,PER36,0.1,0.1,4435,4.071979822729555
pts,P1_LOSO,test2023,SPLIT_tuned,PER36,0.05,0.2,4435,4.064248511026379
pts,P1_LOSO,test2023,SPLITFORM,PER100,0.05,0.2,4435,4.061500993034957
pts,P1_LOSO,test2024,INCUMBENT,PER36,0.3,0.3,4447,4.147008954438363
pts,P1_LOSO,test2024,NAIVE,STD,,,4447,4.1065203967892465
pts,P1_LOSO,test2024,FROZEN_SPLIT,PER36,0.03,0.3,4447,4.033100876967765
pts,P1_LOSO,test2024,TOT_tuned,TOT,0.1,0.1,4447,4.067259430967101
pts,P1_LOSO,test2024,SINGLE_tuned,PER36,0.1,0.1,4447,4.051779875409682
pts,P1_LOSO,test2024,SPLIT_tuned,PER36,0.05,0.2,4447,4.031557957641535
pts,P1_LOSO,test2024,SPLITFORM,PER100,0.05,0.25,4447,4.027832929595463
pts,P2_WALKFWD,test2022,INCUMBENT,PER36,0.3,0.3,4030,4.093315351053275
pts,P2_WALKFWD,test2022,NAIVE,STD,,,4030,4.035696742831123
pts,P2_WALKFWD,test2022,FROZEN_SPLIT,PER36,0.03,0.3,4030,3.9665157130401325
pts,P2_WALKFWD,test2022,TOT_tuned,TOT,0.1,0.1,4030,3.987637377527371
pts,P2_WALKFWD,test2022,SINGLE_tuned,PER36,0.1,0.1,4030,3.9923229442178645
pts,P2_WALKFWD,test2022,SPLIT_tuned,PER36,0.08,0.2,4030,3.970880851903951
pts,P2_WALKFWD,test2022,SPLITFORM,RATE100,0.08,0.2,4030,3.9703461157065556
pts,P2_WALKFWD,test2023,INCUMBENT,PER36,0.3,0.3,4435,4.187762521566142
pts,P2_WALKFWD,test2023,NAIVE,STD,,,4435,4.102661221162649
pts,P2_WALKFWD,test2023,FROZEN_SPLIT,PER36,0.03,0.3,4435,4.065448581216348
pts,P2_WALKFWD,test2023,TOT_tuned,TOT,0.1,0.1,4435,4.085092276972347
pts,P2_WALKFWD,test2023,SINGLE_tuned,PER36,0.1,0.1,4435,4.071979822729555
pts,P2_WALKFWD,test2023,SPLIT_tuned,PER36,0.05,0.2,4435,4.064248511026379
pts,P2_WALKFWD,test2023,SPLITFORM,RATE36,0.05,0.2,4435,4.07764356355571
pts,P2_WALKFWD,test2024,INCUMBENT,PER36,0.3,0.3,4447,4.147008954438363
pts,P2_WALKFWD,test2024,NAIVE,STD,,,4447,4.1065203967892465
pts,P2_WALKFWD,test2024,FROZEN_SPLIT,PER36,0.03,0.3,4447,4.033100876967765
pts,P2_WALKFWD,test2024,TOT_tuned,TOT,0.1,0.1,4447,4.067259430967101
pts,P2_WALKFWD,test2024,SINGLE_tuned,PER36,0.1,0.1,4447,4.051779875409682
pts,P2_WALKFWD,test2024,SPLIT_tuned,PER36,0.05,0.2,4447,4.031557957641535
pts,P2_WALKFWD,test2024,SPLITFORM,PER100,0.05,0.25,4447,4.027832929595463
pts,P3_HALF,test2021H2,INCUMBENT,PER36,0.3,0.3,1890,4.304288328400448
pts,P3_HALF,test2021H2,NAIVE,STD,,,1890,4.248262535420806
pts,P3_HALF,test2021H2,FROZEN_SPLIT,PER36,0.03,0.3,1890,4.190238930252516
