target,protocol,fold,contrast,n_test,mae_hi,mae_lo,gap_pct
pts,P1_LOSO,test2021,SPLIT_tuned_vs_SINGLE_tuned,3433,4.178322646146018,4.179082644996532,0.018185781786912728
pts,P1_LOSO,test2021,SPLIT_tuned_vs_INCUMBENT,3433,4.178322646146018,4.262267918278699,1.9694977824524404
pts,P1_LOSO,test2021,SPLIT_tuned_vs_NAIVE,3433,4.178322646146018,4.213664149958212,0.8387356598542406
pts,P1_LOSO,test2021,SPLIT_tuned_vs_TOT_tuned,3433,4.178322646146018,4.176831103322963,-0.03570991467356432
pts,P1_LOSO,test2021,SPLITFORM_vs_SINGLE_tuned,3433,4.174349711174604,4.179082644996532,0.11325293668443095
pts,P1_LOSO,test2021,SPLITFORM_vs_INCUMBENT,3433,4.174349711174604,4.262267918278699,2.062709543129808
pts,P1_LOSO,test2021,SPLITFORM_vs_NAIVE,3433,4.174349711174604,4.213664149958212,0.9330225994399112
pts,P1_LOSO,test2021,FROZEN_SPLIT_vs_INCUMBENT,3433,4.182768905082222,4.262267918278699,1.8651810425981479
pts,P1_LOSO,test2021,FROZEN_SPLIT_vs_NAIVE,3433,4.182768905082222,4.213664149958212,0.7332156473907923
pts,P1_LOSO,test2021,FROZEN_SPLIT_vs_SINGLE_tuned,3433,4.182768905082222,4.179082644996532,-0.08820739858072395
pts,P1_LOSO,test2021,SINGLE_tuned_vs_INCUMBENT,3433,4.179082644996532,4.262267918278699,1.951666926553998
pts,P1_LOSO,test2021,SINGLE_tuned_vs_NAIVE,3433,4.179082644996532,4.213664149958212,0.8206991286199858
pts,P1_LOSO,test2022,SPLIT_tuned_vs_SINGLE_tuned,4030,3.967926061637168,3.9923229442178645,0.6110949169588278
pts,P1_LOSO,test2022,SPLIT_tuned_vs_INCUMBENT,4030,3.967926061637168,4.093315351053275,3.0632697132372706
pts,P1_LOSO,test2022,SPLIT_tuned_vs_NAIVE,4030,3.967926061637168,4.035696742831123,1.6792808159914405
pts,P1_LOSO,test2022,SPLIT_tuned_vs_TOT_tuned,4030,3.967926061637168,3.987637377527371,0.4943106412154604
pts,P1_LOSO,test2022,SPLITFORM_vs_SINGLE_tuned,4030,3.9700673295519247,3.9923229442178645,0.5574602800650921
pts,P1_LOSO,test2022,SPLITFORM_vs_INCUMBENT,4030,3.9700673295519247,4.093315351053275,3.0109583780208045
pts,P1_LOSO,test2022,SPLITFORM_vs_NAIVE,4030,3.9700673295519247,4.035696742831123,1.6262226193229166
pts,P1_LOSO,test2022,FROZEN_SPLIT_vs_INCUMBENT,4030,3.9665157130401325,4.093315351053275,3.0977246348858722
pts,P1_LOSO,test2022,FROZEN_SPLIT_vs_NAIVE,4030,3.9665157130401325,4.035696742831123,1.7142276588021867
pts,P1_LOSO,test2022,FROZEN_SPLIT_vs_SINGLE_tuned,4030,3.9665157130401325,3.9923229442178645,0.6464214327928792
pts,P1_LOSO,test2022,SINGLE_tuned_vs_INCUMBENT,4030,3.9923229442178645,4.093315351053275,2.467252048133147
pts,P1_LOSO,test2022,SINGLE_tuned_vs_NAIVE,4030,3.9923229442178645,4.035696742831123,1.0747536640434108
pts,P1_LOSO,test2023,SPLIT_tuned_vs_SINGLE_tuned,4435,4.064248511026379,4.071979822729555,0.18986615945445073
pts,P1_LOSO,test2023,SPLIT_tuned_vs_INCUMBENT,4435,4.064248511026379,4.187762521566142,2.9494034082326888
pts,P1_LOSO,test2023,SPLIT_tuned_vs_NAIVE,4435,4.064248511026379,4.102661221162649,0.9362876451540165
