from_venue_id,to_venue_id,great_circle_km,great_circle_mi,elevation_gain_ft,tz_offset_delta_hours_jul
barclays_center,barclays_center,0.0,0.0,0,0.0
barclays_center,footprint_center,3446.07,2141.288,1060,-3.0
barclays_center,michelob_ultra_arena,3593.961,2233.183,2000,-3.0
barclays_center,crypto_com_arena,3940.911,2448.768,255,-3.0
barclays_center,college_park_center,2235.049,1388.795,574,-1.0
barclays_center,entertainment_sports_arena,328.127,203.889,100,0.0
barclays_center,mohegan_sun_arena,181.732,112.923,10,0.0
barclays_center,target_center,1640.201,1019.174,800,-1.0
barclays_center,gainbridge_fieldhouse,1038.259,645.144,685,0.0
barclays_center,moda_center,3928.144,2440.835,20,-3.0
barclays_center,climate_pledge_arena,3870.769,2405.184,145,-3.0
barclays_center,wintrust_arena,1146.465,712.38,565,-1.0
barclays_center,gateway_center_arena,1211.573,752.836,980,0.0
barclays_center,chase_center,4129.907,2566.204,-10,-3.0
barclays_center,coca_cola_coliseum,555.722,345.309,220,0.0
footprint_center,barclays_center,3446.07,2141.288,-1060,3.0
footprint_center,footprint_center,0.0,0.0,0,0.0
footprint_center,michelob_ultra_arena,408.55,253.861,940,0.0
footprint_center,crypto_com_arena,576.646,358.311,-805,0.0
footprint_center,college_park_center,1395.075,866.859,-486,2.0
footprint_center,entertainment_sports_arena,3185.847,1979.593,-960,3.0
footprint_center,mohegan_sun_arena,3605.796,2240.537,-1050,3.0
footprint_center,target_center,2056.905,1278.101,-260,2.0
footprint_center,gainbridge_fieldhouse,2407.878,1496.186,-375,3.0
footprint_center,moda_center,1619.417,1006.259,-1040,0.0
footprint_center,climate_pledge_arena,1796.338,1116.192,-915,0.0
footprint_center,wintrust_arena,2336.373,1451.754,-495,2.0
footprint_center,gateway_center_arena,2552.291,1585.919,-80,3.0
footprint_center,chase_center,1048.337,651.406,-1070,0.0
footprint_center,coca_cola_coliseum,3033.292,1884.8,-840,3.0
michelob_ultra_arena,barclays_center,3593.961,2233.183,-2000,3.0
michelob_ultra_arena,footprint_center,408.55,253.861,-940,0.0
michelob_ultra_arena,michelob_ultra_arena,0.0,0.0,0,0.0
michelob_ultra_arena,crypto_com_arena,361.836,224.835,-1745,0.0
michelob_ultra_arena,college_park_center,1696.452,1054.126,-1426,2.0
michelob_ultra_arena,entertainment_sports_arena,3358.665,2086.977,-1900,3.0
michelob_ultra_arena,mohegan_sun_arena,3742.956,2325.764,-1990,3.0
michelob_ultra_arena,target_center,2088.722,1297.871,-1200,2.0
michelob_ultra_arena,gainbridge_fieldhouse,2566.486,1594.74,-1315,3.0
michelob_ultra_arena,moda_center,1223.231,760.08,-1980,0.0
michelob_ultra_arena,climate_pledge_arena,1411.824,877.266,-1855,0.0
michelob_ultra_arena,wintrust_arena,2455.216,1525.6,-1435,2.0
michelob_ultra_arena,gateway_center_arena,2804.728,1742.777,-1020,3.0
michelob_ultra_arena,chase_center,667.347,414.67,-2010,0.0
michelob_ultra_arena,coca_cola_coliseum,3138.544,1950.201,-1780,3.0
crypto_com_arena,barclays_center,3940.911,2448.768,-255,3.0
crypto_com_arena,footprint_center,576.646,358.311,805,0.0
crypto_com_arena,michelob_ultra_arena,361.836,224.835,1745,0.0
crypto_com_arena,crypto_com_arena,0.0,0.0,0,0.0
crypto_com_arena,college_park_center,1966.453,1221.897,319,2.0
crypto_com_arena,entertainment_sports_arena,3698.184,2297.944,-155,3.0
crypto_com_arena,mohegan_sun_arena,4092.671,2543.067,-245,3.0
crypto_com_arena,target_center,2450.1,1522.421,545,2.0
crypto_com_arena,gainbridge_fieldhouse,2908.75,1807.413,430,3.0
crypto_com_arena,moda_center,1331.077,827.093,-235,0.0
crypto_com_arena,climate_pledge_arena,1547.993,961.878,-110,0.0
crypto_com_arena,wintrust_arena,2806.859,1744.101,310,2.0
crypto_com_arena,gateway_center_arena,3109.091,1931.899,725,3.0
crypto_com_arena,chase_center,556.004,345.485,-265,0.0
crypto_com_arena,coca_cola_coliseum,3493.795,2170.943,-35,3.0
college_park_center,barclays_center,2235.049,1388.795,-574,1.0
college_park_center,footprint_center,1395.075,866.859,486,-2.0
college_park_center,michelob_ultra_arena,1696.452,1054.126,1426,-2.0
college_park_center,crypto_com_arena,1966.453,1221.897,-319,-2.0
college_park_center,college_park_center,0.0,0.0,0,0.0
college_park_center,entertainment_sports_arena,1932.616,1200.872,-474,1.0
college_park_center,mohegan_sun_arena,2411.527,1498.453,-564,1.0
college_park_center,target_center,1401.484,870.842,226,0.0
college_park_center,gainbridge_fieldhouse,1253.899,779.137,111,1.0
college_park_center,moda_center,2606.42,1619.554,-554,-2.0
college_park_center,climate_pledge_arena,2688.837,1670.765,-429,-2.0
college_park_center,wintrust_arena,1314.955,817.075,-9,0.0
college_park_center,gateway_center_arena,1181.811,734.343,406,1.0
college_park_center,chase_center,2355.047,1463.358,-584,-2.0
college_park_center,coca_cola_coliseum,1957.826,1216.536,-354,1.0
entertainment_sports_arena,barclays_center,328.127,203.889,-100,0.0
entertainment_sports_arena,footprint_center,3185.847,1979.593,960,-3.0
entertainment_sports_arena,michelob_ultra_arena,3358.665,2086.977,1900,-3.0
entertainment_sports_arena,crypto_com_arena,3698.184,2297.944,155,-3.0
entertainment_sports_arena,college_park_center,1932.616,1200.872,474,-1.0
entertainment_sports_arena,entertainment_sports_arena,0.0,0.0,0,0.0
entertainment_sports_arena,mohegan_sun_arena,509.019,316.29,-90,0.0
entertainment_sports_arena,target_center,1505.07,935.207,700,-1.0
entertainment_sports_arena,gainbridge_fieldhouse,793.846,493.273,585,0.0
entertainment_sports_arena,moda_center,3781.737,2349.862,-80,-3.0
entertainment_sports_arena,climate_pledge_arena,3743.281,2325.967,45,-3.0
entertainment_sports_arena,wintrust_arena,958.672,595.691,465,-1.0
entertainment_sports_arena,gateway_center_arena,883.451,548.951,880,0.0
entertainment_sports_arena,chase_center,3920.504,2436.088,-110,-3.0
entertainment_sports_arena,coca_cola_coliseum,567.959,352.913,120,0.0
mohegan_sun_arena,barclays_center,181.732,112.923,-10,0.0
mohegan_sun_arena,footprint_center,3605.796,2240.537,1050,-3.0
mohegan_sun_arena,michelob_ultra_arena,3742.956,2325.764,1990,-3.0
mohegan_sun_arena,crypto_com_arena,4092.671,2543.067,245,-3.0
mohegan_sun_arena,college_park_center,2411.527,1498.453,564,-1.0
mohegan_sun_arena,entertainment_sports_arena,509.019,316.29,90,0.0
mohegan_sun_arena,mohegan_sun_arena,0.0,0.0,0,0.0
mohegan_sun_arena,target_center,1754.057,1089.92,790,-1.0
mohegan_sun_arena,gainbridge_fieldhouse,1200.979,746.253,675,0.0
mohegan_sun_arena,moda_center,4035.412,2507.488,10,-3.0
mohegan_sun_arena,climate_pledge_arena,3968.914,2466.168,135,-3.0
mohegan_sun_arena,wintrust_arena,1288.627,800.715,555,-1.0
mohegan_sun_arena,gateway_center_arena,1392.261,865.11,970,0.0
mohegan_sun_arena,chase_center,4266.545,2651.107,-20,-3.0
mohegan_sun_arena,coca_cola_coliseum,645.457,401.068,210,0.0
target_center,barclays_center,1640.201,1019.174,-800,1.0
target_center,footprint_center,2056.905,1278.101,260,-2.0
target_center,michelob_ultra_arena,2088.722,1297.871,1200,-2.0
target_center,crypto_com_arena,2450.1,1522.421,-545,-2.0
target_center,college_park_center,1401.484,870.842,-226,0.0
target_center,entertainment_sports_arena,1505.07,935.207,-700,1.0
target_center,mohegan_sun_arena,1754.057,1089.92,-790,1.0
target_center,target_center,0.0,0.0,0,0.0
target_center,gainbridge_fieldhouse,823.081,511.439,-115,1.0
target_center,moda_center,2288.492,1422.003,-780,-2.0
target_center,climate_pledge_arena,2239.663,1391.662,-655,-2.0
target_center,wintrust_arena,573.853,356.576,-235,0.0
target_center,gateway_center_arena,1468.488,912.476,180,1.0
target_center,chase_center,2542.004,1579.527,-810,-2.0
target_center,coca_cola_coliseum,1111.346,690.558,-580,1.0
gainbridge_fieldhouse,barclays_center,1038.259,645.144,-685,0.0
gainbridge_fieldhouse,footprint_center,2407.878,1496.186,375,-3.0
gainbridge_fieldhouse,michelob_ultra_arena,2566.486,1594.74,1315,-3.0
gainbridge_fieldhouse,crypto_com_arena,2908.75,1807.413,-430,-3.0
gainbridge_fieldhouse,college_park_center,1253.899,779.137,-111,-1.0
gainbridge_fieldhouse,entertainment_sports_arena,793.846,493.273,-585,0.0
gainbridge_fieldhouse,mohegan_sun_arena,1200.979,746.253,-675,0.0
gainbridge_fieldhouse,target_center,823.081,511.439,115,-1.0
gainbridge_fieldhouse,gainbridge_fieldhouse,0.0,0.0,0,0.0
gainbridge_fieldhouse,moda_center,3026.74,1880.728,-665,-3.0
gainbridge_fieldhouse,climate_pledge_arena,3007.933,1869.043,-540,-3.0
gainbridge_fieldhouse,wintrust_arena,262.963,163.398,-120,-1.0
gainbridge_fieldhouse,gateway_center_arena,696.153,432.569,295,0.0
gainbridge_fieldhouse,chase_center,3127.755,1943.496,-695,-3.0
gainbridge_fieldhouse,coca_cola_coliseum,705.398,438.314,-465,0.0
moda_center,barclays_center,3928.144,2440.835,-20,3.0
moda_center,footprint_center,1619.417,1006.259,1040,0.0
moda_center,michelob_ultra_arena,1223.231,760.08,1980,0.0
moda_center,crypto_com_arena,1331.077,827.093,235,0.0
moda_center,college_park_center,2606.42,1619.554,554,2.0
moda_center,entertainment_sports_arena,3781.737,2349.862,80,3.0
moda_center,mohegan_sun_arena,4035.412,2507.488,-10,3.0
moda_center,target_center,2288.492,1422.003,780,2.0
moda_center,gainbridge_fieldhouse,3026.74,1880.728,665,3.0
moda_center,moda_center,0.0,0.0,0,0.0
moda_center,climate_pledge_arena,233.679,145.201,125,0.0
moda_center,wintrust_arena,2824.455,1755.034,545,2.0
moda_center,gateway_center_arena,3490.886,2169.135,960,3.0
moda_center,chase_center,863.584,536.606,-30,0.0
moda_center,coca_cola_coliseum,3389.96,2106.423,200,3.0
climate_pledge_arena,barclays_center,3870.769,2405.184,-145,3.0
climate_pledge_arena,footprint_center,1796.338,1116.192,915,0.0
climate_pledge_arena,michelob_ultra_arena,1411.824,877.266,1855,0.0
climate_pledge_arena,crypto_com_arena,1547.993,961.878,110,0.0
climate_pledge_arena,college_park_center,2688.837,1670.765,429,2.0
climate_pledge_arena,entertainment_sports_arena,3743.281,2325.967,-45,3.0
climate_pledge_arena,mohegan_sun_arena,3968.914,2466.168,-135,3.0
climate_pledge_arena,target_center,2239.663,1391.662,655,2.0
climate_pledge_arena,gainbridge_fieldhouse,3007.933,1869.043,540,3.0
climate_pledge_arena,moda_center,233.679,145.201,-125,0.0
climate_pledge_arena,climate_pledge_arena,0.0,0.0,0,0.0
climate_pledge_arena,wintrust_arena,2792.466,1735.158,420,2.0
climate_pledge_arena,gateway_center_arena,3509.708,2180.83,835,3.0
climate_pledge_arena,chase_center,1095.731,680.855,-155,0.0
climate_pledge_arena,coca_cola_coliseum,3324.642,2065.836,75,3.0
wintrust_arena,barclays_center,1146.465,712.38,-565,1.0
wintrust_arena,footprint_center,2336.373,1451.754,495,-2.0
wintrust_arena,michelob_ultra_arena,2455.216,1525.6,1435,-2.0
wintrust_arena,crypto_com_arena,2806.859,1744.101,-310,-2.0
wintrust_arena,college_park_center,1314.955,817.075,9,0.0
wintrust_arena,entertainment_sports_arena,958.672,595.691,-465,1.0
wintrust_arena,mohegan_sun_arena,1288.627,800.715,-555,1.0
wintrust_arena,target_center,573.853,356.576,235,0.0
wintrust_arena,gainbridge_fieldhouse,262.963,163.398,120,1.0
wintrust_arena,moda_center,2824.455,1755.034,-545,-2.0
wintrust_arena,climate_pledge_arena,2792.466,1735.158,-420,-2.0
wintrust_arena,wintrust_arena,0.0,0.0,0,0.0
wintrust_arena,gateway_center_arena,953.166,592.27,415,1.0
wintrust_arena,chase_center,2983.557,1853.896,-575,-2.0
wintrust_arena,coca_cola_coliseum,698.033,433.738,-345,1.0
gateway_center_arena,barclays_center,1211.573,752.836,-980,0.0
gateway_center_arena,footprint_center,2552.291,1585.919,80,-3.0
gateway_center_arena,michelob_ultra_arena,2804.728,1742.777,1020,-3.0
gateway_center_arena,crypto_com_arena,3109.091,1931.899,-725,-3.0
gateway_center_arena,college_park_center,1181.811,734.343,-406,-1.0
gateway_center_arena,entertainment_sports_arena,883.451,548.951,-880,0.0
gateway_center_arena,mohegan_sun_arena,1392.261,865.11,-970,0.0
gateway_center_arena,target_center,1468.488,912.476,-180,-1.0
gateway_center_arena,gainbridge_fieldhouse,696.153,432.569,-295,0.0
gateway_center_arena,moda_center,3490.886,2169.135,-960,-3.0
gateway_center_arena,climate_pledge_arena,3509.708,2180.83,-835,-3.0
gateway_center_arena,wintrust_arena,953.166,592.27,-415,-1.0
gateway_center_arena,gateway_center_arena,0.0,0.0,0,0.0
gateway_center_arena,chase_center,3432.293,2132.727,-990,-3.0
gateway_center_arena,coca_cola_coliseum,1192.058,740.71,-760,0.0
chase_center,barclays_center,4129.907,2566.204,10,3.0
chase_center,footprint_center,1048.337,651.406,1070,0.0
chase_center,michelob_ultra_arena,667.347,414.67,2010,0.0
chase_center,crypto_com_arena,556.004,345.485,265,0.0
chase_center,college_park_center,2355.047,1463.358,584,2.0
chase_center,entertainment_sports_arena,3920.504,2436.088,110,3.0
chase_center,mohegan_sun_arena,4266.545,2651.107,20,3.0
