absence_game_id,absent_player_id,absent_player_name,top_absorber_id,top_absorber_name,delta_usage,season
1022200036,1631019,NaLyssa Smith,1631083,Emily Engstler,0.0874516129032257,2022
1022200041,1631019,NaLyssa Smith,1629501,Alanna Smith,0.1536,2022
1022200044,1630454,Charli Collier,1630386,Awak Kuier,0.0786428571428571,2022
1022200048,203399,Elena Delle Donne,1631022,Shakira Austin,0.1514,2022
1022200052,203403,Tianna Hawkins,203399,Elena Delle Donne,0.0475333333333333,2022
1022200053,1628922,Azurá Stevens,1630389,Dana Evans,0.20690625,2022
1022200059,203403,Tianna Hawkins,204333,Natasha Cloud,0.1511304347826087,2022
1022200061,202250,Tina Charles,100940,Diana Taurasi,0.0814375,2022
1022200062,1629479,Teaira McCowan,1630454,Charli Collier,0.2059333333333333,2022
1022200064,1628242,Emma Cannon,203829,Bria Hartley,0.079375,2022
1022200065,203399,Elena Delle Donne,1628899,Myisha Hines-Allen,0.0775217391304347,2022
1022200072,1629574,Li Yueru,1630113,Ruthy Hebard,0.1735454545454545,2022
1022200075,1629479,Teaira McCowan,1631029,Jasmine Dickey,0.0842941176470588,2022
1022200076,201480,Sylvia Fowles,1631263,Nikolina Milić,0.1343599999999999,2022
1022200082,201480,Sylvia Fowles,1631263,Nikolina Milić,0.0823599999999999,2022
1022200084,201480,Sylvia Fowles,1627671,Rachel Banham,0.0597333333333333,2022
1022200085,1630454,Charli Collier,1629497,Marina Mabrey,0.0656874999999999,2022
1022200088,203399,Elena Delle Donne,1630957,Rui Machida,0.11352,2022
1022200090,1630454,Charli Collier,1630112,Tyasha Harris,0.1249999999999999,2022
1022200091,201496,Candace Parker,1629574,Li Yueru,0.2726923076923077,2022
1022200093,201496,Candace Parker,1630389,Dana Evans,0.1279655172413793,2022
1022200098,1629574,Li Yueru,202664,Courtney Vandersloot,0.0664285714285714,2022
1022200099,201480,Sylvia Fowles,1629524,Bridget Carleton,0.0785666666666666,2022
1022200101,1629566,Han Xu,1630446,Michaela Onyenwere,0.0826333333333333,2022
1022200105,1630150,Chennedy Carter,1628886,Jordin Canada,0.0591428571428571,2022
1022200107,1630454,Charli Collier,1629497,Marina Mabrey,0.0576874999999999,2022
1022200108,1630150,Chennedy Carter,1628882,Lexie Brown,0.0933636363636363,2022
1022200109,203403,Tianna Hawkins,204322,Elizabeth Williams,0.06835,2022
1022200111,1629574,Li Yueru,202664,Courtney Vandersloot,0.0734285714285714,2022
1022200120,1630454,Charli Collier,1630149,Satou Sabally,0.0836666666666667,2022
1022200122,1628927,Victoria Vivians,1628242,Emma Cannon,0.1040454545454545,2022
1022200124,203399,Elena Delle Donne,204322,Elizabeth Williams,0.0605499999999999,2022
1022200127,1630150,Chennedy Carter,1629478,Katie Lou Samuelson,0.06925,2022
1022200130,1630454,Charli Collier,1630386,Awak Kuier,0.0366428571428571,2022
1022200131,1629574,Li Yueru,201516,Allie Quigley,0.1107499999999999,2022
1022200136,1628279,Brittney Sykes,1630444,Jasmine Walker,0.0773571428571428,2022
1022200137,1630454,Charli Collier,1630386,Awak Kuier,0.0606428571428571,2022
1022200141,203403,Tianna Hawkins,1628899,Myisha Hines-Allen,0.0414782608695651,2022
1022200144,1630454,Charli Collier,1629481,Arike Ogunbowale,0.0829999999999999,2022
1022200145,203403,Tianna Hawkins,1630957,Rui Machida,0.12748,2022
1022200146,202633,Liz Cambage,1628279,Brittney Sykes,0.0677142857142857,2022
1022200149,1630454,Charli Collier,1630386,Awak Kuier,0.0526428571428571,2022
1022200150,1627673,Jonquel Jones,1630115,Joyner Holmes,0.048695652173913,2022
1022200152,1628890,Diamond DeShields,100940,Diana Taurasi,0.15208,2022
1022200153,202650,Jantel Lavender,204319,Jewell Loyd,0.0783703703703703,2022
1022200154,1627673,Jonquel Jones,1630096,DiJonai Carrington,0.0796363636363636,2022
1022200157,202650,Jantel Lavender,1627668,Breanna Stewart,0.05292,2022
1022200158,203403,Tianna Hawkins,1628899,Myisha Hines-Allen,0.0434782608695651,2022
1022200161,1627673,Jonquel Jones,1627675,Courtney Williams,0.1418709677419355,2022
1022200162,202664,Courtney Vandersloot,1629574,Li Yueru,0.0904999999999999,2022
1022200163,1628890,Diamond DeShields,203400,Skylar Diggins-Smith,0.0645,2022
1022200164,202664,Courtney Vandersloot,203822,Rebekah Gardner,0.0838064516129032,2022
1022200167,1629476,Asia (AD) Durr,1628929,Kristy Wallace,0.1528333333333333,2022
1022200168,201480,Sylvia Fowles,1628263,Lindsay Allen,0.0809999999999999,2022
1022200172,1628890,Diamond DeShields,100940,Diana Taurasi,0.1090799999999999,2022
1022200174,201496,Candace Parker,201516,Allie Quigley,0.1133999999999999,2022
1022200175,203403,Tianna Hawkins,1631022,Shakira Austin,0.065,2022
1022200176,1630454,Charli Collier,204330,Isabelle Harrison,0.2103749999999999,2022
1022200177,1629574,Li Yueru,1627700,Julie Allemand,0.1091538461538461,2022
1022200178,1628890,Diamond DeShields,1629482,Sophie Cunningham,0.0762272727272727,2022
1022200179,1628909,Kelsey Mitchell,202658,Danielle Robinson,0.2259285714285714,2022
1022200180,203403,Tianna Hawkins,1630957,Rui Machida,0.11748,2022
