absence_game_id,n_playing,n_gainers,total_pos_delta,top1_share,top2_share,hhi,even_split_top1_baseline
1022100004,19.0,10.0,0.4527125211028935,0.27325482858651695,0.4572252522072609,0.17139386036899437,0.1
1022100006,9.0,5.0,0.1313352130325811,0.4206792582450352,0.6939855255687923,0.293936740928147,0.2
1022100012,10.0,6.0,0.4558468904284119,0.3326095906381059,0.662490090335439,0.24837683181052536,0.16666666666666666
1022100020,12.0,8.0,0.36195706286467144,0.22825648701303897,0.45307597072739464,0.16991427921582478,0.125
1022100025,12.0,8.0,0.357085813244726,0.2700605261587493,0.531040672206834,0.18694213158094514,0.125
1022100030,12.0,6.0,0.155450569358178,0.2914604462033045,0.5392674454924212,0.20027845363513694,0.16666666666666666
1022100032,7.0,3.0,0.1238038197500439,0.6609334600638821,0.9245083563251651,0.5120037528358896,0.3333333333333333
1022100034,9.0,3.0,0.1280916666666666,0.49622666059462645,0.8011840478823763,0.37876768956270246,0.3333333333333333
1022100035,12.0,6.0,0.3101276314265443,0.21744203281244212,0.42442877371338006,0.1771005441449942,0.16666666666666666
1022100036,8.0,4.0,0.2003045788593556,0.551528501443273,0.8376552606335466,0.403792479718534,0.25
1022100038,8.0,6.0,0.1792823116528777,0.2556085234177988,0.5045543259115944,0.19420975044953878,0.16666666666666666
1022100039,23.0,13.0,0.5906027446828531,0.15418570404527923,0.2954562676514459,0.11505736801069459,0.07692307692307693
1022100043,17.0,11.0,0.38859627093920535,0.2536602534378146,0.4828505639488834,0.16420519949821277,0.09090909090909091
1022100046,10.0,5.0,0.25818189412926235,0.4494800824008137,0.6940222639867677,0.3021739138081527,0.2
1022100055,8.0,4.0,0.09015833333333312,0.4332655513448562,0.7611609206026443,0.3283058749186606,0.25
1022100058,9.0,4.0,0.1603583333333331,0.5709868523618987,0.7834017564828775,0.3987481722888087,0.25
1022100060,8.0,4.0,0.21189953102453088,0.7070246030928584,0.8624216975053013,0.5352089038150827,0.25
1022100064,18.0,9.0,0.42183306617295707,0.2698697876693339,0.48455779404498434,0.18294011067643,0.1111111111111111
1022100067,9.0,4.0,0.2573162545787543,0.5067416256167719,0.7864234000327774,0.3591761066011665,0.25
1022100069,10.0,4.0,0.16455491000227818,0.3654486130832015,0.7051208649858117,0.2928339021719465,0.25
1022100071,7.0,3.0,0.2463787878787877,0.44037882049074467,0.7733841707152082,0.35618080289737103,0.3333333333333333
1022100075,7.0,4.0,0.11545021645021632,0.5073306085717499,0.89133450823053,0.41149180320582995,0.25
1022100079,8.0,5.0,0.34058712121212104,0.5954178946783074,0.8019240393705167,0.4210892459374125,0.2
1022100081,16.0,8.0,0.5546156604833072,0.43462101094939065,0.5913862280885508,0.25145419055153806,0.125
1022100092,10.0,4.0,0.188548872180451,0.4189895123021098,0.7970650396777924,0.34572992155091864,0.25
1022100093,6.0,4.0,0.1709912016088485,0.41297671430440647,0.7507993937104074,0.31590813096441445,0.25
1022100101,9.0,3.0,0.1306974789915965,0.6678454317495017,0.920336912492767,0.5161156760677902,0.3333333333333333
1022100109,10.0,6.0,0.1495570745044426,0.49797838532859295,0.6922026916268292,0.31336173217695845,0.16666666666666666
1022100110,17.0,6.0,0.29092258721670455,0.3448798331309912,0.6075330888885586,0.22705793031624225,0.16666666666666666
1022100112,8.0,4.0,0.2421583333333332,0.4297463780584328,0.727330603255446,0.34223952142912667,0.25
1022100114,7.0,3.0,0.1887948717948717,0.6930598940649193,0.9346733668341709,0.5429766559856779,0.3333333333333333
1022100118,7.0,3.0,0.1345666666666665,0.6581310378994311,0.8731731483775085,0.49546462261792146,0.3333333333333333
1022100120,9.0,3.0,0.21928917378917373,0.4992562085474303,0.9247568873789308,0.4359691154561298,0.3333333333333333
1022100126,8.0,3.0,0.137116883116883,0.386863042242849,0.7114036749384355,0.33827747456288415,0.3333333333333333
1022100127,9.0,6.0,0.12157794117647029,0.3629359041041219,0.6475270039795347,0.2631963258294019,0.16666666666666666
1022100131,10.0,5.0,0.24550395639786918,0.5518505015940236,0.7677329695494769,0.3778296553679645,0.2
1022100132,8.0,4.0,0.18080627705627678,0.45377547661090045,0.7464459940741632,0.34905028507918856,0.25
1022100138,18.0,6.0,0.41846098466750614,0.3115812947011399,0.5492014940793516,0.21164127119213996,0.16666666666666666
1022100140,9.0,5.0,0.22012633857370673,0.3186186809393518,0.5861683854577187,0.2470382244324584,0.2
1022100141,18.0,7.0,0.5079258723732404,0.4332278212556199,0.5363549806109935,0.24163915769973793,0.14285714285714285
1022100142,9.0,5.0,0.1889231225296441,0.4598143628700638,0.7783244120253029,0.33491611563381696,0.2
1022100147,8.0,5.0,0.23240151515151503,0.4615835968315028,0.7921895882909024,0.3381021783150638,0.2
1022100149,9.0,5.0,0.1742931623931622,0.35075003800454113,0.6956351171765819,0.275839478532423,0.2
1022100150,9.0,6.0,0.1300267714741396,0.4002838681414966,0.7416055196583076,0.31635356632856215,0.16666666666666666
1022100156,10.0,6.0,0.43150438329786117,0.4110841563854273,0.6052252370216814,0.26829383066828627,0.16666666666666666
1022100157,17.0,6.0,0.373506144393241,0.27844254120356576,0.555244136909964,0.20743046273721033,0.16666666666666666
1022100160,8.0,2.0,0.22312499999999988,0.9058823529411765,1.0,0.8294809688581315,0.5
1022100162,8.0,2.0,0.2170311004784689,0.599620807107662,1.0,0.519848610417564,0.5
1022100164,17.0,10.0,0.48530808080808047,0.2809836509142376,0.44445369493500964,0.15387965109945523,0.1
1022100165,17.0,10.0,0.43515161327231067,0.317614647631559,0.48737057398995437,0.18537822498369527,0.1
1022100166,7.0,4.0,0.1755333054626531,0.3659178471087078,0.6009779085395914,0.26962120696306885,0.25
1022100169,9.0,6.0,0.3454234360410828,0.48567841199518347,0.767113530667107,0.33658214115010454,0.16666666666666666
1022100171,17.0,8.0,0.39644035315561615,0.2767629458672468,0.46846896013912753,0.16342835512332937,0.125
1022100174,8.0,4.0,0.0903630952380952,0.4758579803701998,0.687504116988341,0.32421741662636777,0.25
1022100176,15.0,7.0,0.2724291666666664,0.2843552605417311,0.4534512029120719,0.1798902605923482,0.14285714285714285
1022100177,17.0,14.0,0.3398190448575531,0.1930891914633259,0.36423910457187364,0.10554376330639906,0.07142857142857142
1022100178,8.0,6.0,0.2947743506493504,0.4626034662216863,0.7038897241451473,0.3116351478959355,0.16666666666666666
1022100180,16.0,10.0,0.5929725431225117,0.260190317536908,0.3694107302415349,0.13475831395764612,0.1
1022100181,7.0,5.0,0.2789986772486771,0.5748235137941337,0.8715692456488863,0.42437670618497547,0.2
1022100183,8.0,5.0,0.18314605056069216,0.4107692685725632,0.7139666981360474,0.3130566321251897,0.2
1022100184,15.0,7.0,0.4213087421837418,0.287200306769873,0.5278195720491775,0.1895418095047161,0.14285714285714285
1022100186,9.0,8.0,0.40113574561403476,0.27571713867259595,0.4961329645704444,0.19015798784799945,0.125
1022100187,17.0,9.0,0.42739209742351003,0.3825093689542061,0.5843848844822896,0.225593625449441,0.1111111111111111
1022100188,7.0,4.0,0.317290281329923,0.49744143650342676,0.7850672319822456,0.3682236073974403,0.25
1022100190,8.0,3.0,0.0800757575757573,0.44228949858089006,0.7388836329233686,0.35176983823659747,0.3333333333333333
1022100192,6.0,3.0,0.210595238095238,0.8137648388920298,0.9914923685698137,0.6938726676148907,0.3333333333333333
1022200005,8.0,4.0,0.32316452252944167,0.3524176725757792,0.6689304923776359,0.2815768247160704,0.25
