event_key,top1_share,n_gainers,event_key_parts,player_id,team_id,season,game_id,is_starter_type,pos_simple,co_absent_count
100940_1611661317_2021_1022100034,0.47419804044809355,3.0,"['100940', '1611661317', '2021', '1022100034']",100940,1611661317,2021,1022100034,True,G,1
100940_1611661317_2021_1022100039,0.5935064899736722,5.0,"['100940', '1611661317', '2021', '1022100039']",100940,1611661317,2021,1022100039,True,G,1
100940_1611661317_2021_1022100043,0.48000819164665937,5.0,"['100940', '1611661317', '2021', '1022100043']",100940,1611661317,2021,1022100043,True,G,1
100940_1611661317_2021_1022100055,0.4013367547651142,4.0,"['100940', '1611661317', '2021', '1022100055']",100940,1611661317,2021,1022100055,True,G,1
100940_1611661317_2021_1022100058,0.5436298402934224,4.0,"['100940', '1611661317', '2021', '1022100058']",100940,1611661317,2021,1022100058,True,G,1
100940_1611661317_2021_1022100064,0.3468700000368133,4.0,"['100940', '1611661317', '2021', '1022100064']",100940,1611661317,2021,1022100064,True,G,1
100940_1611661317_2021_1022100112,0.4681451103716004,4.0,"['100940', '1611661317', '2021', '1022100112']",100940,1611661317,2021,1022100112,True,G,1
100940_1611661317_2021_1022100118,0.6765519649143248,3.0,"['100940', '1611661317', '2021', '1022100118']",100940,1611661317,2021,1022100118,True,G,1
100940_1611661317_2021_1022100176,0.47983248078588664,5.0,"['100940', '1611661317', '2021', '1022100176']",100940,1611661317,2021,1022100176,True,G,1
100940_1611661317_2021_1022100187,0.4268801867784507,6.0,"['100940', '1611661317', '2021', '1022100187']",100940,1611661317,2021,1022100187,True,G,1
100940_1611661317_2022_1022200189,0.32429280433835156,6.0,"['100940', '1611661317', '2022', '1022200189']",100940,1611661317,2022,1022200189,True,G,1
100940_1611661317_2022_1022200194,0.33017345228084005,5.0,"['100940', '1611661317', '2022', '1022200194']",100940,1611661317,2022,1022200194,True,G,2
100940_1611661317_2022_1022200204,0.4598468770513615,5.0,"['100940', '1611661317', '2022', '1022200204']",100940,1611661317,2022,1022200204,True,G,2
100940_1611661317_2022_1022200210,0.3297753381681655,6.0,"['100940', '1611661317', '2022', '1022200210']",100940,1611661317,2022,1022200210,True,G,2
100940_1611661317_2022_1022200214,0.39214529840581525,6.0,"['100940', '1611661317', '2022', '1022200214']",100940,1611661317,2022,1022200214,True,G,2
100940_1611661317_2023_1022300062,0.29152289660667907,6.0,"['100940', '1611661317', '2023', '1022300062']",100940,1611661317,2023,1022300062,True,G,2
100940_1611661317_2023_1022300106,0.3920978805090068,5.0,"['100940', '1611661317', '2023', '1022300106']",100940,1611661317,2023,1022300106,True,G,1
100940_1611661317_2023_1022300126,0.48337380218893305,5.0,"['100940', '1611661317', '2023', '1022300126']",100940,1611661317,2023,1022300126,True,G,1
