player_id,team_id,season,event_gid,n_gainers,top1_share,even_split_baseline
1628242,1611661325,2022,1022200186,4,0.4692833603856181,0.25
1628276,1611661319,2024,1022400146,3,0.5554655870445343,0.3333333333333333
203827,1611661321,2024,1022400186,3,0.41191860465116287,0.3333333333333333
1628878,1611661322,2021,1022100016,6,0.3327740492170022,0.16666666666666666
1628277,1611661330,2024,1022400085,3,0.7788751367563987,0.3333333333333333
1628932,1611661319,2022,1022200165,2,0.9333096121587962,0.5
1641660,1611661320,2023,1022300205,5,0.8866244087563732,0.2
1630096,1611661323,2024,1022400099,4,0.36720014133745343,0.25
204319,1611661328,2024,1022400184,3,0.4605246082540587,0.3333333333333333
1629497,1611661321,2021,1022100159,4,0.624158952148387,0.25
1627668,1611661328,2021,1022100057,4,0.579484691563749,0.25
1627674,1611661329,2022,1022200195,5,0.40936648253837293,0.2
203403,1611661322,2022,1022200048,4,0.559283059488313,0.25
1629477,1611661313,2021,1022100042,7,0.24305409846948015,0.14285714285714285
1629481,1611661321,2024,1022400163,6,0.31291482052085023,0.16666666666666666
1629566,1611661313,2022,1022200154,5,0.3137403757176098,0.2
1627668,1611661328,2022,1022200046,2,0.760869565217391,0.5
1642288,1611661320,2024,1022400205,5,0.5152952173299435,0.2
1630096,1611661323,2021,1022100022,3,0.685356298048492,0.3333333333333333
1641660,1611661320,2024,1022400193,6,0.3187143848371795,0.16666666666666666
204325,1611661330,2021,1022100002,4,0.36280125058589013,0.25
201480,1611661324,2022,1022200169,5,0.4600871065957211,0.2
1629483,1611661324,2023,1022300196,5,0.41852744128238084,0.2
100940,1611661317,2024,1022400194,5,0.27477670093094037,0.2
1631019,1611661325,2022,1022200147,4,0.6343522567970218,0.25
204323,1611661330,2022,1022200106,2,0.7963206307490144,0.5
203824,1611661320,2024,1022400214,5,0.3382322755449731,0.2
1628242,1611661325,2023,1022300088,5,0.4963905206608762,0.2
1627675,1611661330,2021,1022100146,6,0.42775547716487283,0.16666666666666666
203406,1611661324,2021,1022100100,5,0.3367840569184751,0.2
204319,1611661328,2023,1022300113,5,0.5118990646073527,0.2
201496,1611661329,2022,1022200116,5,0.41213474083186075,0.2
204297,1611661319,2023,1022300163,5,0.378705998744721,0.2
1627673,1611661323,2022,1022200019,5,0.33180912375865124,0.2
1629497,1611661321,2022,1022200030,4,0.41043405841759073,0.25
1628932,1611661319,2021,1022100038,6,0.32838516007125085,0.16666666666666666
1628280,1611661323,2022,1022200036,4,0.3382217321259816,0.25
1628276,1611661319,2023,1022300111,5,0.39859084131164685,0.2
1631009,1611661330,2024,1022400187,6,0.2581666408759355,0.16666666666666666
1630462,1611661330,2022,1022200148,5,0.4042072149166144,0.2
1628279,1611661322,2024,1022400181,6,0.47738046864418254,0.16666666666666666
201516,1611661329,2021,1022100165,4,0.6973868224077121,0.25
1631263,1611661324,2022,1022200111,4,0.752519634610847,0.25
1628932,1611661319,2024,1022400027,5,0.4161507846693506,0.2
202250,1611661322,2021,1022100140,4,0.4935989552694546,0.25
1627668,1611661313,2023,1022300136,5,0.41023745231096703,0.2
1630149,1611661321,2023,1022300149,3,0.7632615407229136,0.3333333333333333
202633,1611661320,2022,1022200100,6,0.3302960679904401,0.16666666666666666
1627674,1611661329,2021,1022100094,6,0.33896234869479513,0.16666666666666666
1630150,1611661329,2024,1022400022,3,0.49023623583072634,0.3333333333333333
1630096,1611661323,2023,1022300121,3,0.6269430051813472,0.3333333333333333
1631009,1611661330,2023,1022300193,5,0.3140491647681013,0.2
1627669,1611661317,2023,1022300084,5,0.5481265169130068,0.2
204330,1611661321,2022,1022200130,4,0.3123209979562829,0.25
1628922,1611661320,2023,1022300044,4,0.4211347513991082,0.25
204323,1611661330,2023,1022300090,5,0.5054543277105209,0.2
1642286,1611661325,2024,1022400096,4,0.46580453167908403,0.25
204365,1611661320,2021,1022100191,2,0.9824345687686635,0.5
204320,1611661320,2021,1022100060,3,0.904664009952137,0.3333333333333333
1628279,1611661322,2023,1022300071,5,0.6475485235948856,0.2
203014,1611661320,2022,1022200095,6,0.3798153377358604,0.16666666666666666
204335,1611661313,2021,1022100185,3,0.4715186301191528,0.3333333333333333
1641649,1611661324,2023,1022300211,2,0.9317919882652884,0.5
1629497,1611661323,2024,1022400154,6,0.5382875726594769,0.16666666666666666
203827,1611661313,2022,1022200057,6,0.36806390029142233,0.16666666666666666
1631022,1611661322,2023,1022300194,4,0.6735201793721973,0.25
100940,1611661317,2022,1022200014,5,0.865658070079172,0.2
204324,1611661320,2024,1022400211,4,0.32890492880912114,0.25
1630454,1611661321,2022,1022200039,4,0.4762055375103482,0.25
1629497,1611661329,2023,1022300220,5,0.4346546306371052,0.2
1631009,1611661330,2022,1022200060,4,0.5039025928596218,0.25
1628909,1611661325,2021,1022100069,5,0.7272120508279853,0.2
1628890,1611661329,2021,1022100127,4,0.5427781217727736,0.25
1629477,1611661313,2022,1022200023,5,0.2622718085036417,0.2
1628279,1611661320,2022,1022200113,4,0.4794995518089752,0.25
1627674,1611661329,2023,1022300126,6,0.30476112502334196,0.16666666666666666
1629481,1611661321,2022,1022200144,4,0.4683224789769478,0.25
1642291,1611661329,2024,1022400205,1,1.0,1.0
203014,1611661320,2021,1022100152,3,0.5046033408677435,0.3333333333333333
1627674,1611661317,2024,1022400093,3,0.5238277511961723,0.3333333333333333
1628909,1611661325,2024,1022400089,4,0.38902771913225953,0.25
202250,1611661328,2022,1022200157,3,0.4759713701431492,0.3333333333333333
1628280,1611661323,2024,1022400195,3,0.6272136262294203,0.3333333333333333
1628899,1611661322,2023,1022300103,4,0.7386701382918622,0.25
