player_id,player_name,team_id,season,baseline_usage,games_played,start_rate,is_starter_type
100940,Diana Taurasi,1611661317,2021,0.26966549341306717,16,1.0,True
100940,Diana Taurasi,1611661317,2022,0.25939662745080466,31,1.0,True
100940,Diana Taurasi,1611661317,2023,0.2864596716651084,26,1.0,True
100940,Diana Taurasi,1611661317,2024,0.24289390379021747,36,1.0,True
201480,Sylvia Fowles,1611661324,2021,0.2162578920951005,31,1.0,True
201480,Sylvia Fowles,1611661324,2022,0.21842855229350977,30,1.0,True
201496,Candace Parker,1611661329,2021,0.24810104691401016,23,1.0,True
201496,Candace Parker,1611661329,2022,0.22824793336937682,32,1.0,True
201516,Allie Quigley,1611661329,2021,0.23335067444741792,26,0.4230769230769231,False
201886,DeWanna Bonner,1611661323,2021,0.24684646930449583,32,1.0,True
201886,DeWanna Bonner,1611661323,2023,0.2515511351948979,40,1.0,True
201886,DeWanna Bonner,1611661323,2024,0.22824191935468102,40,0.975,True
202250,Tina Charles,1611661317,2022,0.2600367974763784,16,1.0,True
202250,Tina Charles,1611661322,2021,0.3207677416797101,27,1.0,True
202250,Tina Charles,1611661328,2022,0.2459195336447632,18,0.5555555555555556,True
202250,Tina Charles,1611661330,2024,0.24975023937580387,39,1.0,True
202633,Liz Cambage,1611661319,2021,0.26333605153782824,25,0.96,True
202633,Liz Cambage,1611661320,2022,0.2603880645964235,25,0.96,True
202650,Jantel Lavender,1611661328,2022,0.21785844636273374,27,0.14814814814814814,False
202664,Courtney Vandersloot,1611661329,2022,0.21871518636178572,32,1.0,True
203014,Nneka Ogwumike,1611661320,2021,0.21625065436906085,18,1.0,True
203014,Nneka Ogwumike,1611661320,2022,0.2411277747491613,34,1.0,True
203014,Nneka Ogwumike,1611661320,2023,0.2721240671911379,36,1.0,True
203014,Nneka Ogwumike,1611661328,2024,0.22082566407757856,37,1.0,True
203026,Tiffany Hayes,1611661330,2021,0.21318913946568557,21,0.9047619047619048,True
203398,Brittney Griner,1611661317,2021,0.2622221000435425,30,1.0,True
203398,Brittney Griner,1611661317,2023,0.28522406726862765,31,1.0,True
203398,Brittney Griner,1611661317,2024,0.2599536161148388,30,1.0,True
203399,Elena Delle Donne,1611661322,2022,0.26557131651569454,25,1.0,True
203399,Elena Delle Donne,1611661322,2023,0.26381278319383833,23,1.0,True
203400,Skylar Diggins-Smith,1611661317,2021,0.26011070717723256,32,1.0,True
203400,Skylar Diggins-Smith,1611661317,2022,0.284870205479064,30,1.0,True
203400,Skylar Diggins-Smith,1611661328,2024,0.2365888800381856,40,1.0,True
203403,Tianna Hawkins,1611661322,2022,0.23874977647238002,25,0.0,False
203406,Layshia Clarendon,1611661324,2021,0.21634822351986596,21,0.9523809523809523,True
203824,Odyssey Sims,1611661320,2024,0.206837330037989,15,0.6666666666666666,True
203824,Odyssey Sims,1611661330,2021,0.20243242862159053,30,0.7,True
203825,Kayla McBride,1611661324,2022,0.20386223538391182,31,1.0,True
203825,Kayla McBride,1611661324,2023,0.20720617393748275,38,1.0,True
203825,Kayla McBride,1611661324,2024,0.20965362387398984,39,1.0,True
203826,Alyssa Thomas,1611661323,2022,0.20576022177796266,36,1.0,True
203826,Alyssa Thomas,1611661323,2023,0.23207906493024635,40,1.0,True
203827,Natasha Howard,1611661313,2022,0.2605354468402047,35,1.0,True
203827,Natasha Howard,1611661321,2023,0.232057954312121,39,1.0,True
203827,Natasha Howard,1611661321,2024,0.28183235821151653,27,0.9629629629629629,True
203833,Chelsea Gray,1611661319,2021,0.20783629371415738,32,1.0,True
203833,Chelsea Gray,1611661319,2022,0.21029781833082695,35,1.0,True
203833,Chelsea Gray,1611661319,2023,0.21161686218114503,40,1.0,True
204297,Cayla George,1611661319,2023,0.2402356106499267,32,0.0,False
204319,Jewell Loyd,1611661328,2021,0.27650089721578947,31,1.0,True
204319,Jewell Loyd,1611661328,2022,0.2641787674705926,36,1.0,True
204319,Jewell Loyd,1611661328,2023,0.3285090531561144,38,1.0,True
204319,Jewell Loyd,1611661328,2024,0.2868364631317144,37,1.0,True
204320,Amanda Zahui B,1611661320,2021,0.2094559194941504,30,0.9,True
204322,Elizabeth Williams,1611661322,2022,0.20069282121148693,30,0.0,False
204323,Cheyenne Parker-Tyus,1611661330,2022,0.21756293156056616,36,0.9722222222222222,True
204323,Cheyenne Parker-Tyus,1611661330,2023,0.2613048574550511,40,0.95,True
204323,Cheyenne Parker-Tyus,1611661330,2024,0.27113624309120743,25,0.44,False
204324,Dearica Hamby,1611661319,2021,0.20331503950540095,29,0.0,False
204324,Dearica Hamby,1611661320,2024,0.24148215025190978,40,1.0,True
204325,Crystal Bradford,1611661330,2021,0.24846883545576784,24,0.375,False
204330,Isabelle Harrison,1611661321,2021,0.20271826728870468,28,0.17857142857142858,False
204330,Isabelle Harrison,1611661321,2022,0.23921917581533678,35,0.5142857142857142,True
204330,Isabelle Harrison,1611661329,2024,0.2190841550120269,36,0.1388888888888889,False
204333,Natasha Cloud,1611661322,2023,0.2094991532453352,37,1.0,True
204334,Reshanda Gray,1611661313,2021,0.20096136847820378,15,0.0,False
204335,Betnijah Laney-Hamilton,1611661313,2021,0.2610433369536361,32,1.0,True
204365,Erica Wheeler,1611661320,2021,0.24984407521532268,32,1.0,True
204365,Erica Wheeler,1611661325,2023,0.20341986020461147,40,1.0,True
204365,Erica Wheeler,1611661330,2022,0.20002295773476142,30,1.0,True
1627668,Breanna Stewart,1611661313,2023,0.275712359868652,40,1.0,True
1627668,Breanna Stewart,1611661313,2024,0.27197941743608245,38,1.0,True
1627668,Breanna Stewart,1611661328,2021,0.27098415356563016,28,1.0,True
1627668,Breanna Stewart,1611661328,2022,0.29036728335914536,34,1.0,True
1627669,Moriah Jefferson,1611661317,2023,0.2182562513037076,39,0.9230769230769231,True
1627671,Rachel Banham,1611661324,2021,0.234183448230648,27,0.0,False
1627671,Rachel Banham,1611661324,2022,0.20095483535041755,36,0.1388888888888889,False
1627671,Rachel Banham,1611661324,2023,0.21531988767843163,32,0.03125,False
1627672,Aerial Powers,1611661324,2022,0.28272852457630504,35,0.8857142857142857,True
1627672,Aerial Powers,1611661324,2023,0.28129098069003344,20,0.0,False
1627672,Aerial Powers,1611661330,2024,0.256273361813114,17,0.11764705882352941,False
1627673,Jonquel Jones,1611661313,2023,0.20398432960265925,40,1.0,True
1627673,Jonquel Jones,1611661313,2024,0.2029931190753932,39,1.0,True
1627673,Jonquel Jones,1611661323,2021,0.27296547483090916,27,1.0,True
1627673,Jonquel Jones,1611661323,2022,0.24088636338369268,33,0.9696969696969697,True
1627674,Kahleah Copper,1611661317,2024,0.3158190047457959,37,1.0,True
1627674,Kahleah Copper,1611661329,2021,0.22151314119295173,32,1.0,True
1627674,Kahleah Copper,1611661329,2022,0.24751712364797515,31,1.0,True
1627674,Kahleah Copper,1611661329,2023,0.2808206950973238,38,1.0,True
1627675,Courtney Williams,1611661323,2022,0.21070188858255257,34,1.0,True
1627675,Courtney Williams,1611661324,2024,0.24275343717466186,40,1.0,True
