game_id,team_id,TEAM_ABBREVIATION,TEAM_CITY,player_id,player_name,NICKNAME,start_position,COMMENT,MIN,FGM,fga,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,fta,FT_PCT,OREB,DREB,REB,AST,STL,BLK,tov,PF,PTS,PLUS_MINUS,SEASON,minutes,season,tm_min,tm_fga,tm_fta,tm_tov,usage_percentage,tm_baseline_usage,n_control_games,delta_usage,event_key
1022100039,1611661317,PHO,Phoenix,203400,Skylar Diggins-Smith,Skylar,G,,35.000000:32,8.0,18.0,0.444,2.0,6.0,0.333,6.0,9.0,0.667,0.0,3.0,3.0,5.0,1.0,2.0,6.0,2.0,24.0,1.0,2021,35.53333333333333,2021,200.0,59.0,20.0,19.0,0.3626114247672077,0.25618023685678465,16,0.10643118791042305,100940_1611661317_2021_1022100039
1022100039,1611661317,PHO,Phoenix,201913,Kia Vaughn,Kia,,,16.000000:45,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,4.0,4.0,2021,16.75,2021,200.0,59.0,20.0,19.0,0.11004883417016302,0.1918949287659164,12,-0.08184609459575339,100940_1611661317_2021_1022100039
1022100039,1611661317,PHO,Phoenix,1629482,Sophie Cunningham,Sophie,,,3.000000:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,-1.0,2021,3.1333333333333333,2021,200.0,59.0,20.0,19.0,0.14707324247475245,0.14505573601409666,15,0.0020175064606557935,100940_1611661317_2021_1022100039
1022100039,1611661317,PHO,Phoenix,203035,Shey Peddy,Shey,,,19.000000:32,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,2.0,0.0,3.0,1.0,2.0,6.0,2021,19.533333333333335,2021,200.0,59.0,20.0,19.0,0.14155172142621222,0.13693777088846104,16,0.0046139505377511825,100940_1611661317_2021_1022100039
1022100039,1611661317,PHO,Phoenix,1629501,Alanna Smith,Alanna,,,3.000000:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,2021,3.55,2021,200.0,59.0,20.0,19.0,0.0,0.15192012813867978,13,-0.15192012813867978,100940_1611661317_2021_1022100039
1022100043,1611661317,PHO,Phoenix,1630136,Megan Walker,Megan,F,,32.000000:12,4.0,13.0,0.308,3.0,6.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,2.0,4.0,11.0,5.0,2021,32.2,2021,225.0,70.0,17.0,17.0,0.22187481921311025,0.19006444246368517,14,0.03181037674942508,100940_1611661317_2021_1022100043
1022100043,1611661317,PHO,Phoenix,1629488,Brianna Turner,Brianna,F,,39.000000:08,3.0,5.0,0.6,0.0,0.0,0.0,2.0,2.0,1.0,1.0,8.0,9.0,6.0,1.0,3.0,4.0,1.0,8.0,12.0,2021,39.13333333333333,2021,225.0,70.0,17.0,17.0,0.12024934835635782,0.13057651914230484,16,-0.010327170785947012,100940_1611661317_2021_1022100043
1022100043,1611661317,PHO,Phoenix,203398,Brittney Griner,Brittney,C,,38.000000:07,8.0,14.0,0.571,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.0,12.0,3.0,0.0,4.0,1.0,1.0,16.0,11.0,2021,38.11666666666667,2021,225.0,70.0,17.0,17.0,0.20392847397597952,0.2543594114453889,15,-0.05043093746940941,100940_1611661317_2021_1022100043
1022100043,1611661317,PHO,Phoenix,1628915,Kia Nurse,Kia,G,,40.000000:49,5.0,12.0,0.417,1.0,3.0,0.333,3.0,4.0,0.75,1.0,3.0,4.0,1.0,3.0,0.0,3.0,1.0,14.0,1.0,2021,40.81666666666667,2021,225.0,70.0,17.0,17.0,0.1955730950336915,0.1746010590333278,16,0.02097203600036371,100940_1611661317_2021_1022100043
1022100043,1611661317,PHO,Phoenix,203400,Skylar Diggins-Smith,Skylar,G,,38.000000:07,10.0,17.0,0.588,1.0,2.0,0.5,7.0,8.0,0.875,1.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,28.0,9.0,2021,38.11666666666667,2021,225.0,70.0,17.0,17.0,0.293896918377147,0.25618023685678465,16,0.03771668152036234,100940_1611661317_2021_1022100043
