threshold,price_basis,line_kind,scope,n_bets,roi
1.0,captured,main,all,18621,-0.062448506852166456
1.0,captured,main,regular,16986,-0.0678942910504681
1.0,captured,main,playoff,1635,-0.005872304777333732
1.0,captured,alternate,all,1089,-0.12914488426880727
1.0,captured,alternate,regular,1047,-0.13060126020589344
1.0,captured,alternate,playoff,42,-0.09283951269430193
1.0,synthetic110,main,all,19108,-0.035363579271889926
1.0,synthetic110,main,regular,17473,-0.04070175803707539
1.0,synthetic110,main,playoff,1635,0.021684737281067568
1.0,synthetic110,alternate,all,2058,-0.009276437847866411
1.0,synthetic110,alternate,regular,2016,-0.013257575757575751
1.0,synthetic110,alternate,playoff,42,0.1818181818181818
2.0,captured,main,all,10481,-0.08385745845754695
2.0,captured,main,regular,9684,-0.0891381561579292
2.0,captured,main,playoff,797,-0.019693999824546296
2.0,captured,alternate,all,705,-0.13827325915684383
2.0,captured,alternate,regular,673,-0.14580462364864452
2.0,captured,alternate,playoff,32,0.020120750311339412
2.0,synthetic110,main,all,10753,-0.05477541151306612
2.0,synthetic110,main,regular,9956,-0.059836005697797574
2.0,synthetic110,main,playoff,797,0.008440743697958247
2.0,synthetic110,alternate,all,1292,-0.009991556431184906
2.0,synthetic110,alternate,regular,1260,-0.019696969696969692
2.0,synthetic110,alternate,playoff,32,0.3721590909090909
3.0,captured,main,all,5299,-0.10931131395151275
3.0,captured,main,regular,4957,-0.11709303168743326
3.0,captured,main,playoff,342,0.0034780860980716533
3.0,captured,alternate,all,389,-0.12916644427425442
3.0,captured,alternate,regular,366,-0.1408182326976745
3.0,captured,alternate,playoff,23,0.056248971507126336
3.0,synthetic110,main,all,5442,-0.08053523103137214
3.0,synthetic110,main,regular,5100,-0.08850267379679143
3.0,synthetic110,main,playoff,342,0.03827751196172249
3.0,synthetic110,alternate,all,711,0.004219409282700422
3.0,synthetic110,alternate,regular,688,-0.012156448202959825
3.0,synthetic110,alternate,playoff,23,0.4940711462450591
