scope,group_dim,group_level,n,mae_projection,mae_line,mae_diff_proj_minus_line,mae_diff_ci90_low,mae_diff_ci90_high,rmse_projection,rmse_line,bias_projection,bias_line,share_projection_closer,share_tied,mean_actual_pts,mean_projection,mean_line,corr_projection_actual,corr_line_actual
all,book,betmgm,3272,5.281083141559832,4.9920537897310515,0.28902935182878015,0.23268759920923188,0.3438102297136829,6.663453194831818,6.262835231304934,0.224208923040509,0.09810513447432763,0.4495721271393643,0.0,14.29981662591687,14.52402554895738,14.397921760391197,0.4519254413817287,0.516832443347506
all,book,betonlineag,3979,5.227521444401691,4.9518723297310885,0.2756491146706031,0.22722285958990102,0.32979411596794955,6.594829542680301,6.207777714027021,0.1753836835615891,-0.10266398592611209,0.45363156572003016,0.0,13.663985926112089,13.839369609673678,13.561321940185977,0.49855668717811896,0.5590101897475787
all,book,betrivers,3611,5.3247355390216615,5.018692882857934,0.30604265616372756,0.24746585579264568,0.36687892598768684,6.746434920388606,6.347823478867307,0.07368155277569627,-0.18042093602880088,0.4477983937967322,0.0,14.327887011908059,14.401568564683755,14.147466075879258,0.47115022474827,0.5333404092381021
all,book,bovada,3369,5.292337515121979,5.003116651825468,0.2892208632965114,0.23566193188237908,0.34298775513038854,6.675400998694339,6.2883669517260765,0.16115610316904744,-0.01647373107747106,0.45443751855149894,0.0,14.460670822202434,14.621826925371481,14.444197091124963,0.4425853240549938,0.5062313093303805
all,book,draftkings,4122,5.432071581909341,5.101649684619117,0.3304218972902247,0.27819408424756764,0.3853546451389985,6.890108072599297,6.452538250851339,0.11212683431811787,-0.1698204754973314,0.45269286754002913,0.0,14.762493934983018,14.874620769301137,14.592673459485686,0.45692087298338374,0.5253328978438501
all,book,fanatics,1357,5.086695991951961,4.7932940309506264,0.2934019610013352,0.22247581632307406,0.3678040423861377,6.35524458119567,5.977065600347899,0.26048377100149694,-0.09764185703758291,0.45320560058953574,0.0,13.334561532792925,13.595045303794421,13.236919675755342,0.5032869492864174,0.5696804618331063
all,book,fanduel,5256,5.306266921860265,4.986301369863014,0.3199655519972527,0.27489393035352067,0.36677287372834344,6.719607507619826,6.292768432970448,0.12508458123201224,-0.15487062404870625,0.4482496194824962,0.0,14.205479452054794,14.330564033286805,14.050608828006089,0.46124605704133625,0.530527153811066
all,book,unibet_us,175,5.021582100013956,4.677142857142857,0.34443924287109895,0.05611385479511682,0.6584791420421053,6.525645604163064,5.967411499134277,1.1043488247219961,1.2542857142857142,0.4685714285714286,0.0,14.188571428571429,15.292920253293424,15.442857142857143,0.42540811120338023,0.5119143555401906
all,book,williamhill_us,5109,5.280618852989649,4.982481894695635,0.29813695829401504,0.25031898587174845,0.34385862904272463,6.69792077865778,6.29050196359581,0.10095438960464397,-0.14533176746917206,0.45038167938931295,0.0,14.13290272068898,14.233857110293622,13.987570953219809,0.47179321181906253,0.5353144707061687
all,line_terc,high,1745,5.978171277924672,5.578510028653295,0.39966124927137686,0.3088145685461604,0.4919079440155893,7.600384974202043,7.056434402419164,0.4928930924178172,0.03581661891117478,0.4510028653295129,0.0,18.65214899713467,19.145042089552486,18.687965616045844,0.23011215791138484,0.33888978068955533
all,line_terc,low,2290,4.618790682917087,4.391484716157205,0.2273059667598815,0.17399594987057235,0.27722836545987917,5.740902180997004,5.445030986634956,0.1021728627398039,0.03777292576419214,0.44541484716157204,0.0,9.520960698689956,9.62313356142976,9.558733624454149,0.18261556326532943,0.2704572653302622
all,line_terc,mid,1810,5.255923835888848,4.9566298342541435,0.2992940016347048,0.2135545705778468,0.38770597727833506,6.62880616299332,6.229840415468918,-0.13299964771549383,-0.319060773480663,0.45193370165745855,0.0,14.173480662983426,14.04048101526793,13.854419889502763,0.07281542214574431,0.14714339314800273
all,min_terc,high,1945,5.5951341889029225,5.261439588688946,0.33369460021397623,0.2468439196246526,0.42150975012900505,7.057581876438516,6.633782436042077,0.6830026850283247,-0.07840616966580977,0.4493573264781491,0.0,16.838560411311054,17.521563096339374,16.760154241645242,0.42375183749694584,0.492462396973156
all,min_terc,low,1948,4.8087191783056955,4.556211498973306,0.25250767933238993,0.1881934304097282,0.31837091410527063,6.117836134858333,5.7287796988348525,-0.29341799653916,-0.019250513347022588,0.4537987679671458,0.0,10.696611909650924,10.403193913111764,10.677361396303901,0.37124781232233856,0.4758951702292913
all,min_terc,mid,1952,5.262418406793964,4.945440573770492,0.31697783302347216,0.24345050486682884,0.3904963387837644,6.638324982396632,6.21946434030519,0.04942775330757694,-0.12218237704918032,0.44415983606557374,0.0,13.53329918032787,13.582726933635445,13.411116803278688,0.35623892107624866,0.44295768638475475
all,overall,all,5845,5.221926721440119,4.920872540633019,0.3010541808070996,0.2577497034078425,0.34397261600531664,6.6155385632985375,6.204826483085649,0.1459957125026857,-0.07331052181351583,0.4491017964071856,0.0,13.687767322497862,13.83376303500055,13.614456800684346,0.4928243767069734,0.5564318742259935
all,phase,playoff,462,4.964759611381352,4.79004329004329,0.17471632133806142,0.046930051892267476,0.3042906358941727,6.4054098812192946,6.081161030635473,-0.2634950393388578,-0.21428571428571427,0.47835497835497837,0.0,13.376623376623376,13.11312833728452,13.162337662337663,0.5749214617388049,0.6238958987175597
all,phase,regular,5383,5.243998280951015,4.932101058889096,0.31189722206191955,0.26802469768544906,0.3553848057955408,6.633262857941237,6.215325512330341,0.18114056246567906,-0.061211220509009845,0.4465911201932008,0.0,13.714471484302434,13.895612046768113,13.653260263793424,0.48499685316387253,0.5497018322907349
all,role,bench,389,4.7377651496065,4.4524421593830334,0.285322990223467,0.1279530121902544,0.44681113696495167,6.120821408661756,5.683150579928252,0.305622454477314,0.043701799485861184,0.4241645244215938,0.0,9.483290488431876,9.78891294290919,9.526992287917738,0.2649474460861967,0.37156138593600907
all,role,starter,5456,5.2564463056489314,4.954270527859237,0.3021757777896936,0.25672765674527565,0.3461829640903843,6.649405204108746,6.2403554618565265,0.134614700290785,-0.08165322580645161,0.4508797653958944,0.0,13.987536656891496,14.12215135718228,13.905883431085044,0.4853015310086776,0.5487854342771001
all,season,2024,1833,5.244588277891364,4.943262411347518,0.3013258665438464,0.22892011843409008,0.37956964486108435,6.629902037459509,6.220533374317101,0.2132854006844708,0.24004364429896344,0.4451718494271686,0.0,14.496999454446263,14.710284855130734,14.737043098745227,0.4784899836622292,0.5420392745397286
all,season,2025,2232,5.249494743981618,4.957437275985663,0.2920574679959548,0.23062805585830623,0.35414133290766064,6.60869304235411,6.194339970509441,0.26051159451594774,-0.038978494623655914,0.4525089605734767,0.0,13.41173835125448,13.672249945770428,13.372759856630825,0.46576270890713667,0.5349686075621256
all,season,2026,1780,5.164021969031267,4.851966292134832,0.31205567689643565,0.22839840205889345,0.3961075126600329,6.6093078020633556,6.201768957502947,-0.06689274091911913,-0.43904494382022474,0.44887640449438204,0.0,13.200561797752808,13.133669056833691,12.761516853932584,0.5242681775200538,0.5884304562554917
all,venue,away,2913,5.255303952415624,4.9864400961208375,0.2688638562947861,0.2070987597719497,0.3356600886568166,6.618475023272274,6.2406194623291285,0.3746681060757907,0.1350841057329214,0.45760384483350497,0.0,13.396498455200824,13.771166561276614,13.531582560933746,0.48698978884901817,0.5445543634781426
all,venue,home,2931,5.189668464022549,4.856192425793244,0.33347603822930466,0.2678595519233013,0.40067510130221257,6.613580989053167,6.169773392829536,-0.08035491233022429,-0.2792562265438417,0.44046400545888775,0.0,13.97611736608666,13.895762453756436,13.696861139542818,0.4983208720831476,0.5676156636918064
all,venue,nan,1,2.5430053806930175,3.5,-0.9569946193069825,,,2.5430053806930175,3.5,-2.5430053806930175,-3.5,1.0,0.0,17.0,14.456994619306982,13.5,,
playoff,book,betmgm,327,4.928943901657442,4.738532110091743,0.19041179156569968,0.04795253739685121,0.3355352034019723,6.435785363448539,6.079430904478162,-0.07905720584724114,0.07492354740061162,0.4740061162079511,0.0,13.529051987767584,13.449994781920346,13.603975535168196,0.5112035575277616,0.5718078049773017
playoff,book,betonlineag,443,4.9767068567218,4.75959367945824,0.21711317726356108,0.08481165788030202,0.3523007204084798,6.419100403983072,6.054073493861344,-0.21796390612344368,-0.18623024830699775,0.4717832957110609,0.0,13.485327313769751,13.267363407646307,13.299097065462753,0.5674841408185499,0.6234440572878952
playoff,book,betrivers,201,5.0172040228153,4.932835820895522,0.08436820191977744,-0.12150683081988337,0.2822579418460855,6.664612754900868,6.433838559286763,-0.09789312362541927,-0.10199004975124377,0.4925373134328358,0.0,14.218905472636816,14.121012349011396,14.116915422885572,0.4657393025064721,0.49976593588410906
playoff,book,bovada,394,5.00816517626424,4.852791878172589,0.15537329809165104,0.038477891730392795,0.28391842225213576,6.448461466962722,6.18465843842649,-0.3279446694963755,-0.34517766497461927,0.4796954314720812,0.0,13.878172588832488,13.550227919336113,13.532994923857869,0.5532049082541654,0.5967758667105227
playoff,book,draftkings,223,5.357147368079488,5.060538116591928,0.29660925148755996,0.10303272726203291,0.49583967978874693,6.801324273476106,6.397081032776614,-0.786188578069793,-0.6524663677130045,0.4484304932735426,0.0,15.865470852017937,15.079282273948143,15.213004484304932,0.5688291583293005,0.6205602551741449
playoff,book,fanatics,246,5.002493133982117,4.780487804878049,0.22200532910406803,0.051137790817182026,0.38849322041661205,6.2645229954432695,5.889738906797474,-0.39205820100258904,-0.33739837398373984,0.45934959349593496,0.0,12.971544715447154,12.579486514444564,12.634146341463415,0.6344746873760935,0.6931894104369215
playoff,book,fanduel,425,5.098640025572154,4.8882352941176475,0.2104047314545061,0.07780467345515873,0.3493399280778495,6.544799583394532,6.191882731827685,-0.22948383539707803,-0.26235294117647057,0.48,0.0,13.898823529411764,13.669339694014685,13.636470588235294,0.5485382043620903,0.6054193157381962
playoff,book,williamhill_us,422,5.052230770282616,4.872037914691943,0.18019285559067233,0.03620709468313245,0.3189384424534028,6.459612215229498,6.12111178452681,-0.33208054428855494,-0.3222748815165877,0.4597156398104265,0.0,13.945497630331754,13.6134170860432,13.623222748815166,0.5543627416838897,0.6062544820379142
playoff,line_terc,high,125,5.638055222721165,5.324,0.31405522272116543,0.01785752976495302,0.6081012431905022,7.105811446588891,6.775691846593969,-0.40990485826588796,-0.508,0.456,0.0,19.816,19.406095141734117,19.308,0.2934846255059186,0.34021896418431447
playoff,line_terc,low,222,4.599788233203595,4.599099099099099,0.0006891341044968683,-0.19195520686497097,0.18863534431138465,5.890407277363203,5.7138996008548,0.10552446365464356,0.018018018018018018,0.5135135135135135,0.0,9.117117117117116,9.22264158077176,9.135135135135135,0.25045426436143686,0.3084294784336806
playoff,line_terc,mid,115,4.9374699986681785,4.578260869565217,0.3592091291029599,0.02659696535105932,0.6851837049339149,6.554948030334413,5.969669716302497,-0.8167220158491054,-0.34347826086956523,0.43478260869565216,0.0,14.6,13.783277984150894,14.256521739130434,-0.018079129125918515,0.14033939264701345
playoff,min_terc,high,150,5.37866521521849,5.02,0.35866521521849043,0.1301098774347528,0.6151553644474856,6.73620530218327,6.325345840347388,-0.2855476474544823,-0.9333333333333333,0.4533333333333333,0.0,17.786666666666665,17.501119019212183,16.85333333333333,0.45762704991184605,0.5362169488624676
playoff,min_terc,low,181,4.604241219853954,4.607734806629834,-0.0034935867758810668,-0.27908084567048197,0.22582638911056988,6.09832647330101,5.8498713212461455,-0.08168529427949035,0.4530386740331492,0.5138121546961326,0.0,9.707182320441989,9.6254970261625,10.160220994475138,0.42441381731307243,0.49549772794424013
playoff,min_terc,mid,131,4.988942728105689,4.778625954198473,0.21031677390721593,-0.033463699658769275,0.4699224153364474,6.430925454635954,6.109372102018016,-0.4894467388686423,-0.31297709923664124,0.4580152671755725,0.0,13.396946564885496,12.907499826016853,13.083969465648854,0.39239040275578563,0.4703856929486894
playoff,overall,all,462,4.964759611381352,4.79004329004329,0.17471632133806142,0.046930051892267476,0.3042906358941727,6.4054098812192946,6.081161030635473,-0.2634950393388578,-0.21428571428571427,0.47835497835497837,0.0,13.376623376623376,13.11312833728452,13.162337662337663,0.5749214617388049,0.6238958987175597
