stage,metric,value,detail
input,rows_in_table,36946.0,master_props_historical.csv
input,rows_market_player_points,36946.0,player_points
input,rows_bad_line_dropped,0.0,
input,rows_after_dedup_near_tip,36946.0,
game_join,rows_game_matched,36946.0,
game_join,rows_game_unmatched,0.0,
game_join,commence_date_vs_master_date_mismatch_rows,0.0,master game_date is authoritative (leakage guard)
name_resolution,distinct_name_keys,4420.0,
name_resolution,keys_resolved_team_scope,4352.0,
name_resolution,keys_resolved_season_scope,0.0,
name_resolution,keys_ambiguous_never_guessed,0.0,
name_resolution,keys_unresolved,3.0,Cheyenne Parker; Megan Gustafson; Skylar Diggins-Smith
name_resolution,rows_resolved,36390.0,
name_resolution,rows_total,36946.0,
name_resolution,row_resolution_rate,0.984951,
skip_ladder,rows_in,36946.0,"mutually exclusive, ordered"
skip_ladder,skip_unresolved_rows,556.0,
skip_ladder,skip_ambiguous_rows,0.0,
skip_ladder,skip_no_prior_appearance_rows,915.0,no strictly-prior same-season game
skip_ladder,skip_below_min_prior_rows,1865.0,1-2 prior appearances
skip_ladder,skip_ungraded_game_rows,0.0,game not in master yet
skip_ladder,candidate_rows,33610.0,
settlement,void_rows_dnp,310.0,player did not play: no action
settlement,venue_unknown_rows,7.0,
settlement,alt_line_row_share,0.092,share of per_book rows on alternate (non-main) ladders
settlement,book_player_game_groups,30517.0,
settlement,consensus_line_not_posted_player_games,239.0,median consensus line no book posts: captured-basis price NaN
settlement,best_fill_missing_over,0.0,
settlement,best_fill_missing_under,14.0,
phase,candidate_rows_regular,30869.0,
phase,candidate_rows_playoff,2741.0,
price_availability,betmgm_rows,3301.0,
price_availability,betmgm_over_priced,3300.0,100.0% of its rows
price_availability,betmgm_under_priced,3299.0,99.9% of its rows
price_availability,betonlineag_rows,4025.0,
price_availability,betonlineag_over_priced,4024.0,100.0% of its rows
price_availability,betonlineag_under_priced,4025.0,100.0% of its rows
price_availability,betrivers_rows,6738.0,
price_availability,betrivers_over_priced,6738.0,100.0% of its rows
price_availability,betrivers_under_priced,1721.0,25.5% of its rows
price_availability,bovada_rows,3400.0,
price_availability,bovada_over_priced,3398.0,99.9% of its rows
price_availability,bovada_under_priced,3396.0,99.9% of its rows
price_availability,draftkings_rows,4154.0,
price_availability,draftkings_over_priced,4154.0,100.0% of its rows
price_availability,draftkings_under_priced,4154.0,100.0% of its rows
price_availability,fanatics_rows,1371.0,
price_availability,fanatics_over_priced,1371.0,100.0% of its rows
price_availability,fanatics_under_priced,1371.0,100.0% of its rows
price_availability,fanduel_rows,5293.0,
price_availability,fanduel_over_priced,5293.0,100.0% of its rows
price_availability,fanduel_under_priced,5293.0,100.0% of its rows
price_availability,unibet_us_rows,176.0,
price_availability,unibet_us_over_priced,176.0,100.0% of its rows
price_availability,unibet_us_under_priced,176.0,100.0% of its rows
price_availability,williamhill_us_rows,5152.0,
price_availability,williamhill_us_over_priced,5152.0,100.0% of its rows
price_availability,williamhill_us_under_priced,5152.0,100.0% of its rows
unresolved_detail,Cheyenne Parker,62.0,unresolved
unresolved_detail,Megan Gustafson,85.0,unresolved
unresolved_detail,Skylar Diggins-Smith,409.0,unresolved
