season,n,bias_incumbent,bias_challenger,abs_bias_incumbent,abs_bias_challenger,mae_incumbent,mae_challenger,delta_mae_pos_better,bias_bar,max_abs_seasonal_bias_challenger,max_abs_seasonal_bias_incumbent,bias_bar_met_challenger
2024,229,-0.026327537194375375,-0.45792420999857153,0.026327537194375375,0.45792420999857153,13.068014321046839,13.171287995175776,-0.10327367412893729,2.5,3.8742231963282734,4.969647539657816,False
2025,276,0.2790131483300201,-0.07244462836197078,0.2790131483300201,0.07244462836197078,13.363680652960138,13.468338148966177,-0.10465749600603935,2.5,3.8742231963282734,4.969647539657816,False
2026,168,-4.969647539657816,-3.8742231963282734,4.969647539657816,3.8742231963282734,17.211592191294898,16.88744418911576,0.3241480021791361,2.5,3.8742231963282734,4.969647539657816,False
pooled,673,-1.1350997975348283,-1.15264317756423,1.1350997975348283,1.15264317756423,14.223623518386729,14.2207680591105,0.002855459276229766,2.5,3.8742231963282734,4.969647539657816,False
