K,role,season,n,mae_challenger,mae_incumbent,delta_mae_pos_better,bias_challenger,bias_incumbent,mean_correction,mean_abs_correction,max_abs_correction
5,DIAGNOSTIC ONLY,pooled,673,14.234458207021941,14.223623518386729,-0.010834688635211975,-1.2911135747341673,-1.1350997975348283,-0.15601377719933904,1.3108293859468698,6.60370257071063
5,DIAGNOSTIC ONLY,2024,229,13.174980680716187,13.068014321046839,-0.10696635966934842,-0.6619463617845363,-0.026327537194375375,-0.6356188245901603,0.9429617125222988,6.60370257071063
5,DIAGNOSTIC ONLY,2025,276,13.49721835208003,13.363680652960138,-0.13353769911989133,-0.16700699717070808,0.2790131483300201,-0.44602014550072844,0.6928379602948713,3.6625802244599104
5,DIAGNOSTIC ONLY,2026,168,16.889806739688527,17.211592191294898,0.3217854516063703,-3.995474926954288,-4.969647539657816,0.9741726127035274,2.827539687697931,4.804330345548053
15,REGISTERED,pooled,673,14.2207680591105,14.223623518386729,0.002855459276229766,-1.15264317756423,-1.1350997975348283,-0.01754338002940196,1.0748233579454882,4.934853793330935
15,REGISTERED,2024,229,13.171287995175776,13.068014321046839,-0.10327367412893729,-0.45792420999857153,-0.026327537194375375,-0.4315966728041959,0.700963820002438,4.934853793330935
15,REGISTERED,2025,276,13.468338148966177,13.363680652960138,-0.10465749600603935,-0.07244462836197078,0.2790131483300201,-0.3514577766919916,0.5705386395609868,2.746935168344933
15,REGISTERED,2026,168,16.88744418911576,17.211592191294898,0.3241480021791361,-3.8742231963282734,-4.969647539657816,1.0954243433295423,2.412897265463827,4.538897729771917
30,DIAGNOSTIC ONLY,pooled,673,14.208533230930325,14.223623518386729,0.015090287456404283,-1.0699925372686734,-1.1350997975348283,0.06510726026615471,0.8839406760761036,4.191533107595495
30,DIAGNOSTIC ONLY,2024,229,13.153221682891981,13.068014321046839,-0.08520736184514277,-0.3138760757451934,-0.026327537194375375,-0.28754853855081947,0.5280020129395826,3.6130179558315767
30,DIAGNOSTIC ONLY,2025,276,13.444555568943453,13.363680652960138,-0.08087491598331553,0.009578685032575501,0.2790131483300201,-0.2694344632974439,0.4682895259746252,1.9977710315235875
30,DIAGNOSTIC ONLY,2026,168,16.902129535746738,17.211592191294898,0.30946265554815966,-3.8742325791973733,-4.969647539657816,1.0954149604604424,2.0519744337324806,4.191533107595495
