target,n,champ_mae,best_simple_mae,hybrid_mae,n_switched,hybrid_skill_vs_champ,hybrid_skill_vs_best_simple,champ_skill_vs_best_simple
pts,9517,4.227561938738641,4.147585220885528,4.107048478833947,698,0.02850661011028277,0.009773576645864757,-0.019282718399704857
minutes,9517,5.09999497491881,4.884528084606726,4.883257981723203,698,0.04249749151940252,0.0002600257100631165,-0.04411212026625755
fga,9517,2.6389777226770477,2.558836001322271,2.5383396876762614,698,0.0381352347676116,0.008010014567333856,-0.0313196005188936
ppm,9517,0.18269237180042863,0.18029301753872462,0.18094056226924046,698,0.009588848805914152,-0.003591624009380956,-0.013308082001504351
