target,forecast,r2_forecast_as_is,mae
pts,champion,0.48331868515947085,4.227561938738641
pts,best_simple_walkforward,0.5117875386153183,4.147585220885528
pts,d081_frozen_reference,0.491911881693609,4.203732679236231
minutes,champion,0.6312349527816257,5.09999497491881
minutes,best_simple_walkforward,0.6629114512102121,4.884528084606726
minutes,d081_frozen_reference,0.6092650629261674,5.296698859382702
fga,champion,0.6077056769622257,2.6389777226770477
fga,best_simple_walkforward,0.6365699287787419,2.558836001322271
fga,d081_frozen_reference,0.610863987791354,2.639023418633918
ppm,champion,0.14910582361036684,0.18269237180042863
ppm,best_simple_walkforward,0.1803889778882105,0.18029301753872462
ppm,d081_frozen_reference,0.13458971405542164,0.18452018948290316
