component,kind,reference,n,published_n,model_mae,published_model_mae,abs_delta_model_mae,ref_mae,published_ref_mae,abs_delta_ref_mae,skill,published_skill,abs_delta_skill
minutes,LEVEL,ref_minutes,13879,13879,5.079670829517938,5.079670829517938,0.0,5.266906514137652,5.266906514137652,0.0,0.035549460412317546,0.035549460412317546,0.0
fga,LEVEL,ref_fga,13879,13879,2.6375697656574264,2.6375697656574264,0.0,2.640610728352467,2.640610728352467,0.0,0.0011516133985177701,0.0011516133985177701,0.0
pts,LEVEL,ref_pts,13879,13879,4.190919667572693,4.190919667572693,0.0,4.181628792249526,4.181628792249526,0.0,-0.0022218316796525084,-0.0022218316796525084,0.0
pts_per_min,RATE,refA_ppm,13879,13879,0.18174283099586136,0.18174283099586136,0.0,0.18276462664132767,0.18276462664132767,0.0,0.005590773577162533,0.005590773577162533,0.0
pts_per_min,RATE,refB_ppm,13879,13879,0.18174283099586136,0.18174283099586136,0.0,0.18350234471241633,0.18350234471241633,0.0,0.009588508088615777,0.009588508088615777,0.0
pts_per_fga,RATE,refA_ppf,12976,12976,0.5065778966660669,0.5065778966660669,0.0,0.5175857623294488,0.5175857623294488,0.0,0.02126771341978151,0.02126771341978151,0.0
pts_per_fga,RATE,refB_ppf,12976,12976,0.5065778966660669,0.5065778966660669,0.0,0.5118171255878924,0.5118171255878924,0.0,0.010236525235077898,0.010236525235077898,0.0
fga_per_min,RATE,refA_fpm,13879,13879,0.11033798411000435,0.11033798411000435,0.0,0.1118426915806147,0.1118426915806147,0.0,0.013453784501652244,0.013453784501652244,0.0
fga_per_min,RATE,refB_fpm,13879,13879,0.11033798411000435,0.11033798411000435,0.0,0.11111056544847446,0.11111056544847446,0.0,0.006953266193469032,0.006953266193469032,0.0
