target,slice,n,mean_abs_err_diff_champ_minus_est,champ_skill_vs_best_simple,p_two_sided_blockflip,null_sd,n_blocks
pts,pooled_wf,9517,0.07997671785311423,-0.019282718399704857,0.00024993751562109475,0.01759897971151894,311
pts,decision_stratum_wf,3549,0.029055278134586426,-0.005755850196160761,0.03199200199950013,0.013236651769130218,174
pts,outside_decision_stratum_wf,5968,0.11025825095650818,-0.03052418507923438,0.00024993751562109475,0.025570381072537753,311
pts,tier_0,47,0.7679788029667883,-0.1351403184740776,0.05298675331167208,0.400562129120543,47
pts,tier_1-2,610,1.740696960108507,-0.38061957292523907,0.00024993751562109475,0.2037138146679171,309
pts,tier_3-7,1474,-0.039142065937752976,0.0100918055512077,0.3416645838540365,0.041211199711392775,302
pts,tier_8-14,1912,-0.022020913883676992,0.005439398794740757,0.21644588852786803,0.017821778537488408,287
pts,tier_15-24,2403,-0.05375582518617038,0.013185388373420537,0.0029992501874531365,0.01880966141660823,258
pts,tier_25+,3071,-0.03510487956279209,0.008191227525125133,0.03524118970257436,0.01663034554345094,218
pts,tier_ge3_priors,8860,-0.038011481444417634,0.009248244176515485,0.0012496875781054736,0.011679088009923276,302
pts,tier_lt3_priors,657,1.671111338516938,-0.35917057798511287,0.00024993751562109475,0.1933233541754996,311
minutes,pooled_wf,9517,0.2154668903120849,-0.04411212026625755,0.00024993751562109475,0.02236416540519077,311
minutes,decision_stratum_wf,3549,0.002186954464215904,-0.0005058188929687457,0.6628342914271432,0.004816819119499923,174
minutes,outside_decision_stratum_wf,5968,0.3422984071224212,-0.06559827297805532,0.00024993751562109475,0.035659052409451185,311
minutes,tier_0,47,0.3475768050110548,-0.028910874878125492,0.00024993751562109475,0.11382995158654459,47
minutes,tier_1-2,610,3.1060300526953393,-0.4413246081447266,0.00024993751562109475,0.3173699116164956,309
minutes,tier_3-7,1474,0.09098585502824073,-0.01976695694062891,0.019995001249687578,0.038863091557429785,302
minutes,tier_8-14,1912,-0.0007946351176308438,0.00016897647263502957,0.9317670582354411,0.008592226109559746,287
minutes,tier_15-24,2403,-0.0014363214137294,0.0002989162985268523,0.8617845538615346,0.008138963662310626,258
minutes,tier_25+,3071,0.0034000734324033184,-0.0007299264264093441,0.34916270932266935,0.003628055227668436,218
minutes,tier_ge3_priors,8860,0.015754396514721842,-0.003353139430380958,0.026743314171457137,0.007230800272625063,302
minutes,tier_lt3_priors,657,2.908697780790984,-0.39335745482210416,0.00024993751562109475,0.30083691569120047,311
fga,pooled_wf,9517,0.08014172135477651,-0.0313196005188936,0.00024993751562109475,0.013117898661006322,311
fga,decision_stratum_wf,3549,0.0040327200253977204,-0.0013770443451335268,0.6863284178955261,0.009990905284714217,174
fga,outside_decision_stratum_wf,5968,0.12540158156221037,-0.053613615192921404,0.00024993751562109475,0.019247181230278607,311
fga,tier_0,47,0.6012292151191644,-0.14358063609050875,0.06298425393651587,0.32533953964036816,47
fga,tier_1-2,610,1.4148600853569189,-0.4465284318698872,0.00024993751562109475,0.16237808943790127,309
fga,tier_3-7,1474,0.02343466665227856,-0.009935663690707974,0.3279180204948763,0.023882281426053628,302
fga,tier_8-14,1912,0.005574341613452515,-0.002338494969074123,0.6293426643339165,0.01168413503480077,287
fga,tier_15-24,2403,-0.046840178481323026,0.01820445432616058,0.0007498125468632841,0.014455118294742358,258
fga,tier_25+,3071,-0.019947103212202492,0.007651897495325577,0.047238190452386905,0.00996735604910546,218
fga,tier_ge3_priors,8860,-0.014516214790622265,0.005787463824994177,0.04473881529617595,0.0072763950566329455,302
fga,tier_lt3_priors,657,1.356655137257719,-0.418531939039573,0.00024993751562109475,0.15286246836048958,311
ppm,pooled_wf,9517,0.0023993542617040393,-0.013308082001504351,0.00024993751562109475,0.0004691156120992174,311
ppm,decision_stratum_wf,3549,0.000881828145403015,-0.005833992031493596,0.002749312671832042,0.00029574595505732764,174
ppm,outside_decision_stratum_wf,5968,0.0033017839176612,-0.01670761677829402,0.00024993751562109475,0.0007200129459334203,311
ppm,tier_0,47,0.02549176875860245,-0.12352683461565772,0.01849537615596101,0.011132654670104988,47
ppm,tier_1-2,610,0.025075027459080225,-0.12435245974499232,0.00024993751562109475,0.004803813770052308,309
ppm,tier_3-7,1474,0.0022298610834048907,-0.011407795633266993,0.21594601349662584,0.001788558382713148,302
ppm,tier_8-14,1912,0.0007880964046045407,-0.0042303140269026596,0.2519370157460635,0.0006762397555852834,287
ppm,tier_15-24,2403,-1.6351308076977015e-05,9.342910173548713e-05,0.9752561859535116,0.0004945914205886746,258
ppm,tier_25+,3071,0.0005165780715435943,-0.0030609794594975703,0.184703824043989,0.0003913874143654388,218
ppm,tier_ge3_priors,8860,0.0007156630504451572,-0.004005173377487958,0.06923269182704324,0.0003960478942180589,302
ppm,tier_lt3_priors,657,0.02510484000257724,-0.12429211490100256,0.00024993751562109475,0.004432787127061971,311
