target,mode,memory_kind,memory_param,shrink_target,shrink_k,floor,mae_tuneA_2022,mae_tuneB_2022_23,mae_2023,mae_2024,mae_wf_eval_2023_24,mae_all_seasons,mae_wf_decision_stratum,champ_mae_wf_eval_2023_24,d081ref_mae_wf_eval_2023_24,est_skill_vs_d081ref_wf_eval_2023_24,champ_skill_vs_est_wf_eval_2023_24,champ_mae_all_seasons,d081ref_mae_all_seasons,est_skill_vs_d081ref_all_seasons,champ_skill_vs_est_all_seasons,mae_wf_tier_0,mae_wf_tier_1-2,mae_wf_tier_3-7,mae_wf_tier_8-14,mae_wf_tier_15-24,mae_wf_tier_25+
pts,equal,expanding,0.0,none,0.0,0.0,4.129861051472222,4.16903231561312,4.205019058280053,4.191260364215216,4.198124531433862,4.176670154346703,5.050975338048395,4.227561938738641,4.203732679236231,0.0013340876383671763,-0.007012037657378567,4.190919667572693,4.181628792249526,0.001185814941779162,-0.003411692257086818,6.376723166097364,4.965724523989493,3.922984105446792,4.050772201125233,4.1034852197896905,4.310167116275234
pts,minutes_weighted,expanding,0.0,none,0.0,0.0,4.274246805513379,4.333673485991146,4.388268932546331,4.379517258635798,4.383883439966807,4.349425986296813,5.087366071689465,4.227561938738641,4.203732679236231,-0.042854951652945505,0.03565822480657688,4.190919667572693,4.181628792249526,-0.040127233282469144,0.036443043110402584,8.831158057564638,5.369633104257392,4.068947200899038,4.2150845858391595,4.260244310423122,4.47301891750737
pts,composite,expanding,0.0,none,0.0,0.0,4.129861051472222,4.16903231561312,4.205019058280052,4.191260364215216,4.19812453143386,4.176670154346703,5.050975338048395,4.227561938738641,4.203732679236231,0.0013340876383676203,-0.007012037657379011,4.190919667572693,4.181628792249526,0.001185814941779162,-0.003411692257086818,6.376723166097363,4.965724523989493,3.922984105446792,4.050772201125233,4.1034852197896905,4.310167116275234
minutes,equal,expanding,0.0,none,0.0,0.0,5.197539903217996,5.211006346266204,5.223378002663906,5.362492810757632,5.2930888905276205,5.263059012103772,4.619604221289363,5.099994974918809,5.296698859382703,0.0006815507075105254,0.036480384063522386,5.079670829517937,5.266906514137651,0.0007305050931797341,0.03484440933762789,12.022355133709192,7.038653659334645,4.746028596196508,4.91426987606381,5.443560290553517,5.224061222938831
minutes,minutes_weighted,expanding,0.0,none,0.0,0.0,5.553519485463006,5.499944932065366,5.450725849942263,5.673711455947871,5.5624646704782235,5.559653308201663,4.409703171678695,5.099994974918809,5.296698859382703,-0.05017574495947352,0.0831411474869923,5.079670829517937,5.266906514137651,-0.05558230306123879,0.08633316720948236,16.564028265111084,7.506879382709153,4.9898025279523495,5.1523738780569674,5.690894806031881,5.4375586183937346
fga,equal,expanding,0.0,none,0.0,0.0,2.641622247546582,2.6325889830519245,2.624290099369175,2.645283461395685,2.63480994212471,2.636950966424026,2.9672656194668114,2.6389777226770477,2.6390234186339177,0.0015966044406642288,-0.0015818144928423372,2.6375697656574264,2.6406107283524665,0.0013859528362683005,-0.0002346646719182388,4.647904083737559,3.4567478382854593,2.3712298895134722,2.4121511014554953,2.652674926022642,2.69189675530866
fga,minutes_weighted,expanding,0.0,none,0.0,0.0,2.7673468091253874,2.755308860136324,2.7442495649614513,2.775959328471679,2.760139431745131,2.762404622330381,2.963047218135706,2.6389777226770477,2.6390234186339177,-0.04589425476713216,0.04389695233312085,2.6375697656574264,2.6406107283524665,-0.04612338072787603,0.04519064863410316,6.659170887118173,3.7646833878733426,2.4938835801194164,2.508828228263886,2.749939509767129,2.7931750120853587
ppm,ratio_of_prior_sums,expanding,0.0,none,0.0,0.0,0.1811691079314404,0.1841565286308014,0.18690107982932977,0.18254160617638523,0.1847165332441777,0.1836016208431286,0.15229007425199004,0.18269237180042866,0.18452018948290308,-0.00106407738808878,0.010958203947414313,0.1817428309958614,0.18350234471241625,-0.0005410074234633022,0.010124038332185337,0.23347360355873942,0.22712892084353437,0.2051538903540548,0.18798384760866643,0.1764935071443867,0.17013659951983526
ppm,mean_of_prior_ratios,expanding,0.0,none,0.0,0.0,0.1812044938385041,0.18355641594888147,0.185717132934026,0.18074251881965286,0.1832243374405464,0.1825895252932657,0.15209852733276785,0.18269237180042866,0.18452018948290308,0.007022819811686509,0.0029033568768687124,0.1817428309958614,0.18350234471241625,0.004974429185529594,0.0046371460577729895,0.21351471712435977,0.22355082600188175,0.20336148753197722,0.18729167187948217,0.1751226350377661,0.16889242025536663
pts,equal,expanding,0.0,league,0.5,0.0,4.121835526211239,4.164682074584707,4.204045310474569,4.19537509639132,4.199700637682406,4.1752285852119675,5.034789097033937,4.227561938738641,4.203732679236231,0.0009591574587367591,-0.006634115966801302,4.190919667572693,4.181628792249526,0.001530553608541596,-0.0037581373188286804,6.376723166097364,5.010335863411241,3.899956005928471,4.054222547182355,4.107329765096143,4.312086621575633
