target,cellA,cellB,cell_insample,mae_walkforward,mae_insample_selected,optimism_gap_mae,optimism_gap_pct,same_cell_A_B,insample_cell_equals_wf
pts,"{""mode"": ""composite"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""league"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}","{""mode"": ""composite"", ""memory_kind"": ""ewma"", ""memory_param"": ""8.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}","{""mode"": ""composite"", ""memory_kind"": ""ewma"", ""memory_param"": ""8.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",4.147585220885528,4.115465436703608,0.032119784181920075,0.7804654097070207,False,True
minutes,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""2.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""2.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""2.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",4.884528084606725,4.882010588632061,0.002517495974664108,0.05156678644913093,True,False
fga,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""3.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",2.558836001322271,2.5384876848329143,0.020348316489356755,0.8015920900831919,False,True
ppm,"{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""league"", ""shrink_k"": ""2.0"", ""floor"": ""0.0""}","{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""ewma"", ""memory_param"": ""40.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""2.0"", ""floor"": ""0.0""}","{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""sma"", ""memory_param"": ""30.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""4.0"", ""floor"": ""0.0""}",0.18029301753872462,0.17939777108253868,0.0008952464561859386,0.49902875090575005,False,False
